row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-Com,Computers,CiteSeer,Public,2,0.7718,0.7789,50.660035371780396,1,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run2.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run2.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run2.meta.json
HGL-Com,Computers,CiteSeer,Public,3,0.7568,0.7489,65.91098952293396,2,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run3.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run3.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run3.meta.json
HGL-Com,Computers,CiteSeer,Public,5,0.7447,0.7609,66.11265182495117,4,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run5.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run5.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run5.meta.json
HGL-Com,Computers,CiteSeer,Public,4,0.7613,0.7639,66.18094086647034,3,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run4.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run4.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run4.meta.json
HGL-Com,Computers,CiteSeer,Public,1,0.7523,0.7504,67.5020911693573,0,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run1.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run1.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__public__run1.meta.json
HGL-Com,Computers,CiteSeer,5shot,2,0.722,0.74,66.3273401260376,1,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run2.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run2.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run2.meta.json
HGL-Com,Computers,CiteSeer,5shot,4,0.725,0.738,51.11264944076538,3,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run4.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run4.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run4.meta.json
HGL-Com,Computers,CiteSeer,5shot,3,0.734,0.74,70.09454560279846,2,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run3.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run3.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run3.meta.json
HGL-Com,Computers,CiteSeer,5shot,5,0.729,0.726,70.00372099876404,4,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run5.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run5.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run5.meta.json
HGL-Com,Computers,CiteSeer,5shot,1,0.635,0.654,71.5457067489624,0,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run1.stdout.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run1.stderr.txt,./experiments/20251001-211713/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-5shot__run1.meta.json
