Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2985 cls=2.3021 smmd=6.8950 ct=7.6113 rec=1.3851 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0001] loss=11.3895 cls=1.9338 smmd=5.7217 ct=7.6114 rec=1.3895 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0002] loss=10.7961 cls=1.9944 smmd=5.0025 ct=7.6082 rec=1.4159 | train/val/test=0.021/0.022/0.020 | c=1.998420
[Epoch 0003] loss=16.9696 cls=4.7835 smmd=5.4028 ct=8.6019 rec=1.3970 | train/val/test=0.152/0.164/0.159 | c=1.998420
[Epoch 0004] loss=15.9470 cls=3.9525 smmd=6.0409 ct=8.5684 rec=1.4369 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0005] loss=15.5693 cls=3.6052 smmd=6.3645 ct=8.5189 rec=1.4527 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0006] loss=15.3073 cls=3.4102 smmd=6.4803 ct=8.4976 rec=1.5356 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0007] loss=13.2805 cls=2.4089 smmd=6.4803 ct=8.4825 rec=1.4288 | train/val/test=0.100/0.095/0.118 | c=1.998420
[Epoch 0008] loss=14.2725 cls=2.9375 smmd=6.4180 ct=8.4632 rec=1.4338 | train/val/test=0.085/0.080/0.082 | c=1.998420
[Epoch 0009] loss=13.7673 cls=2.7825 smmd=6.2391 ct=8.4255 rec=1.3908 | train/val/test=0.037/0.032/0.037 | c=1.998420
[Epoch 0010] loss=12.9718 cls=2.5228 smmd=5.9714 ct=8.3828 rec=1.3907 | train/val/test=0.152/0.164/0.159 | c=1.998420
[Epoch 0011] loss=12.3862 cls=2.4046 smmd=5.6270 ct=8.3538 rec=1.3961 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0012] loss=11.7273 cls=2.2912 smmd=5.1915 ct=8.3542 rec=1.4133 | train/val/test=0.381/0.369/0.364 | c=1.998420
[Epoch 0013] loss=11.3433 cls=2.3755 smmd=4.6214 ct=8.3815 rec=1.4735 | train/val/test=0.424/0.409/0.402 | c=1.998420
[Epoch 0014] loss=9.8595 cls=2.0017 smmd=3.8911 ct=8.4247 rec=1.4005 | train/val/test=0.404/0.378/0.378 | c=1.998420
[Epoch 0015] loss=9.9572 cls=2.4185 smmd=3.1632 ct=8.4207 rec=1.3642 | train/val/test=0.380/0.394/0.399 | c=1.998420
[Epoch 0016] loss=8.1513 cls=1.8071 smmd=2.6286 ct=8.1795 rec=1.3626 | train/val/test=0.475/0.472/0.476 | c=1.998420
[Epoch 0017] loss=8.0752 cls=1.8670 smmd=2.4497 ct=8.0843 rec=1.3734 | train/val/test=0.516/0.504/0.513 | c=1.998420
