Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0000] loss=22.1328 cls=1.9548 smmd=4.8890 ct=6.9106 rec=1.3889 | train/val/test=0.312/0.288/0.292 | c=0.500000
[Epoch 0001] loss=21.5569 cls=1.8872 smmd=4.6229 ct=6.9068 rec=1.3941 | train/val/test=0.313/0.288/0.284 | c=0.500000
[Epoch 0002] loss=20.8890 cls=1.8126 smmd=4.3221 ct=6.8958 rec=1.3969 | train/val/test=0.313/0.288/0.284 | c=0.500000
[Epoch 0003] loss=20.1310 cls=1.7643 smmd=3.9851 ct=6.8664 rec=1.3927 | train/val/test=0.325/0.292/0.297 | c=0.500000
[Epoch 0004] loss=19.3057 cls=1.7396 smmd=3.6076 ct=6.8055 rec=1.3896 | train/val/test=0.544/0.509/0.511 | c=0.500000
[Epoch 0005] loss=18.7536 cls=1.6899 smmd=3.1903 ct=7.4872 rec=1.3879 | train/val/test=0.565/0.533/0.530 | c=0.500000
[Epoch 0006] loss=17.6069 cls=1.5815 smmd=2.7533 ct=7.1832 rec=1.3854 | train/val/test=0.514/0.463/0.472 | c=0.500000
[Epoch 0007] loss=16.4206 cls=1.4322 smmd=2.3083 ct=6.9365 rec=1.3807 | train/val/test=0.491/0.448/0.452 | c=0.500000
[Epoch 0008] loss=15.2368 cls=1.2763 smmd=1.8465 ct=6.8295 rec=1.3705 | train/val/test=0.561/0.517/0.513 | c=0.500000
[Epoch 0009] loss=14.1042 cls=1.1277 smmd=1.4241 ct=6.7712 rec=1.3485 | train/val/test=0.680/0.637/0.649 | c=0.500000
[Epoch 0010] loss=13.0806 cls=1.0047 smmd=1.0333 ct=6.7513 rec=1.3267 | train/val/test=0.810/0.769/0.799 | c=0.500000
[Epoch 0011] loss=12.2148 cls=0.8522 smmd=0.7265 ct=6.7635 rec=1.3056 | train/val/test=0.844/0.803/0.803 | c=0.500000
[Epoch 0012] loss=11.6164 cls=0.7128 smmd=0.5397 ct=6.8297 rec=1.2819 | train/val/test=0.842/0.797/0.799 | c=0.500000
[Epoch 0013] loss=11.2661 cls=0.6145 smmd=0.4535 ct=6.9019 rec=1.2587 | train/val/test=0.842/0.801/0.788 | c=0.500000
[Epoch 0014] loss=11.0829 cls=0.5422 smmd=0.4393 ct=6.9496 rec=1.2374 | train/val/test=0.844/0.801/0.795 | c=0.500000
[Epoch 0015] loss=11.0153 cls=0.4890 smmd=0.4727 ct=6.9781 rec=1.2184 | train/val/test=0.842/0.797/0.799 | c=0.500000
[Epoch 0016] loss=10.9936 cls=0.4535 smmd=0.5148 ct=6.9937 rec=1.2027 | train/val/test=0.849/0.804/0.799 | c=0.500000
[Epoch 0017] loss=10.9626 cls=0.4246 smmd=0.5415 ct=6.9954 rec=1.1915 | train/val/test=0.861/0.814/0.814 | c=0.500000
[Epoch 0018] loss=10.8912 cls=0.3938 smmd=0.5433 ct=6.9853 rec=1.1836 | train/val/test=0.871/0.834/0.834 | c=0.500000
[Epoch 0019] loss=10.7894 cls=0.3642 smmd=0.5254 ct=6.9707 rec=1.1778 | train/val/test=0.883/0.843/0.847 | c=0.500000
[Epoch 0020] loss=10.6312 cls=0.3406 smmd=0.4729 ct=6.9571 rec=1.1733 | train/val/test=0.889/0.852/0.856 | c=0.500000
