Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=10.7219 cls=2.0620 smmd=6.9008 ct=7.4106 rec=1.3844 | train/val/test=0.121/0.118/0.118 | c=1.498601
[Epoch 0001] loss=10.8103 cls=2.1045 smmd=6.9470 ct=7.4096 rec=1.3845 | train/val/test=0.250/0.264/0.255 | c=1.498601
[Epoch 0002] loss=11.6701 cls=2.9285 smmd=6.9732 ct=7.4104 rec=1.4322 | train/val/test=0.250/0.264/0.255 | c=1.498601
[Epoch 0003] loss=10.5404 cls=1.9480 smmd=6.6996 ct=8.0735 rec=1.3905 | train/val/test=0.122/0.107/0.110 | c=1.498601
[Epoch 0004] loss=10.4295 cls=2.3835 smmd=6.1262 ct=8.2132 rec=1.3858 | train/val/test=0.262/0.242/0.251 | c=1.498601
[Epoch 0005] loss=8.6642 cls=1.8702 smmd=4.9102 ct=8.0348 rec=1.3839 | train/val/test=0.428/0.435/0.433 | c=1.498601
[Epoch 0006] loss=8.2960 cls=1.9018 smmd=4.5444 ct=7.8533 rec=1.3960 | train/val/test=0.443/0.448/0.446 | c=1.498601
[Epoch 0007] loss=8.3066 cls=1.7302 smmd=4.7209 ct=7.8959 rec=1.3817 | train/val/test=0.405/0.386/0.408 | c=1.498601
[Epoch 0008] loss=7.7979 cls=1.6595 smmd=4.3005 ct=7.8166 rec=1.3727 | train/val/test=0.606/0.603/0.605 | c=1.498601
[Epoch 0009] loss=6.4081 cls=1.2825 smmd=3.3501 ct=7.5236 rec=1.3543 | train/val/test=0.498/0.505/0.508 | c=1.498601
[Epoch 0010] loss=5.7690 cls=1.2281 smmd=2.7015 ct=7.8528 rec=1.3443 | train/val/test=0.640/0.654/0.648 | c=1.498601
[Epoch 0011] loss=5.5649 cls=1.0535 smmd=2.6701 ct=7.8809 rec=1.3256 | train/val/test=0.775/0.763/0.779 | c=1.498601
[Epoch 0012] loss=5.3774 cls=0.8600 smmd=2.7184 ct=7.7126 rec=1.2825 | train/val/test=0.800/0.784/0.791 | c=1.498601
[Epoch 0013] loss=5.1275 cls=0.7731 smmd=2.5699 ct=7.6584 rec=1.2643 | train/val/test=0.813/0.799/0.814 | c=1.498601
[Epoch 0014] loss=4.7028 cls=0.6732 smmd=2.2577 ct=7.6150 rec=1.2447 | train/val/test=0.816/0.799/0.822 | c=1.498601
[Epoch 0015] loss=4.3839 cls=0.6005 smmd=2.0257 ct=7.5620 rec=1.2265 | train/val/test=0.833/0.821/0.839 | c=1.498601
[Epoch 0016] loss=4.3359 cls=0.5420 smmd=2.0322 ct=7.5960 rec=1.2125 | train/val/test=0.839/0.827/0.840 | c=1.498601
[Epoch 0017] loss=4.3014 cls=0.4937 smmd=2.0413 ct=7.6308 rec=1.2017 | train/val/test=0.863/0.853/0.867 | c=1.498601
[Epoch 0018] loss=4.1282 cls=0.4416 smmd=1.9209 ct=7.6344 rec=1.1940 | train/val/test=0.883/0.876/0.884 | c=1.498601
[Epoch 0019] loss=3.9221 cls=0.4021 smmd=1.7615 ct=7.6023 rec=1.1900 | train/val/test=0.884/0.876/0.888 | c=1.498601
[Epoch 0020] loss=3.8278 cls=0.3874 smmd=1.6863 ct=7.5823 rec=1.1883 | train/val/test=0.889/0.875/0.886 | c=1.498601
[Epoch 0021] loss=3.8071 cls=0.3779 smmd=1.6729 ct=7.5984 rec=1.1830 | train/val/test=0.894/0.884/0.896 | c=1.498601
[Epoch 0022] loss=3.7348 cls=0.3611 smmd=1.6246 ct=7.5633 rec=1.1819 | train/val/test=0.905/0.891/0.900 | c=1.498601
[Epoch 0023] loss=3.6314 cls=0.3508 smmd=1.5299 ct=7.5743 rec=1.1794 | train/val/test=0.903/0.888/0.905 | c=1.498601
[Epoch 0024] loss=3.5379 cls=0.3367 smmd=1.4574 ct=7.5415 rec=1.1775 | train/val/test=0.908/0.894/0.899 | c=1.498601
[Epoch 0025] loss=3.4830 cls=0.3377 smmd=1.3925 ct=7.5902 rec=1.1741 | train/val/test=0.879/0.875/0.885 | c=1.498601
[Epoch 0026] loss=3.4721 cls=0.3606 smmd=1.3678 ct=7.5405 rec=1.1781 | train/val/test=0.831/0.825/0.821 | c=1.498601
[Epoch 0027] loss=3.6923 cls=0.5757 smmd=1.3440 ct=7.6744 rec=1.1886 | train/val/test=0.796/0.780/0.799 | c=1.498601
[Epoch 0028] loss=3.9432 cls=0.8019 smmd=1.4004 ct=7.5131 rec=1.1913 | train/val/test=0.785/0.774/0.767 | c=1.498601
[Epoch 0029] loss=3.8357 cls=0.7280 smmd=1.3267 ct=7.7046 rec=1.2008 | train/val/test=0.899/0.890/0.901 | c=1.498601
[Epoch 0030] loss=3.1993 cls=0.3269 smmd=1.1268 ct=7.5593 rec=1.1685 | train/val/test=0.799/0.790/0.804 | c=1.498601
[Epoch 0031] loss=3.7622 cls=0.7349 smmd=1.2756 ct=7.5609 rec=1.1979 | train/val/test=0.804/0.801/0.786 | c=1.498601
[Epoch 0032] loss=3.8084 cls=0.7248 smmd=1.2971 ct=7.7441 rec=1.1884 | train/val/test=0.664/0.683/0.676 | c=1.498601
[Epoch 0033] loss=4.0373 cls=0.9078 smmd=1.3252 ct=7.7962 rec=1.2256 | train/val/test=0.532/0.525/0.524 | c=1.498601
[Epoch 0034] loss=5.8237 cls=2.3972 smmd=1.6257 ct=7.7308 rec=1.2730 | train/val/test=0.547/0.559/0.541 | c=1.498601
[Epoch 0035] loss=6.3608 cls=2.0859 smmd=2.4650 ct=7.6675 rec=1.3820 | train/val/test=0.715/0.707/0.701 | c=1.498601
[Epoch 0036] loss=5.9365 cls=1.4476 smmd=2.6861 ct=7.7803 rec=1.2343 | train/val/test=0.754/0.740/0.745 | c=1.498601
[Epoch 0037] loss=5.2040 cls=1.0572 smmd=2.3289 ct=7.8739 rec=1.2156 | train/val/test=0.737/0.728/0.729 | c=1.498601
[Epoch 0038] loss=4.5517 cls=0.7908 smmd=1.9273 ct=7.9789 rec=1.1891 | train/val/test=0.437/0.431/0.443 | c=1.498601
