Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=1996, val=665, test=666 (mode=public, shot=N/A)
[Epoch 0000] loss=20.8955 cls=1.7914 smmd=4.3338 ct=6.9562 rec=1.3917 | train/val/test=0.275/0.256/0.252 | c=1.998372
[Epoch 0001] loss=19.9017 cls=1.7820 smmd=3.8462 ct=6.9381 rec=1.3917 | train/val/test=0.515/0.481/0.511 | c=1.998372
[Epoch 0002] loss=17.3211 cls=1.7569 smmd=2.5909 ct=6.8482 rec=1.3916 | train/val/test=0.523/0.520/0.550 | c=1.998372
[Epoch 0003] loss=17.2620 cls=1.6995 smmd=2.4217 ct=7.5224 rec=1.3916 | train/val/test=0.406/0.391/0.399 | c=1.998372
[Epoch 0004] loss=16.0262 cls=1.6242 smmd=1.9741 ct=6.9948 rec=1.3913 | train/val/test=0.718/0.723/0.719 | c=1.998372
[Epoch 0005] loss=14.7627 cls=1.5242 smmd=1.4134 ct=6.9337 rec=1.3889 | train/val/test=0.710/0.738/0.727 | c=1.998372
[Epoch 0006] loss=14.7016 cls=1.4368 smmd=1.3763 ct=7.1717 rec=1.3853 | train/val/test=0.726/0.753/0.730 | c=1.998372
[Epoch 0007] loss=13.7973 cls=1.3392 smmd=0.9950 ct=7.1381 rec=1.3798 | train/val/test=0.730/0.750/0.734 | c=1.998372
[Epoch 0008] loss=13.5919 cls=1.2567 smmd=0.9669 ct=7.0680 rec=1.3735 | train/val/test=0.733/0.740/0.740 | c=1.998372
[Epoch 0009] loss=13.6301 cls=1.1880 smmd=1.0413 ct=7.0554 rec=1.3664 | train/val/test=0.733/0.755/0.745 | c=1.998372
[Epoch 0010] loss=12.8980 cls=1.1177 smmd=0.7329 ct=7.0600 rec=1.3569 | train/val/test=0.741/0.756/0.751 | c=1.998372
[Epoch 0011] loss=12.8003 cls=1.0601 smmd=0.7373 ct=7.0620 rec=1.3469 | train/val/test=0.742/0.761/0.748 | c=1.998372
[Epoch 0012] loss=12.8220 cls=1.0095 smmd=0.7963 ct=7.0776 rec=1.3362 | train/val/test=0.744/0.756/0.752 | c=1.998372
[Epoch 0013] loss=12.1348 cls=0.9478 smmd=0.5180 ct=7.0887 rec=1.3213 | train/val/test=0.745/0.758/0.752 | c=1.998372
[Epoch 0014] loss=12.1212 cls=0.8938 smmd=0.5696 ct=7.1218 rec=1.3054 | train/val/test=0.746/0.755/0.754 | c=1.998372
[Epoch 0015] loss=12.0530 cls=0.8488 smmd=0.6026 ct=7.1077 rec=1.2891 | train/val/test=0.753/0.758/0.764 | c=1.998372
[Epoch 0016] loss=11.5880 cls=0.8042 smmd=0.4417 ct=7.0831 rec=1.2717 | train/val/test=0.758/0.762/0.764 | c=1.998372
[Epoch 0017] loss=11.5458 cls=0.7701 smmd=0.4737 ct=7.0937 rec=1.2563 | train/val/test=0.758/0.761/0.767 | c=1.998372
[Epoch 0018] loss=11.4462 cls=0.7436 smmd=0.4699 ct=7.1056 rec=1.2420 | train/val/test=0.761/0.759/0.770 | c=1.998372
[Epoch 0019] loss=11.1816 cls=0.7247 smmd=0.3771 ct=7.1046 rec=1.2301 | train/val/test=0.762/0.761/0.770 | c=1.998372
[Epoch 0020] loss=11.1301 cls=0.7115 smmd=0.3786 ct=7.1067 rec=1.2216 | train/val/test=0.765/0.761/0.772 | c=1.998372
[Epoch 0021] loss=11.0884 cls=0.6995 smmd=0.3789 ct=7.1073 rec=1.2155 | train/val/test=0.767/0.764/0.770 | c=1.998372
[Epoch 0022] loss=10.9514 cls=0.6871 smmd=0.3280 ct=7.1051 rec=1.2112 | train/val/test=0.772/0.768/0.772 | c=1.998372
[Epoch 0023] loss=10.9262 cls=0.6776 smmd=0.3275 ct=7.1035 rec=1.2084 | train/val/test=0.774/0.761/0.778 | c=1.998372
[Epoch 0024] loss=10.9027 cls=0.6701 smmd=0.3297 ct=7.0907 rec=1.2056 | train/val/test=0.777/0.759/0.775 | c=1.998372
[Epoch 0025] loss=10.8166 cls=0.6597 smmd=0.2980 ct=7.0911 rec=1.2031 | train/val/test=0.779/0.761/0.778 | c=1.998372
[Epoch 0026] loss=10.8003 cls=0.6497 smmd=0.2968 ct=7.1064 rec=1.2008 | train/val/test=0.780/0.762/0.781 | c=1.998372
[Epoch 0027] loss=10.7562 cls=0.6418 smmd=0.2847 ct=7.1070 rec=1.1983 | train/val/test=0.783/0.762/0.781 | c=1.998372
[Epoch 0028] loss=10.6966 cls=0.6323 smmd=0.2676 ct=7.0992 rec=1.1959 | train/val/test=0.784/0.764/0.785 | c=1.998372
[Epoch 0029] loss=10.6690 cls=0.6247 smmd=0.2669 ct=7.0854 rec=1.1936 | train/val/test=0.786/0.762/0.784 | c=1.998372
[Epoch 0030] loss=10.6232 cls=0.6151 smmd=0.2521 ct=7.0892 rec=1.1919 | train/val/test=0.789/0.762/0.785 | c=1.998372
[Epoch 0031] loss=10.5878 cls=0.6084 smmd=0.2385 ct=7.0990 rec=1.1906 | train/val/test=0.794/0.767/0.785 | c=1.998372
[Epoch 0032] loss=10.5659 cls=0.5993 smmd=0.2319 ct=7.1030 rec=1.1903 | train/val/test=0.796/0.765/0.788 | c=1.998372
[Epoch 0033] loss=10.5331 cls=0.5926 smmd=0.2226 ct=7.0900 rec=1.1901 | train/val/test=0.800/0.764/0.785 | c=1.998372
[Epoch 0034] loss=10.5150 cls=0.5827 smmd=0.2188 ct=7.0857 rec=1.1904 | train/val/test=0.805/0.765/0.784 | c=1.998372
[Epoch 0035] loss=10.4962 cls=0.5772 smmd=0.2133 ct=7.0825 rec=1.1902 | train/val/test=0.806/0.768/0.785 | c=1.998372
[Epoch 0036] loss=10.4779 cls=0.5688 smmd=0.2052 ct=7.0918 rec=1.1906 | train/val/test=0.807/0.767/0.782 | c=1.998372
[Epoch 0037] loss=10.4580 cls=0.5738 smmd=0.1991 ct=7.0775 rec=1.1894 | train/val/test=0.806/0.776/0.779 | c=1.998372
[Epoch 0038] loss=10.4942 cls=0.5642 smmd=0.1993 ct=7.1245 rec=1.1938 | train/val/test=0.785/0.756/0.775 | c=1.998372
