Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0000] loss=17.2718 cls=1.9467 smmd=2.4694 ct=6.8839 rec=1.3889 | train/val/test=0.305/0.297/0.301 | c=0.500000
[Epoch 0001] loss=16.5276 cls=1.8305 smmd=2.1526 ct=6.8771 rec=1.3907 | train/val/test=0.304/0.297/0.301 | c=0.500000
[Epoch 0002] loss=15.8972 cls=1.8011 smmd=1.8459 ct=6.8691 rec=1.3939 | train/val/test=0.304/0.297/0.301 | c=0.500000
[Epoch 0003] loss=15.2780 cls=1.7907 smmd=1.5424 ct=6.8592 rec=1.3946 | train/val/test=0.304/0.297/0.301 | c=0.500000
[Epoch 0004] loss=14.6645 cls=1.7698 smmd=1.2538 ct=6.8472 rec=1.3927 | train/val/test=0.304/0.297/0.301 | c=0.500000
[Epoch 0005] loss=14.1000 cls=1.7527 smmd=0.9872 ct=6.8351 rec=1.3911 | train/val/test=0.308/0.299/0.303 | c=0.500000
[Epoch 0006] loss=13.5893 cls=1.7431 smmd=0.7416 ct=6.8240 rec=1.3902 | train/val/test=0.386/0.363/0.356 | c=0.500000
[Epoch 0007] loss=13.1707 cls=1.7298 smmd=0.5425 ct=6.8146 rec=1.3897 | train/val/test=0.432/0.397/0.389 | c=0.500000
[Epoch 0008] loss=12.8097 cls=1.7070 smmd=0.3762 ct=6.8062 rec=1.3894 | train/val/test=0.430/0.393/0.387 | c=0.500000
[Epoch 0009] loss=12.5343 cls=1.6764 smmd=0.2562 ct=6.7980 rec=1.3893 | train/val/test=0.417/0.382/0.378 | c=0.500000
[Epoch 0010] loss=12.3367 cls=1.6410 smmd=0.1774 ct=6.7892 rec=1.3892 | train/val/test=0.411/0.376/0.373 | c=0.500000
[Epoch 0011] loss=12.2082 cls=1.6023 smmd=0.1355 ct=6.7787 rec=1.3891 | train/val/test=0.423/0.387/0.386 | c=0.500000
[Epoch 0012] loss=12.1218 cls=1.5603 smmd=0.1178 ct=6.7660 rec=1.3886 | train/val/test=0.446/0.406/0.408 | c=0.500000
[Epoch 0013] loss=12.0618 cls=1.5144 smmd=0.1184 ct=6.7510 rec=1.3870 | train/val/test=0.485/0.435/0.445 | c=0.500000
[Epoch 0014] loss=12.0080 cls=1.4642 smmd=0.1284 ct=6.7337 rec=1.3840 | train/val/test=0.532/0.485/0.476 | c=0.500000
[Epoch 0015] loss=12.2629 cls=1.4104 smmd=0.1426 ct=7.3396 rec=1.3795 | train/val/test=0.598/0.557/0.548 | c=0.500000
[Epoch 0016] loss=12.1807 cls=1.3522 smmd=0.1535 ct=7.3059 rec=1.3737 | train/val/test=0.663/0.625/0.601 | c=0.500000
[Epoch 0017] loss=12.0731 cls=1.2879 smmd=0.1621 ct=7.2551 rec=1.3667 | train/val/test=0.686/0.661/0.629 | c=0.500000
[Epoch 0018] loss=11.9456 cls=1.2179 smmd=0.1680 ct=7.1977 rec=1.3586 | train/val/test=0.704/0.679/0.646 | c=0.500000
[Epoch 0019] loss=11.8127 cls=1.1462 smmd=0.1737 ct=7.1432 rec=1.3495 | train/val/test=0.716/0.677/0.664 | c=0.500000
[Epoch 0020] loss=11.6725 cls=1.0773 smmd=0.1744 ct=7.0982 rec=1.3395 | train/val/test=0.720/0.694/0.672 | c=0.500000
[Epoch 0021] loss=11.5272 cls=1.0138 smmd=0.1694 ct=7.0647 rec=1.3285 | train/val/test=0.725/0.696/0.683 | c=0.500000
[Epoch 0022] loss=11.3823 cls=0.9568 smmd=0.1605 ct=7.0418 rec=1.3167 | train/val/test=0.730/0.705/0.679 | c=0.500000
[Epoch 0023] loss=11.2417 cls=0.9065 smmd=0.1484 ct=7.0282 rec=1.3049 | train/val/test=0.739/0.707/0.696 | c=0.500000
[Epoch 0024] loss=11.1155 cls=0.8607 smmd=0.1374 ct=7.0225 rec=1.2937 | train/val/test=0.744/0.708/0.707 | c=0.500000
[Epoch 0025] loss=10.9920 cls=0.8170 smmd=0.1221 ct=7.0224 rec=1.2839 | train/val/test=0.750/0.721/0.710 | c=0.500000
[Epoch 0026] loss=10.8869 cls=0.7758 smmd=0.1101 ct=7.0262 rec=1.2756 | train/val/test=0.755/0.729/0.723 | c=0.500000
[Epoch 0027] loss=10.7975 cls=0.7390 smmd=0.0999 ct=7.0322 rec=1.2685 | train/val/test=0.760/0.729/0.731 | c=0.500000
[Epoch 0028] loss=10.7210 cls=0.7076 smmd=0.0911 ct=7.0383 rec=1.2624 | train/val/test=0.767/0.729/0.742 | c=0.500000
[Epoch 0029] loss=10.6609 cls=0.6818 smmd=0.0863 ct=7.0436 rec=1.2569 | train/val/test=0.778/0.736/0.742 | c=0.500000
[Epoch 0030] loss=10.6100 cls=0.6608 smmd=0.0821 ct=7.0478 rec=1.2522 | train/val/test=0.786/0.755/0.745 | c=0.500000
[Epoch 0031] loss=10.5649 cls=0.6435 smmd=0.0772 ct=7.0507 rec=1.2483 | train/val/test=0.795/0.768/0.766 | c=0.500000
[Epoch 0032] loss=10.5325 cls=0.6286 smmd=0.0754 ct=7.0523 rec=1.2454 | train/val/test=0.802/0.769/0.780 | c=0.500000
[Epoch 0033] loss=10.5098 cls=0.6152 smmd=0.0756 ct=7.0526 rec=1.2434 | train/val/test=0.813/0.768/0.788 | c=0.500000
[Epoch 0034] loss=10.4885 cls=0.6028 smmd=0.0746 ct=7.0521 rec=1.2421 | train/val/test=0.819/0.768/0.790 | c=0.500000
[Epoch 0035] loss=10.4695 cls=0.5917 smmd=0.0732 ct=7.0507 rec=1.2412 | train/val/test=0.823/0.769/0.793 | c=0.500000
