Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=11830, val=3943, test=3944 (mode=public, shot=N/A)
[Epoch 0000] loss=56.8484 cls=1.1011 smmd=4.1085 ct=7.2531 rec=1.4136 | train/val/test=0.392/0.400/0.387 | c=1.498779
[Epoch 0001] loss=33.3017 cls=1.0658 smmd=1.7676 ct=7.1925 rec=1.4153 | train/val/test=0.477/0.475/0.481 | c=1.498779
[Epoch 0002] loss=22.4791 cls=1.0689 smmd=0.7046 ct=7.0958 rec=1.4140 | train/val/test=0.538/0.540/0.543 | c=1.498779
[Epoch 0003] loss=27.5111 cls=1.0592 smmd=1.0713 ct=7.7809 rec=1.4137 | train/val/test=0.560/0.570/0.565 | c=1.498779
[Epoch 0004] loss=26.7136 cls=1.0210 smmd=1.0406 ct=7.5448 rec=1.4151 | train/val/test=0.541/0.555/0.554 | c=1.498779
[Epoch 0005] loss=24.1920 cls=0.9945 smmd=0.8154 ct=7.4159 rec=1.4176 | train/val/test=0.544/0.558/0.555 | c=1.498779
[Epoch 0006] loss=21.6830 cls=0.9727 smmd=0.5704 ct=7.3916 rec=1.4180 | train/val/test=0.544/0.557/0.555 | c=1.498779
[Epoch 0007] loss=21.6656 cls=0.9437 smmd=0.5678 ct=7.4041 rec=1.4152 | train/val/test=0.538/0.553/0.548 | c=1.498779
[Epoch 0008] loss=22.9580 cls=0.9076 smmd=0.6973 ct=7.4130 rec=1.4099 | train/val/test=0.538/0.553/0.549 | c=1.498779
[Epoch 0009] loss=22.9120 cls=0.8693 smmd=0.7018 ct=7.3790 rec=1.4033 | train/val/test=0.578/0.591/0.585 | c=1.498779
[Epoch 0010] loss=21.5331 cls=0.8320 smmd=0.5733 ct=7.3430 rec=1.3960 | train/val/test=0.640/0.653/0.643 | c=1.498779
[Epoch 0011] loss=20.0762 cls=0.7977 smmd=0.4287 ct=7.3484 rec=1.3880 | train/val/test=0.678/0.685/0.677 | c=1.498779
[Epoch 0012] loss=19.6593 cls=0.7695 smmd=0.3833 ct=7.3757 rec=1.3800 | train/val/test=0.694/0.699/0.698 | c=1.498779
[Epoch 0013] loss=20.0826 cls=0.7476 smmd=0.4234 ct=7.3944 rec=1.3725 | train/val/test=0.699/0.707/0.703 | c=1.498779
[Epoch 0014] loss=20.2605 cls=0.7282 smmd=0.4426 ct=7.3936 rec=1.3660 | train/val/test=0.709/0.715/0.712 | c=1.498779
[Epoch 0015] loss=19.8626 cls=0.7055 smmd=0.4084 ct=7.3727 rec=1.3603 | train/val/test=0.729/0.731/0.729 | c=1.498779
[Epoch 0016] loss=19.3676 cls=0.6790 smmd=0.3636 ct=7.3574 rec=1.3552 | train/val/test=0.737/0.738/0.735 | c=1.498779
[Epoch 0017] loss=19.2538 cls=0.6561 smmd=0.3513 ct=7.3685 rec=1.3518 | train/val/test=0.744/0.747/0.742 | c=1.498779
[Epoch 0018] loss=19.3530 cls=0.6365 smmd=0.3584 ct=7.3879 rec=1.3490 | train/val/test=0.762/0.763/0.755 | c=1.498779
[Epoch 0019] loss=19.2746 cls=0.6132 smmd=0.3516 ct=7.3899 rec=1.3445 | train/val/test=0.777/0.785/0.774 | c=1.498779
[Epoch 0020] loss=19.0955 cls=0.5920 smmd=0.3398 ct=7.3659 rec=1.3389 | train/val/test=0.786/0.789/0.782 | c=1.498779
[Epoch 0021] loss=18.9427 cls=0.5767 smmd=0.3335 ct=7.3267 rec=1.3326 | train/val/test=0.789/0.791/0.784 | c=1.498779
[Epoch 0022] loss=18.7669 cls=0.5656 smmd=0.3227 ct=7.2967 rec=1.3268 | train/val/test=0.792/0.792/0.788 | c=1.498779
[Epoch 0023] loss=18.5640 cls=0.5518 smmd=0.3044 ct=7.2915 rec=1.3222 | train/val/test=0.798/0.796/0.795 | c=1.498779
[Epoch 0024] loss=18.4110 cls=0.5327 smmd=0.2857 ct=7.3141 rec=1.3189 | train/val/test=0.804/0.801/0.800 | c=1.498779
[Epoch 0025] loss=18.3203 cls=0.5148 smmd=0.2705 ct=7.3498 rec=1.3168 | train/val/test=0.810/0.807/0.809 | c=1.498779
[Epoch 0026] loss=18.2401 cls=0.5020 smmd=0.2591 ct=7.3703 rec=1.3157 | train/val/test=0.812/0.807/0.812 | c=1.498779
[Epoch 0027] loss=18.1727 cls=0.4924 smmd=0.2545 ct=7.3622 rec=1.3148 | train/val/test=0.813/0.811/0.814 | c=1.498779
[Epoch 0028] loss=18.1073 cls=0.4852 smmd=0.2538 ct=7.3349 rec=1.3143 | train/val/test=0.815/0.813/0.817 | c=1.498779
[Epoch 0029] loss=18.0383 cls=0.4799 smmd=0.2534 ct=7.3039 rec=1.3139 | train/val/test=0.819/0.814/0.819 | c=1.498779
[Epoch 0030] loss=18.0318 cls=0.4761 smmd=0.2576 ct=7.2807 rec=1.3135 | train/val/test=0.820/0.816/0.822 | c=1.498779
[Epoch 0031] loss=18.0492 cls=0.4742 smmd=0.2610 ct=7.2728 rec=1.3133 | train/val/test=0.823/0.817/0.823 | c=1.498779
[Epoch 0032] loss=18.0357 cls=0.4728 smmd=0.2572 ct=7.2853 rec=1.3136 | train/val/test=0.823/0.816/0.825 | c=1.498779
[Epoch 0033] loss=18.0283 cls=0.4708 smmd=0.2531 ct=7.3024 rec=1.3144 | train/val/test=0.824/0.819/0.826 | c=1.498779
[Epoch 0034] loss=17.9884 cls=0.4685 smmd=0.2474 ct=7.3112 rec=1.3154 | train/val/test=0.825/0.819/0.825 | c=1.498779
[Epoch 0035] loss=17.9757 cls=0.4671 smmd=0.2467 ct=7.3085 rec=1.3163 | train/val/test=0.825/0.821/0.827 | c=1.498779
[Epoch 0036] loss=17.9364 cls=0.4662 smmd=0.2455 ct=7.2951 rec=1.3167 | train/val/test=0.827/0.821/0.825 | c=1.498779
[Epoch 0037] loss=17.9160 cls=0.4657 smmd=0.2460 ct=7.2822 rec=1.3167 | train/val/test=0.827/0.820/0.826 | c=1.498779
[Epoch 0038] loss=17.8571 cls=0.4653 smmd=0.2419 ct=7.2736 rec=1.3164 | train/val/test=0.827/0.819/0.827 | c=1.498779
[Epoch 0039] loss=17.7934 cls=0.4648 smmd=0.2362 ct=7.2704 rec=1.3157 | train/val/test=0.827/0.818/0.827 | c=1.498779
