Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=1996, val=665, test=666 (mode=public, shot=N/A)
[Epoch 0000] loss=16.8888 cls=1.7976 smmd=2.3321 ct=6.9371 rec=1.3917 | train/val/test=0.145/0.165/0.159 | c=0.998905
[Epoch 0001] loss=16.7729 cls=1.7885 smmd=2.2786 ct=6.9377 rec=1.3917 | train/val/test=0.370/0.352/0.336 | c=0.998905
[Epoch 0002] loss=15.5240 cls=1.7769 smmd=1.6628 ct=6.9260 rec=1.3917 | train/val/test=0.465/0.453/0.429 | c=0.998905
[Epoch 0003] loss=14.4586 cls=1.7629 smmd=1.1458 ct=6.8905 rec=1.3918 | train/val/test=0.582/0.541/0.548 | c=0.998905
[Epoch 0004] loss=14.3579 cls=1.7477 smmd=0.9255 ct=7.5996 rec=1.3919 | train/val/test=0.601/0.564/0.575 | c=0.998905
[Epoch 0005] loss=13.8363 cls=1.7305 smmd=0.7383 ct=7.3388 rec=1.3920 | train/val/test=0.574/0.544/0.557 | c=0.998905
[Epoch 0006] loss=13.5772 cls=1.7112 smmd=0.6847 ct=7.0733 rec=1.3920 | train/val/test=0.568/0.541/0.554 | c=0.998905
[Epoch 0007] loss=13.4100 cls=1.6893 smmd=0.6369 ct=6.9748 rec=1.3919 | train/val/test=0.597/0.579/0.584 | c=0.998905
[Epoch 0008] loss=13.0857 cls=1.6635 smmd=0.4849 ct=6.9880 rec=1.3917 | train/val/test=0.617/0.598/0.611 | c=0.998905
[Epoch 0009] loss=12.8128 cls=1.6345 smmd=0.3413 ct=7.0782 rec=1.3913 | train/val/test=0.621/0.612/0.605 | c=0.998905
[Epoch 0010] loss=12.7979 cls=1.6034 smmd=0.3211 ct=7.1960 rec=1.3908 | train/val/test=0.628/0.611/0.601 | c=0.998905
[Epoch 0011] loss=12.8506 cls=1.5705 smmd=0.3496 ct=7.2608 rec=1.3901 | train/val/test=0.631/0.620/0.625 | c=0.998905
[Epoch 0012] loss=12.7181 cls=1.5350 smmd=0.3085 ct=7.2411 rec=1.3891 | train/val/test=0.647/0.642/0.641 | c=0.998905
[Epoch 0013] loss=12.4923 cls=1.4975 smmd=0.2353 ct=7.1712 rec=1.3877 | train/val/test=0.672/0.666/0.659 | c=0.998905
[Epoch 0014] loss=12.4259 cls=1.4585 smmd=0.2464 ct=7.0903 rec=1.3859 | train/val/test=0.692/0.684/0.667 | c=0.998905
