Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.1918 cls=2.3166 smmd=4.7594 ct=7.6112 rec=1.3851 | train/val/test=0.153/0.163/0.158 | c=0.500000
[Epoch 0001] loss=8.6474 cls=1.9988 smmd=2.8506 ct=7.6082 rec=1.3874 | train/val/test=0.377/0.373/0.372 | c=0.500000
[Epoch 0002] loss=7.9918 cls=1.9083 smmd=2.3763 ct=7.6068 rec=1.3877 | train/val/test=0.377/0.373/0.372 | c=0.500000
[Epoch 0003] loss=8.7556 cls=2.1354 smmd=2.6804 ct=7.6090 rec=1.4128 | train/val/test=0.377/0.373/0.372 | c=0.500000
[Epoch 0004] loss=7.8159 cls=1.8129 smmd=2.3924 ct=7.6000 rec=1.3881 | train/val/test=0.377/0.373/0.372 | c=0.500000
[Epoch 0005] loss=7.2123 cls=1.8250 smmd=1.7677 ct=7.5885 rec=1.3847 | train/val/test=0.377/0.373/0.372 | c=0.500000
[Epoch 0006] loss=7.1418 cls=1.9331 smmd=1.4761 ct=7.5778 rec=1.4204 | train/val/test=0.377/0.373/0.372 | c=0.500000
[Epoch 0007] loss=6.6858 cls=1.6929 smmd=1.5154 ct=7.5347 rec=1.3888 | train/val/test=0.481/0.480/0.486 | c=0.500000
[Epoch 0008] loss=6.8826 cls=1.7459 smmd=1.6070 ct=7.5430 rec=1.3760 | train/val/test=0.379/0.373/0.373 | c=0.500000
[Epoch 0009] loss=6.2958 cls=1.5976 smmd=1.3278 ct=7.4820 rec=1.3817 | train/val/test=0.380/0.373/0.376 | c=0.500000
[Epoch 0010] loss=6.0471 cls=1.6009 smmd=1.0739 ct=7.4727 rec=1.3841 | train/val/test=0.642/0.635/0.649 | c=0.500000
[Epoch 0011] loss=5.5085 cls=1.4187 smmd=0.9125 ct=7.4334 rec=1.3599 | train/val/test=0.685/0.679/0.697 | c=0.500000
[Epoch 0012] loss=5.3303 cls=1.3721 smmd=0.8345 ct=7.4085 rec=1.3489 | train/val/test=0.614/0.597/0.618 | c=0.500000
