Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.2875 cls=2.3318 smmd=4.8239 ct=7.6149 rec=1.3851 | train/val/test=0.157/0.157/0.161 | c=0.998905
[Epoch 0001] loss=8.7329 cls=2.0395 smmd=2.8541 ct=7.6120 rec=1.3865 | train/val/test=0.371/0.399/0.362 | c=0.998905
[Epoch 0002] loss=8.1068 cls=1.9398 smmd=2.4275 ct=7.6118 rec=1.3874 | train/val/test=0.371/0.399/0.362 | c=0.998905
[Epoch 0003] loss=8.4335 cls=1.9749 smmd=2.6810 ct=7.6130 rec=1.4008 | train/val/test=0.371/0.399/0.362 | c=0.998905
[Epoch 0004] loss=7.9726 cls=1.8373 smmd=2.3370 ct=8.4163 rec=1.3882 | train/val/test=0.371/0.400/0.362 | c=0.998905
[Epoch 0005] loss=7.1697 cls=1.7911 smmd=1.6235 ct=8.4311 rec=1.3885 | train/val/test=0.371/0.399/0.362 | c=0.998905
[Epoch 0006] loss=6.9501 cls=1.7947 smmd=1.4279 ct=8.2629 rec=1.4006 | train/val/test=0.521/0.553/0.521 | c=0.998905
[Epoch 0007] loss=7.0795 cls=1.7497 smmd=1.6834 ct=8.1052 rec=1.3788 | train/val/test=0.372/0.399/0.362 | c=0.998905
[Epoch 0008] loss=6.8230 cls=1.7014 smmd=1.5746 ct=7.8331 rec=1.3943 | train/val/test=0.453/0.485/0.453 | c=0.998905
[Epoch 0009] loss=6.1787 cls=1.5065 smmd=1.3267 ct=7.8327 rec=1.3625 | train/val/test=0.646/0.663/0.635 | c=0.998905
[Epoch 0010] loss=5.8750 cls=1.4752 smmd=1.0660 ct=7.9379 rec=1.3555 | train/val/test=0.449/0.483/0.449 | c=0.998905
[Epoch 0011] loss=5.5908 cls=1.4423 smmd=0.8304 ct=8.0241 rec=1.3546 | train/val/test=0.638/0.643/0.622 | c=0.998905
[Epoch 0012] loss=5.2665 cls=1.2856 smmd=0.8006 ct=8.1428 rec=1.3309 | train/val/test=0.685/0.694/0.674 | c=0.998905
[Epoch 0013] loss=5.1185 cls=1.2260 smmd=0.7798 ct=8.1173 rec=1.3158 | train/val/test=0.671/0.693/0.660 | c=0.998905
[Epoch 0014] loss=4.8222 cls=1.1434 smmd=0.6689 ct=8.0309 rec=1.3015 | train/val/test=0.651/0.650/0.630 | c=0.998905
[Epoch 0015] loss=4.6183 cls=1.0938 smmd=0.5762 ct=7.9827 rec=1.2901 | train/val/test=0.685/0.687/0.672 | c=0.998905
[Epoch 0016] loss=4.3331 cls=0.9975 smmd=0.5049 ct=7.8936 rec=1.2724 | train/val/test=0.699/0.707/0.690 | c=0.998905
[Epoch 0017] loss=4.2338 cls=0.9609 smmd=0.4914 ct=7.8383 rec=1.2646 | train/val/test=0.705/0.708/0.688 | c=0.998905
[Epoch 0018] loss=4.0718 cls=0.9001 smmd=0.4556 ct=7.8236 rec=1.2565 | train/val/test=0.717/0.723/0.702 | c=0.998905
[Epoch 0019] loss=3.9458 cls=0.8617 smmd=0.4123 ct=7.8001 rec=1.2500 | train/val/test=0.726/0.734/0.712 | c=0.998905
[Epoch 0020] loss=3.8287 cls=0.8238 smmd=0.3716 ct=7.8053 rec=1.2427 | train/val/test=0.755/0.758/0.743 | c=0.998905
[Epoch 0021] loss=3.7191 cls=0.7839 smmd=0.3364 ct=7.8395 rec=1.2346 | train/val/test=0.769/0.772/0.758 | c=0.998905
[Epoch 0022] loss=3.6153 cls=0.7427 smmd=0.3135 ct=7.8502 rec=1.2324 | train/val/test=0.764/0.766/0.752 | c=0.998905
[Epoch 0023] loss=3.5414 cls=0.7183 smmd=0.2863 ct=7.8599 rec=1.2328 | train/val/test=0.770/0.770/0.753 | c=0.998905
[Epoch 0024] loss=3.4756 cls=0.6988 smmd=0.2582 ct=7.8716 rec=1.2276 | train/val/test=0.772/0.776/0.771 | c=0.998905
[Epoch 0025] loss=3.4184 cls=0.6768 smmd=0.2466 ct=7.8694 rec=1.2220 | train/val/test=0.783/0.783/0.772 | c=0.998905
[Epoch 0026] loss=3.3555 cls=0.6550 smmd=0.2271 ct=7.8675 rec=1.2243 | train/val/test=0.789/0.788/0.784 | c=0.998905
