Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=8.6267 cls=2.0845 smmd=4.7833 ct=7.4103 rec=1.3844 | train/val/test=0.124/0.118/0.107 | c=0.998905
[Epoch 0001] loss=8.8247 cls=2.1176 smmd=4.9482 ct=7.4102 rec=1.3844 | train/val/test=0.220/0.213/0.230 | c=0.998905
[Epoch 0002] loss=8.1547 cls=2.0288 smmd=4.3675 ct=7.4082 rec=1.3844 | train/val/test=0.415/0.403/0.414 | c=0.998905
[Epoch 0003] loss=7.0776 cls=1.9354 smmd=3.3839 ct=7.4052 rec=1.3863 | train/val/test=0.254/0.251/0.256 | c=0.998905
[Epoch 0004] loss=6.5684 cls=1.9333 smmd=2.8769 ct=7.4006 rec=1.3906 | train/val/test=0.361/0.349/0.370 | c=0.998905
[Epoch 0005] loss=6.0403 cls=1.8888 smmd=2.3990 ct=7.3742 rec=1.3886 | train/val/test=0.407/0.393/0.421 | c=0.998905
[Epoch 0006] loss=5.8033 cls=1.8448 smmd=2.2083 ct=7.3645 rec=1.3866 | train/val/test=0.433/0.424/0.444 | c=0.998905
[Epoch 0007] loss=5.3951 cls=1.7745 smmd=1.8731 ct=7.3521 rec=1.3852 | train/val/test=0.326/0.320/0.332 | c=0.998905
[Epoch 0008] loss=4.7882 cls=1.7051 smmd=1.2355 ct=7.8538 rec=1.3843 | train/val/test=0.336/0.338/0.344 | c=0.998905
[Epoch 0009] loss=4.6243 cls=1.6390 smmd=1.1724 ct=7.6827 rec=1.3821 | train/val/test=0.515/0.525/0.524 | c=0.998905
[Epoch 0010] loss=4.5507 cls=1.5269 smmd=1.2302 ct=7.5917 rec=1.3762 | train/val/test=0.697/0.699/0.709 | c=0.998905
[Epoch 0011] loss=4.0744 cls=1.3926 smmd=0.9117 ct=7.4839 rec=1.3665 | train/val/test=0.725/0.722/0.733 | c=0.998905
[Epoch 0012] loss=3.7219 cls=1.2633 smmd=0.6915 ct=7.4814 rec=1.3540 | train/val/test=0.789/0.790/0.788 | c=0.998905
[Epoch 0013] loss=3.6959 cls=1.1486 smmd=0.7655 ct=7.5722 rec=1.3369 | train/val/test=0.757/0.760/0.769 | c=0.998905
[Epoch 0014] loss=3.5619 cls=1.0380 smmd=0.7424 ct=7.5907 rec=1.3168 | train/val/test=0.786/0.782/0.782 | c=0.998905
[Epoch 0015] loss=3.3061 cls=0.9468 smmd=0.5995 ct=7.5029 rec=1.2964 | train/val/test=0.780/0.781/0.787 | c=0.998905
[Epoch 0016] loss=3.1695 cls=0.8764 smmd=0.5362 ct=7.5097 rec=1.2746 | train/val/test=0.794/0.792/0.787 | c=0.998905
[Epoch 0017] loss=3.1152 cls=0.8019 smmd=0.5659 ct=7.4806 rec=1.2564 | train/val/test=0.799/0.795/0.801 | c=0.998905
[Epoch 0018] loss=3.0204 cls=0.7347 smmd=0.5463 ct=7.4559 rec=1.2408 | train/val/test=0.798/0.794/0.802 | c=0.998905
[Epoch 0019] loss=2.9102 cls=0.6711 smmd=0.5046 ct=7.4434 rec=1.2293 | train/val/test=0.795/0.794/0.790 | c=0.998905
[Epoch 0020] loss=2.8489 cls=0.6140 smmd=0.5010 ct=7.4488 rec=1.2210 | train/val/test=0.805/0.808/0.807 | c=0.998905
[Epoch 0021] loss=2.7862 cls=0.5531 smmd=0.4959 ct=7.4726 rec=1.2132 | train/val/test=0.837/0.839/0.837 | c=0.998905
[Epoch 0022] loss=2.7170 cls=0.5061 smmd=0.4769 ct=7.4636 rec=1.2062 | train/val/test=0.875/0.871/0.880 | c=0.998905
[Epoch 0023] loss=2.6564 cls=0.4721 smmd=0.4534 ct=7.4548 rec=1.2000 | train/val/test=0.884/0.876/0.893 | c=0.998905
[Epoch 0024] loss=2.6133 cls=0.4404 smmd=0.4415 ct=7.4620 rec=1.1950 | train/val/test=0.883/0.876/0.894 | c=0.998905
[Epoch 0025] loss=2.5700 cls=0.4139 smmd=0.4284 ct=7.4508 rec=1.1876 | train/val/test=0.887/0.878/0.900 | c=0.998905
[Epoch 0026] loss=2.5312 cls=0.3912 smmd=0.4168 ct=7.4332 rec=1.1826 | train/val/test=0.892/0.882/0.908 | c=0.998905
[Epoch 0027] loss=2.4952 cls=0.3734 smmd=0.3999 ct=7.4292 rec=1.1804 | train/val/test=0.890/0.882/0.907 | c=0.998905
[Epoch 0028] loss=2.4575 cls=0.3610 smmd=0.3743 ct=7.4343 rec=1.1766 | train/val/test=0.892/0.886/0.911 | c=0.998905
[Epoch 0029] loss=2.4298 cls=0.3462 smmd=0.3592 ct=7.4455 rec=1.1758 | train/val/test=0.895/0.886/0.910 | c=0.998905
[Epoch 0030] loss=2.4013 cls=0.3332 smmd=0.3422 ct=7.4524 rec=1.1770 | train/val/test=0.900/0.888/0.914 | c=0.998905
[Epoch 0031] loss=2.3752 cls=0.3262 smmd=0.3230 ct=7.4545 rec=1.1759 | train/val/test=0.901/0.890/0.916 | c=0.998905
[Epoch 0032] loss=2.3460 cls=0.3179 smmd=0.3008 ct=7.4599 rec=1.1767 | train/val/test=0.905/0.892/0.922 | c=0.998905
[Epoch 0033] loss=2.3228 cls=0.3111 smmd=0.2841 ct=7.4613 rec=1.1762 | train/val/test=0.912/0.899/0.927 | c=0.998905
[Epoch 0034] loss=2.3024 cls=0.3053 smmd=0.2708 ct=7.4548 rec=1.1767 | train/val/test=0.913/0.901/0.930 | c=0.998905
[Epoch 0035] loss=2.2772 cls=0.3014 smmd=0.2504 ct=7.4496 rec=1.1774 | train/val/test=0.915/0.901/0.925 | c=0.998905
[Epoch 0036] loss=2.2557 cls=0.2977 smmd=0.2320 ct=7.4560 rec=1.1743 | train/val/test=0.916/0.901/0.931 | c=0.998905
[Epoch 0037] loss=2.2386 cls=0.2949 smmd=0.2158 ct=7.4627 rec=1.1768 | train/val/test=0.919/0.902/0.929 | c=0.998905
[Epoch 0038] loss=2.2203 cls=0.2913 smmd=0.2001 ct=7.4715 rec=1.1731 | train/val/test=0.912/0.894/0.929 | c=0.998905
[Epoch 0039] loss=2.2123 cls=0.2951 smmd=0.1878 ct=7.4688 rec=1.1782 | train/val/test=0.908/0.888/0.916 | c=0.998905
[Epoch 0040] loss=2.2231 cls=0.3097 smmd=0.1845 ct=7.4741 rec=1.1705 | train/val/test=0.860/0.836/0.873 | c=0.998905
[Epoch 0041] loss=2.2957 cls=0.3802 smmd=0.1852 ct=7.4658 rec=1.1860 | train/val/test=0.858/0.837/0.860 | c=0.998905
[Epoch 0042] loss=2.4642 cls=0.4999 smmd=0.2241 ct=7.5176 rec=1.1832 | train/val/test=0.794/0.779/0.813 | c=0.998905
[Epoch 0043] loss=2.6521 cls=0.6570 smmd=0.2493 ct=7.5297 rec=1.1993 | train/val/test=0.907/0.890/0.911 | c=0.998905
[Epoch 0044] loss=2.2216 cls=0.3266 smmd=0.1704 ct=7.4510 rec=1.1720 | train/val/test=0.896/0.875/0.899 | c=0.998905
