Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-10-1 - 2025-09-21 03:29:53:
Running experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-10-1...
Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-10-1 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=11830, val=3943, test=3944 (mode=public, shot=N/A)
[Epoch 0000] loss=71.2039 cls=1.0999 smmd=5.5442 ct=7.2527 rec=1.4138 | train/val/test=0.391/0.395/0.395 | c=0.998437
[Epoch 0001] loss=51.4195 cls=1.0706 smmd=3.5803 ct=7.1868 rec=1.4147 | train/val/test=0.551/0.554/0.556 | c=0.998437
[Epoch 0002] loss=37.6260 cls=1.0779 smmd=2.2128 ct=7.1261 rec=1.4135 | train/val/test=0.546/0.552/0.552 | c=0.998437
[Epoch 0003] loss=40.3318 cls=1.0595 smmd=2.4900 ct=7.0977 rec=1.4131 | train/val/test=0.534/0.537/0.543 | c=0.998437
[Epoch 0004] loss=40.3306 cls=1.0124 smmd=2.3641 ct=7.7390 rec=1.4114 | train/val/test=0.527/0.540/0.543 | c=0.998437
[Epoch 0005] loss=36.1855 cls=0.9725 smmd=2.0039 ct=7.4782 rec=1.4077 | train/val/test=0.531/0.542/0.546 | c=0.998437
[Epoch 0006] loss=31.9775 cls=0.9608 smmd=1.5891 ct=7.4527 rec=1.4023 | train/val/test=0.534/0.544/0.550 | c=0.998437
[Epoch 0007] loss=34.2697 cls=0.9405 smmd=1.8024 ct=7.5390 rec=1.3955 | train/val/test=0.533/0.542/0.548 | c=0.998437
[Epoch 0008] loss=35.1124 cls=0.9029 smmd=1.8798 ct=7.5850 rec=1.3849 | train/val/test=0.540/0.546/0.553 | c=0.998437
[Epoch 0009] loss=29.0169 cls=0.8759 smmd=1.2756 ct=7.5671 rec=1.3783 | train/val/test=0.548/0.554/0.560 | c=0.998437
[Epoch 0010] loss=27.7260 cls=0.8406 smmd=1.1503 ct=7.5578 rec=1.3743 | train/val/test=0.572/0.581/0.585 | c=0.998437
[Epoch 0011] loss=30.2043 cls=0.8062 smmd=1.3990 ct=7.5618 rec=1.3745 | train/val/test=0.637/0.641/0.650 | c=0.998437
[Epoch 0012] loss=26.8794 cls=0.7695 smmd=1.0774 ct=7.5171 rec=1.3729 | train/val/test=0.699/0.698/0.705 | c=0.998437
[Epoch 0013] loss=26.1120 cls=0.7267 smmd=1.0018 ct=7.5237 rec=1.3670 | train/val/test=0.676/0.675/0.685 | c=0.998437
[Epoch 0014] loss=25.8331 cls=0.7094 smmd=0.9617 ct=7.5887 rec=1.3674 | train/val/test=0.721/0.715/0.726 | c=0.998437
[Epoch 0015] loss=25.0277 cls=0.6702 smmd=0.8887 ct=7.5623 rec=1.3628 | train/val/test=0.800/0.801/0.807 | c=0.998437
[Epoch 0016] loss=24.3550 cls=0.6271 smmd=0.8363 ct=7.5002 rec=1.3569 | train/val/test=0.807/0.812/0.813 | c=0.998437
[Epoch 0017] loss=23.3942 cls=0.6062 smmd=0.7407 ct=7.5043 rec=1.3520 | train/val/test=0.799/0.803/0.808 | c=0.998437
[Epoch 0018] loss=23.0636 cls=0.5750 smmd=0.7059 ct=7.5237 rec=1.3401 | train/val/test=0.796/0.795/0.802 | c=0.998437
[Epoch 0019] loss=22.4287 cls=0.5594 smmd=0.6398 ct=7.5417 rec=1.3347 | train/val/test=0.808/0.811/0.814 | c=0.998437
[Epoch 0020] loss=22.2050 cls=0.5391 smmd=0.6211 ct=7.5300 rec=1.3291 | train/val/test=0.819/0.820/0.825 | c=0.998437
[Epoch 0021] loss=21.3426 cls=0.5261 smmd=0.5421 ct=7.4979 rec=1.3260 | train/val/test=0.819/0.817/0.825 | c=0.998437
[Epoch 0022] loss=21.4341 cls=0.5247 smmd=0.5535 ct=7.4875 rec=1.3244 | train/val/test=0.819/0.819/0.823 | c=0.998437
[Epoch 0023] loss=20.9355 cls=0.5117 smmd=0.4977 ct=7.5217 rec=1.3188 | train/val/test=0.819/0.816/0.821 | c=0.998437
[Epoch 0024] loss=20.2827 cls=0.5032 smmd=0.4312 ct=7.5299 rec=1.3178 | train/val/test=0.820/0.817/0.822 | c=0.998437
