Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-3 - 2025-09-21 03:58:24:
Running experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-3...
Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-3 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=26, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=39.7743 cls=1.0988 smmd=5.5618 ct=11.2746 rec=1.4137 | train/val/test=0.346/0.200/0.178 | c=0.998437
[Epoch 0001] loss=29.8360 cls=1.0824 smmd=3.5815 ct=11.2461 rec=1.4136 | train/val/test=0.385/0.210/0.200 | c=0.998437
[Epoch 0002] loss=34.9596 cls=1.0578 smmd=4.6061 ct=11.2588 rec=1.4137 | train/val/test=0.500/0.268/0.252 | c=0.998437
[Epoch 0003] loss=33.7252 cls=1.0070 smmd=4.3717 ct=11.2218 rec=1.4135 | train/val/test=0.654/0.426/0.405 | c=0.998437
[Epoch 0004] loss=24.3784 cls=0.9071 smmd=2.5497 ct=11.0354 rec=1.4103 | train/val/test=0.615/0.430/0.407 | c=0.998437
[Epoch 0005] loss=26.5117 cls=0.8039 smmd=2.9804 ct=11.0676 rec=1.4040 | train/val/test=0.654/0.486/0.487 | c=0.998437
[Epoch 0006] loss=28.2663 cls=0.6758 smmd=3.3585 ct=10.9967 rec=1.3925 | train/val/test=0.769/0.564/0.567 | c=0.998437
[Epoch 0007] loss=25.7055 cls=0.5683 smmd=2.8710 ct=10.9287 rec=1.3786 | train/val/test=0.846/0.670/0.622 | c=0.998437
[Epoch 0008] loss=22.0038 cls=0.4981 smmd=2.0180 ct=11.5282 rec=1.3649 | train/val/test=0.962/0.736/0.710 | c=0.998437
[Epoch 0009] loss=23.1186 cls=0.4171 smmd=2.2583 ct=11.4827 rec=1.3570 | train/val/test=1.000/0.776/0.738 | c=0.998437
[Epoch 0010] loss=24.7743 cls=0.3562 smmd=2.5923 ct=11.4991 rec=1.3571 | train/val/test=1.000/0.782/0.755 | c=0.998437
[Epoch 0011] loss=22.2542 cls=0.2994 smmd=2.1011 ct=11.4637 rec=1.3541 | train/val/test=1.000/0.762/0.734 | c=0.998437
[Epoch 0012] loss=21.0198 cls=0.2530 smmd=1.8605 ct=11.4559 rec=1.3499 | train/val/test=1.000/0.760/0.730 | c=0.998437
