Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-10-3 - 2025-09-21 04:10:14:
Running experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-10-3...
Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-10-3 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=1996, val=665, test=666 (mode=public, shot=N/A)
[Epoch 0000] loss=20.3127 cls=1.8002 smmd=4.0443 ct=6.9308 rec=1.3917 | train/val/test=0.068/0.074/0.099 | c=0.998437
[Epoch 0001] loss=20.4480 cls=1.8004 smmd=4.1108 ct=6.9352 rec=1.3917 | train/val/test=0.229/0.220/0.216 | c=0.998437
[Epoch 0002] loss=18.6793 cls=1.7833 smmd=3.2412 ct=6.9105 rec=1.3917 | train/val/test=0.329/0.314/0.326 | c=0.998437
[Epoch 0003] loss=16.9158 cls=1.7634 smmd=2.3834 ct=6.8538 rec=1.3917 | train/val/test=0.315/0.305/0.302 | c=0.998437
[Epoch 0004] loss=16.1421 cls=1.7448 smmd=2.0175 ct=6.8061 rec=1.3919 | train/val/test=0.390/0.377/0.387 | c=0.998437
[Epoch 0005] loss=15.8023 cls=1.7243 smmd=1.8700 ct=6.7571 rec=1.3919 | train/val/test=0.480/0.457/0.443 | c=0.998437
[Epoch 0006] loss=15.7420 cls=1.6957 smmd=1.8709 ct=6.6924 rec=1.3917 | train/val/test=0.556/0.547/0.544 | c=0.998437
[Epoch 0007] loss=15.0418 cls=1.6615 smmd=1.5454 ct=6.6662 rec=1.3913 | train/val/test=0.590/0.586/0.574 | c=0.998437
[Epoch 0008] loss=14.6693 cls=1.6216 smmd=1.2080 ct=7.3575 rec=1.3906 | train/val/test=0.547/0.550/0.512 | c=0.998437
[Epoch 0009] loss=15.0477 cls=1.5805 smmd=1.4472 ct=7.2514 rec=1.3894 | train/val/test=0.521/0.528/0.489 | c=0.998437
[Epoch 0010] loss=14.8886 cls=1.5432 smmd=1.4076 ct=7.1828 rec=1.3878 | train/val/test=0.567/0.570/0.545 | c=0.998437
