Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-2 - 2025-09-21 04:17:28:
Running experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-2...
Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-2 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=50, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=37.8919 cls=1.7923 smmd=4.1186 ct=9.4802 rec=1.3917 | train/val/test=0.340/0.198/0.175 | c=0.998437
[Epoch 0001] loss=37.6384 cls=1.7851 smmd=3.8669 ct=9.4811 rec=1.3917 | train/val/test=0.340/0.200/0.190 | c=0.998437
[Epoch 0002] loss=36.4429 cls=1.7739 smmd=2.8642 ct=9.3875 rec=1.3917 | train/val/test=0.420/0.322/0.346 | c=0.998437
[Epoch 0003] loss=36.1035 cls=1.7555 smmd=2.4733 ct=9.4181 rec=1.3916 | train/val/test=0.500/0.294/0.308 | c=0.998437
[Epoch 0004] loss=35.3752 cls=1.7219 smmd=2.1697 ct=9.2146 rec=1.3915 | train/val/test=0.400/0.250/0.278 | c=0.998437
[Epoch 0005] loss=35.1913 cls=1.6818 smmd=1.9734 ct=9.2321 rec=1.3913 | train/val/test=0.480/0.378/0.404 | c=0.998437
[Epoch 0006] loss=34.8600 cls=1.6338 smmd=1.8586 ct=9.1392 rec=1.3906 | train/val/test=0.580/0.418/0.444 | c=0.998437
[Epoch 0007] loss=35.7762 cls=1.5809 smmd=1.7230 ct=9.6844 rec=1.3894 | train/val/test=0.640/0.462/0.469 | c=0.998437
[Epoch 0008] loss=35.4340 cls=1.5315 smmd=1.5973 ct=9.5949 rec=1.3881 | train/val/test=0.640/0.514/0.527 | c=0.998437
[Epoch 0009] loss=35.2878 cls=1.4795 smmd=1.7246 ct=9.4778 rec=1.3868 | train/val/test=0.720/0.548/0.572 | c=0.998437
[Epoch 0010] loss=35.3658 cls=1.4340 smmd=1.9180 ct=9.4376 rec=1.3856 | train/val/test=0.740/0.566/0.579 | c=0.998437
[Epoch 0011] loss=35.1901 cls=1.3944 smmd=1.7860 ct=9.4313 rec=1.3844 | train/val/test=0.760/0.542/0.574 | c=0.998437
[Epoch 0012] loss=34.9250 cls=1.3561 smmd=1.4657 ct=9.4728 rec=1.3836 | train/val/test=0.780/0.570/0.568 | c=0.998437
[Epoch 0013] loss=34.7568 cls=1.3147 smmd=1.1827 ct=9.5423 rec=1.3832 | train/val/test=0.820/0.568/0.575 | c=0.998437
[Epoch 0014] loss=34.7175 cls=1.2773 smmd=1.0191 ct=9.6144 rec=1.3831 | train/val/test=0.880/0.584/0.601 | c=0.998437
[Epoch 0015] loss=34.5699 cls=1.2424 smmd=0.9729 ct=9.5757 rec=1.3824 | train/val/test=0.900/0.588/0.590 | c=0.998437
[Epoch 0016] loss=34.4642 cls=1.2066 smmd=1.0406 ct=9.5011 rec=1.3818 | train/val/test=0.920/0.576/0.567 | c=0.998437
[Epoch 0017] loss=34.3969 cls=1.1560 smmd=1.0985 ct=9.4539 rec=1.3813 | train/val/test=0.880/0.606/0.588 | c=0.998437
[Epoch 0018] loss=34.2672 cls=1.1112 smmd=0.9998 ct=9.4582 rec=1.3795 | train/val/test=0.900/0.598/0.594 | c=0.998437
[Epoch 0019] loss=34.2249 cls=1.0619 smmd=0.8665 ct=9.5254 rec=1.3777 | train/val/test=0.920/0.584/0.591 | c=0.998437
[Epoch 0020] loss=34.0834 cls=0.9986 smmd=0.7084 ct=9.5605 rec=1.3755 | train/val/test=0.880/0.602/0.596 | c=0.998437
[Epoch 0021] loss=33.9729 cls=0.9527 smmd=0.6957 ct=9.5421 rec=1.3717 | train/val/test=0.920/0.620/0.618 | c=0.998437
[Epoch 0022] loss=33.8894 cls=0.8862 smmd=0.7196 ct=9.5268 rec=1.3673 | train/val/test=0.920/0.636/0.628 | c=0.998437
[Epoch 0023] loss=33.7328 cls=0.8296 smmd=0.6482 ct=9.5251 rec=1.3620 | train/val/test=0.900/0.636/0.629 | c=0.998437
[Epoch 0024] loss=33.6342 cls=0.7852 smmd=0.6052 ct=9.5364 rec=1.3564 | train/val/test=0.920/0.642/0.636 | c=0.998437
[Epoch 0025] loss=33.5122 cls=0.7256 smmd=0.5717 ct=9.5438 rec=1.3490 | train/val/test=0.920/0.660/0.644 | c=0.998437
[Epoch 0026] loss=33.3993 cls=0.6813 smmd=0.5540 ct=9.5455 rec=1.3414 | train/val/test=0.900/0.666/0.649 | c=0.998437
[Epoch 0027] loss=33.2730 cls=0.6461 smmd=0.5204 ct=9.5465 rec=1.3336 | train/val/test=0.920/0.660/0.653 | c=0.998437
[Epoch 0028] loss=33.1819 cls=0.6063 smmd=0.5165 ct=9.5545 rec=1.3253 | train/val/test=0.940/0.684/0.666 | c=0.998437
[Epoch 0029] loss=33.0436 cls=0.5774 smmd=0.4666 ct=9.5575 rec=1.3173 | train/val/test=0.960/0.686/0.671 | c=0.998437
