Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-5-1 - 2025-09-21 04:20:33:
Running experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-5-1...
Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-5-1 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0000] loss=20.7093 cls=1.9448 smmd=4.1851 ct=6.8997 rec=1.3889 | train/val/test=0.304/0.304/0.295 | c=0.998437
[Epoch 0001] loss=20.0630 cls=1.8460 smmd=3.9081 ct=6.8926 rec=1.3909 | train/val/test=0.304/0.304/0.295 | c=0.998437
[Epoch 0002] loss=19.4360 cls=1.8231 smmd=3.6008 ct=6.8830 rec=1.3940 | train/val/test=0.304/0.304/0.295 | c=0.998437
[Epoch 0003] loss=18.7779 cls=1.8111 smmd=3.2819 ct=6.8689 rec=1.3937 | train/val/test=0.304/0.304/0.295 | c=0.998437
[Epoch 0004] loss=18.0283 cls=1.7834 smmd=2.9310 ct=6.8490 rec=1.3917 | train/val/test=0.308/0.306/0.295 | c=0.998437
[Epoch 0005] loss=17.2983 cls=1.7637 smmd=2.5854 ct=6.8248 rec=1.3903 | train/val/test=0.385/0.406/0.378 | c=0.998437
[Epoch 0006] loss=16.5460 cls=1.7451 smmd=2.2277 ct=6.7970 rec=1.3894 | train/val/test=0.422/0.456/0.410 | c=0.998437
[Epoch 0007] loss=16.2187 cls=1.7138 smmd=1.9110 ct=7.4805 rec=1.3885 | train/val/test=0.433/0.474/0.428 | c=0.998437
[Epoch 0008] loss=15.5028 cls=1.6660 smmd=1.5985 ct=7.4073 rec=1.3872 | train/val/test=0.446/0.485/0.446 | c=0.998437
[Epoch 0009] loss=14.9176 cls=1.6031 smmd=1.3656 ct=7.3182 rec=1.3848 | train/val/test=0.463/0.496/0.450 | c=0.998437
[Epoch 0010] loss=14.4804 cls=1.5298 smmd=1.2154 ct=7.2402 rec=1.3799 | train/val/test=0.478/0.502/0.454 | c=0.998437
[Epoch 0011] loss=14.1226 cls=1.4549 smmd=1.1094 ct=7.1852 rec=1.3713 | train/val/test=0.507/0.531/0.489 | c=0.998437
[Epoch 0012] loss=13.8620 cls=1.3832 smmd=1.0498 ct=7.1515 rec=1.3607 | train/val/test=0.575/0.605/0.568 | c=0.998437
[Epoch 0013] loss=13.7482 cls=1.3050 smmd=1.0619 ct=7.1323 rec=1.3506 | train/val/test=0.650/0.708/0.666 | c=0.998437
[Epoch 0014] loss=13.6577 cls=1.2248 smmd=1.0815 ct=7.1261 rec=1.3414 | train/val/test=0.695/0.747/0.694 | c=0.998437
[Epoch 0015] loss=13.6078 cls=1.1506 smmd=1.1158 ct=7.1259 rec=1.3325 | train/val/test=0.712/0.758/0.701 | c=0.998437
[Epoch 0016] loss=13.5052 cls=1.0785 smmd=1.1236 ct=7.1244 rec=1.3235 | train/val/test=0.733/0.775/0.732 | c=0.998437
