Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-5 - 2025-09-21 04:30:50:
Running experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-5...
Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-10-5 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=58, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=18.1474 cls=1.9436 smmd=4.1752 ct=9.2509 rec=1.3889 | train/val/test=0.241/0.074/0.101 | c=0.998437
[Epoch 0001] loss=16.6188 cls=1.8948 smmd=2.7562 ct=9.1893 rec=1.3892 | train/val/test=0.741/0.396/0.378 | c=0.998437
[Epoch 0002] loss=15.0422 cls=1.7579 smmd=1.4650 ct=9.0425 rec=1.3884 | train/val/test=0.810/0.422/0.425 | c=0.998437
[Epoch 0003] loss=14.7480 cls=1.5092 smmd=1.4791 ct=8.9882 rec=1.3858 | train/val/test=0.690/0.396/0.379 | c=0.998437
[Epoch 0004] loss=14.6590 cls=1.2254 smmd=1.7291 ct=8.9573 rec=1.3736 | train/val/test=0.845/0.544/0.506 | c=0.998437
[Epoch 0005] loss=14.1019 cls=0.8653 smmd=1.6724 ct=8.8662 rec=1.3490 | train/val/test=0.897/0.540/0.537 | c=0.998437
[Epoch 0006] loss=13.4137 cls=0.5960 smmd=1.3298 ct=8.8537 rec=1.3171 | train/val/test=0.948/0.576/0.557 | c=0.998437
[Epoch 0007] loss=13.5725 cls=0.4058 smmd=1.0647 ct=9.5208 rec=1.2905 | train/val/test=0.966/0.606/0.592 | c=0.998437
[Epoch 0008] loss=13.2484 cls=0.2671 smmd=1.0150 ct=9.4313 rec=1.2675 | train/val/test=0.983/0.626/0.618 | c=0.998437
[Epoch 0009] loss=13.1966 cls=0.1650 smmd=1.1897 ct=9.3521 rec=1.2449 | train/val/test=0.983/0.640/0.644 | c=0.998437
[Epoch 0010] loss=13.1521 cls=0.1003 smmd=1.2897 ct=9.3077 rec=1.2272 | train/val/test=1.000/0.666/0.667 | c=0.998437
[Epoch 0011] loss=12.9733 cls=0.0617 smmd=1.1824 ct=9.3004 rec=1.2144 | train/val/test=1.000/0.674/0.667 | c=0.998437
[Epoch 0012] loss=12.7932 cls=0.0410 smmd=1.0110 ct=9.3307 rec=1.2053 | train/val/test=1.000/0.672/0.671 | c=0.998437
[Epoch 0013] loss=12.6433 cls=0.0272 smmd=0.8457 ct=9.3770 rec=1.1967 | train/val/test=1.000/0.674/0.665 | c=0.998437
[Epoch 0014] loss=12.5234 cls=0.0195 smmd=0.7087 ct=9.4136 rec=1.1908 | train/val/test=1.000/0.678/0.670 | c=0.998437
[Epoch 0015] loss=12.4729 cls=0.0156 smmd=0.6670 ct=9.4155 rec=1.1874 | train/val/test=1.000/0.696/0.673 | c=0.998437
[Epoch 0016] loss=12.4740 cls=0.0136 smmd=0.6987 ct=9.3902 rec=1.1858 | train/val/test=1.000/0.704/0.682 | c=0.998437
[Epoch 0017] loss=12.3820 cls=0.0128 smmd=0.6325 ct=9.3649 rec=1.1859 | train/val/test=1.000/0.710/0.682 | c=0.998437
[Epoch 0018] loss=12.2856 cls=0.0128 smmd=0.5488 ct=9.3514 rec=1.1863 | train/val/test=1.000/0.714/0.685 | c=0.998437
[Epoch 0019] loss=12.2149 cls=0.0143 smmd=0.4686 ct=9.3551 rec=1.1884 | train/val/test=1.000/0.718/0.689 | c=0.998437
[Epoch 0020] loss=12.1685 cls=0.0165 smmd=0.4089 ct=9.3609 rec=1.1910 | train/val/test=1.000/0.714/0.696 | c=0.998437
[Epoch 0021] loss=12.1489 cls=0.0200 smmd=0.3799 ct=9.3607 rec=1.1942 | train/val/test=1.000/0.708/0.690 | c=0.998437
