Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-5-5 - 2025-09-21 04:39:24:
Running experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-5-5...
Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-False-5-5 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=10.4408 cls=2.0759 smmd=6.6069 ct=7.4055 rec=1.3844 | train/val/test=0.114/0.109/0.125 | c=0.998437
[Epoch 0001] loss=10.5739 cls=2.1143 smmd=6.7016 ct=7.4055 rec=1.3845 | train/val/test=0.253/0.250/0.260 | c=0.998437
[Epoch 0002] loss=10.1028 cls=1.9538 smmd=6.3910 ct=7.4044 rec=1.3859 | train/val/test=0.253/0.250/0.260 | c=0.998437
[Epoch 0003] loss=9.2447 cls=1.8980 smmd=5.5889 ct=7.4012 rec=1.3877 | train/val/test=0.421/0.412/0.409 | c=0.998437
[Epoch 0004] loss=8.4718 cls=1.8610 smmd=4.7252 ct=8.0420 rec=1.3858 | train/val/test=0.390/0.378/0.372 | c=0.998437
[Epoch 0005] loss=7.8058 cls=1.8845 smmd=4.0557 ct=7.9357 rec=1.3923 | train/val/test=0.232/0.248/0.222 | c=0.998437
[Epoch 0006] loss=7.9256 cls=1.9834 smmd=4.0661 ct=7.9965 rec=1.3838 | train/val/test=0.323/0.322/0.333 | c=0.998437
[Epoch 0007] loss=8.1176 cls=2.3564 smmd=3.9172 ct=7.8008 rec=1.4193 | train/val/test=0.497/0.486/0.476 | c=0.998437
[Epoch 0008] loss=6.3610 cls=1.5724 smmd=2.9875 ct=7.6307 rec=1.3749 | train/val/test=0.211/0.212/0.212 | c=0.998437
[Epoch 0009] loss=6.3537 cls=1.7242 smmd=2.7488 ct=8.0242 rec=1.3795 | train/val/test=0.456/0.441/0.448 | c=0.998437
[Epoch 0010] loss=6.0410 cls=1.4061 smmd=2.7885 ct=7.8694 rec=1.3625 | train/val/test=0.419/0.410/0.410 | c=0.998437
[Epoch 0011] loss=5.9702 cls=1.4936 smmd=2.6533 ct=7.7617 rec=1.3545 | train/val/test=0.518/0.503/0.524 | c=0.998437
[Epoch 0012] loss=5.3855 cls=1.3146 smmd=2.2600 ct=7.7110 rec=1.3437 | train/val/test=0.526/0.514/0.529 | c=0.998437
[Epoch 0013] loss=5.1128 cls=1.2669 smmd=2.0462 ct=7.6758 rec=1.3223 | train/val/test=0.634/0.625/0.639 | c=0.998437
[Epoch 0014] loss=4.9896 cls=1.1459 smmd=2.0562 ct=7.6172 rec=1.3209 | train/val/test=0.676/0.656/0.678 | c=0.998437
[Epoch 0015] loss=4.8915 cls=1.0278 smmd=2.0925 ct=7.5459 rec=1.3097 | train/val/test=0.641/0.627/0.630 | c=0.998437
[Epoch 0016] loss=4.6920 cls=0.9791 smmd=1.9320 ct=7.6014 rec=1.3032 | train/val/test=0.678/0.676/0.663 | c=0.998437
