Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-5-3 - 2025-09-21 04:54:50:
Running experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-5-3...
Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth-True-5-3 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=39, val=1522, test=6089 (mode=few, shot=5)
[Epoch 0000] loss=10.9802 cls=2.0795 smmd=6.6927 ct=10.3481 rec=1.3844 | train/val/test=0.128/0.265/0.252 | c=0.998437
[Epoch 0001] loss=9.2678 cls=2.0776 smmd=4.8254 ct=11.1320 rec=1.3844 | train/val/test=0.128/0.265/0.252 | c=0.998437
[Epoch 0002] loss=8.7045 cls=2.0751 smmd=4.3687 ct=10.6117 rec=1.3844 | train/val/test=0.128/0.121/0.122 | c=0.998437
[Epoch 0003] loss=8.7777 cls=2.0706 smmd=4.4926 ct=10.3805 rec=1.3844 | train/val/test=0.179/0.147/0.145 | c=0.998437
[Epoch 0004] loss=7.7907 cls=2.0655 smmd=3.5651 ct=10.1081 rec=1.3844 | train/val/test=0.359/0.394/0.412 | c=0.998437
[Epoch 0005] loss=6.7563 cls=2.0592 smmd=2.5507 ct=10.0399 rec=1.3844 | train/val/test=0.410/0.269/0.289 | c=0.998437
[Epoch 0006] loss=6.6796 cls=2.0512 smmd=2.4956 ct=9.9720 rec=1.3844 | train/val/test=0.538/0.368/0.375 | c=0.998437
[Epoch 0007] loss=6.5017 cls=2.0414 smmd=2.3434 ct=9.8923 rec=1.3844 | train/val/test=0.564/0.494/0.487 | c=0.998437
[Epoch 0008] loss=6.2012 cls=2.0296 smmd=2.0635 ct=9.8488 rec=1.3844 | train/val/test=0.436/0.407/0.400 | c=0.998437
[Epoch 0009] loss=5.8283 cls=2.0151 smmd=1.7191 ct=9.7782 rec=1.3844 | train/val/test=0.590/0.455/0.446 | c=0.998437
[Epoch 0010] loss=5.4813 cls=1.9983 smmd=1.3846 ct=9.8001 rec=1.3843 | train/val/test=0.615/0.558/0.554 | c=0.998437
[Epoch 0011] loss=5.5288 cls=1.9793 smmd=1.4458 ct=9.8264 rec=1.3843 | train/val/test=0.718/0.577/0.577 | c=0.998437
[Epoch 0012] loss=5.5292 cls=1.9572 smmd=1.4704 ct=9.8161 rec=1.3842 | train/val/test=0.718/0.588/0.578 | c=0.998437
