Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-10-2 - 2025-09-21 05:30:17:
Running experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-10-2...
Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-10-2 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=11830, val=3943, test=3944 (mode=public, shot=N/A)
[Epoch 0000] loss=71.7577 cls=1.0994 smmd=5.5983 ct=7.2590 rec=1.4136 | train/val/test=0.399/0.403/0.396 | c=0.998347
[Epoch 0001] loss=51.7945 cls=1.0628 smmd=3.6128 ct=7.2137 rec=1.4154 | train/val/test=0.341/0.327/0.334 | c=0.998347
[Epoch 0002] loss=38.8849 cls=1.0939 smmd=2.3321 ct=7.1550 rec=1.4134 | train/val/test=0.546/0.539/0.549 | c=0.998347
[Epoch 0003] loss=40.2826 cls=1.0520 smmd=2.4849 ct=7.1006 rec=1.4133 | train/val/test=0.563/0.573/0.565 | c=0.998347
[Epoch 0004] loss=39.6974 cls=1.0005 smmd=2.4369 ct=7.0602 rec=1.4158 | train/val/test=0.556/0.565/0.558 | c=0.998347
[Epoch 0005] loss=35.8543 cls=0.9607 smmd=2.0703 ct=6.9813 rec=1.4166 | train/val/test=0.555/0.562/0.555 | c=0.998347
[Epoch 0006] loss=30.7605 cls=0.9181 smmd=1.5743 ct=6.9257 rec=1.4133 | train/val/test=0.557/0.564/0.557 | c=0.998347
[Epoch 0007] loss=34.5303 cls=0.8740 smmd=1.8207 ct=7.5919 rec=1.4054 | train/val/test=0.557/0.555/0.561 | c=0.998347
[Epoch 0008] loss=35.5443 cls=0.8335 smmd=1.9342 ct=7.5437 rec=1.3960 | train/val/test=0.608/0.602/0.618 | c=0.998347
[Epoch 0009] loss=29.7990 cls=0.7972 smmd=1.3702 ct=7.5029 rec=1.3862 | train/val/test=0.654/0.652/0.659 | c=0.998347
[Epoch 0010] loss=27.7570 cls=0.7706 smmd=1.1642 ct=7.5203 rec=1.3792 | train/val/test=0.667/0.669/0.671 | c=0.998347
[Epoch 0011] loss=30.2970 cls=0.7519 smmd=1.4176 ct=7.5286 rec=1.3754 | train/val/test=0.685/0.688/0.689 | c=0.998347
[Epoch 0012] loss=27.4045 cls=0.7207 smmd=1.1331 ct=7.5144 rec=1.3679 | train/val/test=0.689/0.699/0.699 | c=0.998347
[Epoch 0013] loss=26.5442 cls=0.7038 smmd=1.0401 ct=7.5550 rec=1.3623 | train/val/test=0.716/0.726/0.727 | c=0.998347
[Epoch 0014] loss=25.7748 cls=0.6728 smmd=0.9683 ct=7.5388 rec=1.3546 | train/val/test=0.728/0.735/0.735 | c=0.998347
[Epoch 0015] loss=25.3038 cls=0.6643 smmd=0.9250 ct=7.5221 rec=1.3547 | train/val/test=0.748/0.753/0.756 | c=0.998347
[Epoch 0016] loss=25.0261 cls=0.6376 smmd=0.8948 ct=7.5431 rec=1.3470 | train/val/test=0.764/0.774/0.774 | c=0.998347
[Epoch 0017] loss=23.2242 cls=0.6092 smmd=0.7128 ct=7.5612 rec=1.3391 | train/val/test=0.768/0.770/0.771 | c=0.998347
[Epoch 0018] loss=23.7181 cls=0.6011 smmd=0.7675 ct=7.5369 rec=1.3372 | train/val/test=0.785/0.790/0.788 | c=0.998347
[Epoch 0019] loss=22.4810 cls=0.5767 smmd=0.6495 ct=7.5165 rec=1.3299 | train/val/test=0.780/0.779/0.787 | c=0.998347
[Epoch 0020] loss=22.4392 cls=0.5651 smmd=0.6414 ct=7.5406 rec=1.3230 | train/val/test=0.787/0.786/0.797 | c=0.998347
[Epoch 0021] loss=21.8306 cls=0.5515 smmd=0.5825 ct=7.5353 rec=1.3193 | train/val/test=0.806/0.801/0.805 | c=0.998347
[Epoch 0022] loss=21.4894 cls=0.5276 smmd=0.5515 ct=7.5261 rec=1.3167 | train/val/test=0.811/0.806/0.809 | c=0.998347
[Epoch 0023] loss=21.1547 cls=0.5172 smmd=0.5184 ct=7.5273 rec=1.3145 | train/val/test=0.812/0.811/0.812 | c=0.998347
[Epoch 0024] loss=20.6115 cls=0.5108 smmd=0.4648 ct=7.5264 rec=1.3114 | train/val/test=0.809/0.806/0.817 | c=0.998347
[Epoch 0025] loss=20.4919 cls=0.5025 smmd=0.4535 ct=7.5250 rec=1.3102 | train/val/test=0.813/0.812/0.822 | c=0.998347
[Epoch 0026] loss=20.0061 cls=0.4922 smmd=0.4060 ct=7.5228 rec=1.3093 | train/val/test=0.822/0.822/0.823 | c=0.998347
[Epoch 0027] loss=20.0335 cls=0.4859 smmd=0.4102 ct=7.5167 rec=1.3106 | train/val/test=0.824/0.823/0.825 | c=0.998347
[Epoch 0028] loss=19.5902 cls=0.4729 smmd=0.3672 ct=7.5139 rec=1.3079 | train/val/test=0.824/0.826/0.830 | c=0.998347
[Epoch 0029] loss=19.4829 cls=0.4682 smmd=0.3557 ct=7.5191 rec=1.3064 | train/val/test=0.829/0.833/0.832 | c=0.998347
[Epoch 0030] loss=19.2071 cls=0.4625 smmd=0.3279 ct=7.5218 rec=1.3062 | train/val/test=0.828/0.830/0.831 | c=0.998347
[Epoch 0031] loss=19.0377 cls=0.4558 smmd=0.3159 ct=7.4986 rec=1.3069 | train/val/test=0.832/0.838/0.836 | c=0.998347
[Epoch 0032] loss=18.8300 cls=0.4558 smmd=0.2957 ct=7.4959 rec=1.3063 | train/val/test=0.834/0.838/0.837 | c=0.998347
[Epoch 0033] loss=18.6853 cls=0.4531 smmd=0.2779 ct=7.5135 rec=1.3060 | train/val/test=0.829/0.830/0.832 | c=0.998347
[Epoch 0034] loss=18.5335 cls=0.4504 smmd=0.2653 ct=7.5007 rec=1.3071 | train/val/test=0.838/0.837/0.840 | c=0.998347
[Epoch 0035] loss=18.4365 cls=0.4493 smmd=0.2567 ct=7.4955 rec=1.3082 | train/val/test=0.838/0.839/0.841 | c=0.998347
[Epoch 0036] loss=18.2229 cls=0.4505 smmd=0.2351 ct=7.4961 rec=1.3082 | train/val/test=0.839/0.840/0.842 | c=0.998347
[Epoch 0037] loss=18.1761 cls=0.4500 smmd=0.2302 ct=7.4967 rec=1.3107 | train/val/test=0.835/0.837/0.837 | c=0.998347
[Epoch 0038] loss=17.9813 cls=0.4506 smmd=0.2091 ct=7.5048 rec=1.3098 | train/val/test=0.834/0.835/0.836 | c=0.998347
