Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-10-3 - 2025-09-21 06:03:42:
Running experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-10-3...
Experiment PubMed-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-10-3 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=26, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=40.2523 cls=1.0962 smmd=5.6574 ct=11.2760 rec=1.4137 | train/val/test=0.385/0.214/0.200 | c=0.998347
[Epoch 0001] loss=30.4024 cls=1.0782 smmd=3.7018 ct=11.2128 rec=1.4136 | train/val/test=0.577/0.474/0.432 | c=0.998347
[Epoch 0002] loss=35.8662 cls=1.0471 smmd=4.7927 ct=11.2377 rec=1.4131 | train/val/test=0.538/0.486/0.486 | c=0.998347
[Epoch 0003] loss=35.0645 cls=0.9709 smmd=4.6568 ct=11.1539 rec=1.4089 | train/val/test=0.577/0.518/0.510 | c=0.998347
[Epoch 0004] loss=25.5205 cls=0.8700 smmd=2.7934 ct=10.9791 rec=1.3933 | train/val/test=0.615/0.510/0.509 | c=0.998347
[Epoch 0005] loss=26.2606 cls=0.7960 smmd=2.9565 ct=10.9428 rec=1.3748 | train/val/test=0.615/0.514/0.512 | c=0.998347
[Epoch 0006] loss=28.7688 cls=0.7350 smmd=3.4626 ct=10.9518 rec=1.3636 | train/val/test=0.654/0.566/0.552 | c=0.998347
[Epoch 0007] loss=26.8410 cls=0.6538 smmd=3.0899 ct=10.9290 rec=1.3566 | train/val/test=0.769/0.594/0.589 | c=0.998347
[Epoch 0008] loss=22.7826 cls=0.5601 smmd=2.1519 ct=11.6075 rec=1.3543 | train/val/test=0.846/0.644/0.637 | c=0.998347
[Epoch 0009] loss=23.1492 cls=0.4567 smmd=2.2414 ct=11.5781 rec=1.3584 | train/val/test=0.962/0.742/0.719 | c=0.998347
[Epoch 0010] loss=25.2314 cls=0.3664 smmd=2.6712 ct=11.5564 rec=1.3588 | train/val/test=0.962/0.754/0.743 | c=0.998347
[Epoch 0011] loss=23.5493 cls=0.3198 smmd=2.3473 ct=11.5171 rec=1.3603 | train/val/test=1.000/0.790/0.778 | c=0.998347
[Epoch 0012] loss=20.1338 cls=0.2578 smmd=1.6768 ct=11.4855 rec=1.3553 | train/val/test=1.000/0.764/0.736 | c=0.998347
[Epoch 0013] loss=23.6814 cls=0.2330 smmd=2.3603 ct=11.6280 rec=1.3536 | train/val/test=1.000/0.760/0.728 | c=0.998347
[Epoch 0014] loss=22.2939 cls=0.1900 smmd=2.0980 ct=11.5748 rec=1.3424 | train/val/test=1.000/0.758/0.717 | c=0.998347
[Epoch 0015] loss=19.9404 cls=0.1524 smmd=1.6486 ct=11.4877 rec=1.3321 | train/val/test=1.000/0.766/0.740 | c=0.998347
[Epoch 0016] loss=19.8358 cls=0.1148 smmd=1.6324 ct=11.4843 rec=1.3218 | train/val/test=1.000/0.776/0.742 | c=0.998347
[Epoch 0017] loss=20.3709 cls=0.0922 smmd=1.7315 ct=11.5356 rec=1.3170 | train/val/test=1.000/0.796/0.763 | c=0.998347
[Epoch 0018] loss=19.0656 cls=0.0720 smmd=1.4774 ct=11.5119 rec=1.3088 | train/val/test=1.000/0.784/0.760 | c=0.998347
[Epoch 0019] loss=18.1244 cls=0.0677 smmd=1.2930 ct=11.4950 rec=1.3027 | train/val/test=1.000/0.788/0.772 | c=0.998347
[Epoch 0020] loss=18.4339 cls=0.0692 smmd=1.3468 ct=11.5349 rec=1.3050 | train/val/test=1.000/0.808/0.781 | c=0.998347
[Epoch 0021] loss=18.7289 cls=0.0796 smmd=1.4086 ct=11.5152 rec=1.3094 | train/val/test=1.000/0.804/0.783 | c=0.998347
[Epoch 0022] loss=17.2786 cls=0.0889 smmd=1.1189 ct=11.5094 rec=1.3010 | train/val/test=1.000/0.808/0.781 | c=0.998347
[Epoch 0023] loss=18.4613 cls=0.0956 smmd=1.3450 ct=11.5584 rec=1.2991 | train/val/test=1.000/0.794/0.779 | c=0.998347
[Epoch 0024] loss=17.1507 cls=0.0986 smmd=1.0905 ct=11.5190 rec=1.2964 | train/val/test=1.000/0.808/0.785 | c=0.998347
[Epoch 0025] loss=17.3163 cls=0.0780 smmd=1.1292 ct=11.5017 rec=1.2961 | train/val/test=1.000/0.798/0.779 | c=0.998347
[Epoch 0026] loss=16.4493 cls=0.0683 smmd=0.9585 ct=11.4930 rec=1.2950 | train/val/test=1.000/0.792/0.769 | c=0.998347
[Epoch 0027] loss=16.7332 cls=0.0648 smmd=1.0106 ct=11.5182 rec=1.2933 | train/val/test=1.000/0.808/0.762 | c=0.998347
[Epoch 0028] loss=15.9109 cls=0.0673 smmd=0.8510 ct=11.4922 rec=1.3018 | train/val/test=1.000/0.788/0.754 | c=0.998347
[Epoch 0029] loss=16.1636 cls=0.0671 smmd=0.9075 ct=11.4629 rec=1.2975 | train/val/test=1.000/0.776/0.762 | c=0.998347
[Epoch 0030] loss=15.7529 cls=0.0700 smmd=0.8131 ct=11.5227 rec=1.2978 | train/val/test=1.000/0.788/0.764 | c=0.998347
[Epoch 0031] loss=16.0534 cls=0.0770 smmd=0.8706 ct=11.5314 rec=1.3050 | train/val/test=1.000/0.772/0.760 | c=0.998347
[Epoch 0032] loss=16.1186 cls=0.0755 smmd=0.8948 ct=11.4766 rec=1.3020 | train/val/test=1.000/0.788/0.742 | c=0.998347
[Epoch 0033] loss=15.8445 cls=0.0818 smmd=0.8293 ct=11.5257 rec=1.3148 | train/val/test=1.000/0.782/0.761 | c=0.998347
[Epoch 0034] loss=15.8322 cls=0.0703 smmd=0.8260 ct=11.5372 rec=1.2993 | train/val/test=1.000/0.792/0.764 | c=0.998347
[Epoch 0035] loss=15.3451 cls=0.0655 smmd=0.7378 ct=11.4927 rec=1.3080 | train/val/test=1.000/0.784/0.764 | c=0.998347
[Epoch 0036] loss=14.9898 cls=0.0706 smmd=0.6669 ct=11.4905 rec=1.2945 | train/val/test=1.000/0.800/0.777 | c=0.998347
[Epoch 0037] loss=15.1397 cls=0.0546 smmd=0.6935 ct=11.5156 rec=1.2915 | train/val/test=1.000/0.812/0.778 | c=0.998347
[Epoch 0038] loss=14.8492 cls=0.0567 smmd=0.6415 ct=11.4838 rec=1.2954 | train/val/test=1.000/0.812/0.779 | c=0.998347
[Epoch 0039] loss=14.8643 cls=0.0606 smmd=0.6415 ct=11.4966 rec=1.2982 | train/val/test=1.000/0.796/0.778 | c=0.998347
[Epoch 0040] loss=15.0109 cls=0.0690 smmd=0.6658 ct=11.5171 rec=1.3025 | train/val/test=1.000/0.778/0.753 | c=0.998347
