Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-10-1 - 2025-09-21 06:14:26:
Running experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-10-1...
Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-10-1 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=1996, val=665, test=666 (mode=public, shot=N/A)
[Epoch 0000] loss=20.6483 cls=1.7936 smmd=4.2142 ct=6.9359 rec=1.3917 | train/val/test=0.195/0.191/0.219 | c=0.998347
[Epoch 0001] loss=20.1285 cls=1.7897 smmd=3.9574 ct=6.9312 rec=1.3917 | train/val/test=0.341/0.305/0.318 | c=0.998347
[Epoch 0002] loss=18.3374 cls=1.7790 smmd=3.0739 ct=6.9043 rec=1.3917 | train/val/test=0.248/0.241/0.218 | c=0.998347
[Epoch 0003] loss=16.9655 cls=1.7617 smmd=2.4073 ct=6.8610 rec=1.3918 | train/val/test=0.323/0.323/0.273 | c=0.998347
[Epoch 0004] loss=16.4549 cls=1.7411 smmd=2.0384 ct=7.3551 rec=1.3919 | train/val/test=0.305/0.298/0.264 | c=0.998347
[Epoch 0005] loss=16.0110 cls=1.7162 smmd=1.8726 ct=7.1795 rec=1.3920 | train/val/test=0.400/0.391/0.344 | c=0.998347
[Epoch 0006] loss=15.8968 cls=1.6879 smmd=1.8524 ct=7.0898 rec=1.3918 | train/val/test=0.526/0.508/0.468 | c=0.998347
[Epoch 0007] loss=15.3212 cls=1.6527 smmd=1.5843 ct=7.0858 rec=1.3914 | train/val/test=0.562/0.535/0.521 | c=0.998347
[Epoch 0008] loss=14.6539 cls=1.6095 smmd=1.2670 ct=7.1137 rec=1.3907 | train/val/test=0.545/0.514/0.517 | c=0.998347
[Epoch 0009] loss=15.0379 cls=1.5632 smmd=1.4667 ct=7.1841 rec=1.3898 | train/val/test=0.559/0.528/0.526 | c=0.998347
[Epoch 0010] loss=14.6517 cls=1.5122 smmd=1.2928 ct=7.2240 rec=1.3884 | train/val/test=0.641/0.595/0.598 | c=0.998347
[Epoch 0011] loss=13.8125 cls=1.4560 smmd=0.9124 ct=7.2044 rec=1.3859 | train/val/test=0.693/0.656/0.652 | c=0.998347
[Epoch 0012] loss=14.1064 cls=1.4018 smmd=1.1119 ct=7.1340 rec=1.3827 | train/val/test=0.714/0.690/0.676 | c=0.998347
[Epoch 0013] loss=13.8692 cls=1.3424 smmd=1.0491 ct=7.0700 rec=1.3787 | train/val/test=0.725/0.681/0.676 | c=0.998347
[Epoch 0014] loss=13.1978 cls=1.2772 smmd=0.7560 ct=7.0816 rec=1.3736 | train/val/test=0.721/0.674/0.671 | c=0.998347
[Epoch 0015] loss=13.3426 cls=1.2192 smmd=0.8437 ct=7.1941 rec=1.3678 | train/val/test=0.738/0.686/0.685 | c=0.998347
[Epoch 0016] loss=13.0546 cls=1.1569 smmd=0.7393 ct=7.2407 rec=1.3598 | train/val/test=0.755/0.692/0.701 | c=0.998347
[Epoch 0017] loss=12.6016 cls=1.0936 smmd=0.5885 ct=7.1654 rec=1.3497 | train/val/test=0.756/0.695/0.709 | c=0.998347
[Epoch 0018] loss=12.6590 cls=1.0374 smmd=0.6896 ct=7.0968 rec=1.3388 | train/val/test=0.757/0.692/0.710 | c=0.998347
[Epoch 0019] loss=12.3274 cls=0.9775 smmd=0.5839 ct=7.1095 rec=1.3255 | train/val/test=0.756/0.689/0.695 | c=0.998347
[Epoch 0020] loss=12.0987 cls=0.9312 smmd=0.5117 ct=7.1696 rec=1.3119 | train/val/test=0.760/0.693/0.707 | c=0.998347
