Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-5-4 - 2025-09-21 06:21:18:
Running experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-5-4...
Experiment CiteSeer-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-5-4 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=26, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=19.7737 cls=1.7922 smmd=4.1547 ct=9.4835 rec=1.3917 | train/val/test=0.269/0.212/0.231 | c=0.998347
[Epoch 0001] loss=19.4929 cls=1.7649 smmd=3.6297 ct=9.4842 rec=1.3917 | train/val/test=0.692/0.282/0.330 | c=0.998347
[Epoch 0002] loss=18.8110 cls=1.7252 smmd=2.5929 ct=9.3487 rec=1.3916 | train/val/test=0.385/0.200/0.218 | c=0.998347
[Epoch 0003] loss=18.7519 cls=1.6685 smmd=2.5530 ct=9.3496 rec=1.3916 | train/val/test=0.692/0.298/0.347 | c=0.998347
[Epoch 0004] loss=18.9238 cls=1.5782 smmd=2.1842 ct=9.7733 rec=1.3907 | train/val/test=0.500/0.276/0.333 | c=0.998347
[Epoch 0005] loss=18.5292 cls=1.4912 smmd=1.9684 ct=9.5527 rec=1.3897 | train/val/test=0.731/0.330/0.375 | c=0.998347
[Epoch 0006] loss=18.4511 cls=1.3961 smmd=2.2260 ct=9.4220 rec=1.3878 | train/val/test=0.808/0.410/0.473 | c=0.998347
[Epoch 0007] loss=18.4038 cls=1.3068 smmd=2.2102 ct=9.4547 rec=1.3858 | train/val/test=0.808/0.434/0.479 | c=0.998347
[Epoch 0008] loss=18.1330 cls=1.2219 smmd=1.7878 ct=9.4630 rec=1.3841 | train/val/test=0.769/0.434/0.477 | c=0.998347
[Epoch 0009] loss=17.9691 cls=1.1447 smmd=1.4258 ct=9.5416 rec=1.3827 | train/val/test=0.923/0.476/0.509 | c=0.998347
[Epoch 0010] loss=17.8639 cls=1.0731 smmd=1.1486 ct=9.6313 rec=1.3814 | train/val/test=0.923/0.478/0.520 | c=0.998347
[Epoch 0011] loss=17.8050 cls=1.0111 smmd=1.0903 ct=9.6479 rec=1.3808 | train/val/test=0.923/0.454/0.511 | c=0.998347
[Epoch 0012] loss=17.6990 cls=0.9571 smmd=1.1518 ct=9.5496 rec=1.3807 | train/val/test=0.923/0.442/0.508 | c=0.998347
[Epoch 0013] loss=17.6109 cls=0.9054 smmd=1.2062 ct=9.4725 rec=1.3803 | train/val/test=0.962/0.480/0.510 | c=0.998347
[Epoch 0014] loss=17.5343 cls=0.8540 smmd=1.1224 ct=9.4771 rec=1.3797 | train/val/test=0.962/0.460/0.525 | c=0.998347
[Epoch 0015] loss=17.4770 cls=0.8054 smmd=1.0505 ct=9.4921 rec=1.3792 | train/val/test=0.962/0.474/0.523 | c=0.998347
[Epoch 0016] loss=17.3961 cls=0.7539 smmd=0.8554 ct=9.5508 rec=1.3780 | train/val/test=1.000/0.468/0.527 | c=0.998347
[Epoch 0017] loss=17.3164 cls=0.7040 smmd=0.6987 ct=9.5921 rec=1.3764 | train/val/test=0.962/0.450/0.520 | c=0.998347
