Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-1 - 2025-09-21 06:38:46:
Running experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-1...
Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-1 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=10.5101 cls=2.0611 smmd=6.6905 ct=7.4078 rec=1.3844 | train/val/test=0.127/0.116/0.103 | c=0.998347
[Epoch 0001] loss=10.4950 cls=2.0522 smmd=6.6843 ct=7.4077 rec=1.3844 | train/val/test=0.254/0.250/0.258 | c=0.998347
[Epoch 0002] loss=10.0475 cls=1.9574 smmd=6.3319 ct=7.4059 rec=1.3850 | train/val/test=0.254/0.250/0.258 | c=0.998347
[Epoch 0003] loss=9.2632 cls=1.9809 smmd=5.5232 ct=7.4049 rec=1.3900 | train/val/test=0.266/0.263/0.273 | c=0.998347
[Epoch 0004] loss=8.4150 cls=1.8824 smmd=4.6238 ct=8.1577 rec=1.3866 | train/val/test=0.219/0.225/0.224 | c=0.998347
[Epoch 0005] loss=7.8308 cls=1.9048 smmd=4.0499 ct=7.9871 rec=1.3937 | train/val/test=0.413/0.418/0.414 | c=0.998347
[Epoch 0006] loss=7.6779 cls=1.7835 smmd=4.0128 ct=8.0241 rec=1.3841 | train/val/test=0.269/0.269/0.278 | c=0.998347
[Epoch 0007] loss=6.9076 cls=1.7302 smmd=3.3617 ct=7.6893 rec=1.3892 | train/val/test=0.377/0.384/0.388 | c=0.998347
[Epoch 0008] loss=6.0399 cls=1.5789 smmd=2.6354 ct=7.7490 rec=1.3789 | train/val/test=0.554/0.559/0.551 | c=0.998347
[Epoch 0009] loss=5.9693 cls=1.4371 smmd=2.6905 ct=7.8363 rec=1.3725 | train/val/test=0.594/0.597/0.591 | c=0.998347
[Epoch 0010] loss=5.6854 cls=1.3423 smmd=2.4892 ct=7.9115 rec=1.3585 | train/val/test=0.735/0.724/0.714 | c=0.998347
[Epoch 0011] loss=5.2006 cls=1.2235 smmd=2.1363 ct=7.8607 rec=1.3434 | train/val/test=0.580/0.590/0.581 | c=0.998347
[Epoch 0012] loss=5.0906 cls=1.2549 smmd=2.0218 ct=7.7332 rec=1.3363 | train/val/test=0.394/0.393/0.378 | c=0.998347
[Epoch 0013] loss=5.3902 cls=1.4204 smmd=2.1530 ct=7.7560 rec=1.3279 | train/val/test=0.504/0.511/0.505 | c=0.998347
[Epoch 0014] loss=5.6152 cls=1.5881 smmd=2.1847 ct=7.8795 rec=1.3328 | train/val/test=0.692/0.693/0.714 | c=0.998347
[Epoch 0015] loss=4.6850 cls=1.0032 smmd=1.8730 ct=7.7467 rec=1.2973 | train/val/test=0.478/0.469/0.455 | c=0.998347
[Epoch 0016] loss=5.0535 cls=1.3082 smmd=1.8992 ct=7.9055 rec=1.3249 | train/val/test=0.701/0.697/0.693 | c=0.998347
[Epoch 0017] loss=4.5641 cls=0.8748 smmd=1.8638 ct=7.8352 rec=1.2924 | train/val/test=0.668/0.669/0.689 | c=0.998347
[Epoch 0018] loss=4.6822 cls=0.9266 smmd=1.9287 ct=7.8623 rec=1.2727 | train/val/test=0.720/0.716/0.758 | c=0.998347
[Epoch 0019] loss=4.3741 cls=0.8586 smmd=1.7167 ct=7.7390 rec=1.2552 | train/val/test=0.588/0.586/0.608 | c=0.998347
[Epoch 0020] loss=4.2841 cls=0.9611 smmd=1.5577 ct=7.5745 rec=1.2519 | train/val/test=0.755/0.745/0.780 | c=0.998347
[Epoch 0021] loss=4.2741 cls=0.7540 smmd=1.7195 ct=7.7374 rec=1.2655 | train/val/test=0.784/0.773/0.807 | c=0.998347
[Epoch 0022] loss=4.1795 cls=0.6538 smmd=1.7265 ct=7.7412 rec=1.2550 | train/val/test=0.773/0.769/0.798 | c=0.998347
[Epoch 0023] loss=3.9996 cls=0.6570 smmd=1.5634 ct=7.6478 rec=1.2484 | train/val/test=0.779/0.776/0.815 | c=0.998347
[Epoch 0024] loss=3.8477 cls=0.6348 smmd=1.4342 ct=7.6615 rec=1.2324 | train/val/test=0.772/0.775/0.803 | c=0.998347
[Epoch 0025] loss=3.8062 cls=0.6046 smmd=1.4187 ct=7.6912 rec=1.2233 | train/val/test=0.881/0.865/0.897 | c=0.998347
[Epoch 0026] loss=3.7157 cls=0.4952 smmd=1.4438 ct=7.6588 rec=1.2242 | train/val/test=0.876/0.862/0.877 | c=0.998347
[Epoch 0027] loss=3.6562 cls=0.4698 smmd=1.4178 ct=7.6222 rec=1.2208 | train/val/test=0.888/0.877/0.900 | c=0.998347
[Epoch 0028] loss=3.5373 cls=0.4549 smmd=1.3196 ct=7.6077 rec=1.2063 | train/val/test=0.881/0.874/0.895 | c=0.998347
[Epoch 0029] loss=3.4856 cls=0.4718 smmd=1.2509 ct=7.6161 rec=1.1987 | train/val/test=0.869/0.865/0.878 | c=0.998347
[Epoch 0030] loss=3.4358 cls=0.4374 smmd=1.2355 ct=7.6182 rec=1.1963 | train/val/test=0.879/0.868/0.882 | c=0.998347
[Epoch 0031] loss=3.3965 cls=0.3964 smmd=1.2397 ct=7.6054 rec=1.1965 | train/val/test=0.886/0.872/0.885 | c=0.998347
[Epoch 0032] loss=3.3010 cls=0.3808 smmd=1.1613 ct=7.6039 rec=1.1907 | train/val/test=0.881/0.875/0.890 | c=0.998347
[Epoch 0033] loss=3.2664 cls=0.3961 smmd=1.1088 ct=7.6231 rec=1.1841 | train/val/test=0.877/0.867/0.882 | c=0.998347
[Epoch 0034] loss=3.2180 cls=0.3956 smmd=1.0640 ct=7.6087 rec=1.1831 | train/val/test=0.885/0.873/0.890 | c=0.998347
[Epoch 0035] loss=3.1682 cls=0.3693 smmd=1.0434 ct=7.5918 rec=1.1859 | train/val/test=0.891/0.878/0.899 | c=0.998347
[Epoch 0036] loss=3.1097 cls=0.3403 smmd=1.0099 ct=7.6146 rec=1.1827 | train/val/test=0.887/0.876/0.892 | c=0.998347
