Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-5-1 - 2025-09-21 06:56:45:
Running experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-5-1...
Experiment Photo-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-True-5-1 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=39, val=1522, test=6089 (mode=few, shot=5)
[Epoch 0000] loss=10.9544 cls=2.0802 smmd=6.6661 ct=10.3485 rec=1.3844 | train/val/test=0.128/0.115/0.105 | c=0.998347
[Epoch 0001] loss=9.3453 cls=2.0766 smmd=4.8826 ct=11.2384 rec=1.3844 | train/val/test=0.128/0.267/0.257 | c=0.998347
[Epoch 0002] loss=8.6548 cls=2.0735 smmd=4.3334 ct=10.5472 rec=1.3844 | train/val/test=0.128/0.265/0.252 | c=0.998347
[Epoch 0003] loss=8.7521 cls=2.0685 smmd=4.4708 ct=10.3717 rec=1.3844 | train/val/test=0.359/0.338/0.350 | c=0.998347
[Epoch 0004] loss=7.7548 cls=2.0626 smmd=3.5486 ct=10.0260 rec=1.3844 | train/val/test=0.231/0.258/0.265 | c=0.998347
[Epoch 0005] loss=6.7535 cls=2.0555 smmd=2.5837 ct=9.8791 rec=1.3844 | train/val/test=0.231/0.265/0.271 | c=0.998347
[Epoch 0006] loss=6.7075 cls=2.0465 smmd=2.5230 ct=9.9980 rec=1.3844 | train/val/test=0.487/0.394/0.397 | c=0.998347
[Epoch 0007] loss=6.5354 cls=2.0354 smmd=2.3806 ct=9.9051 rec=1.3844 | train/val/test=0.487/0.398/0.387 | c=0.998347
[Epoch 0008] loss=6.1331 cls=2.0217 smmd=2.0129 ct=9.7999 rec=1.3843 | train/val/test=0.769/0.584/0.598 | c=0.998347
[Epoch 0009] loss=5.7672 cls=2.0052 smmd=1.6698 ct=9.7688 rec=1.3843 | train/val/test=0.795/0.746/0.747 | c=0.998347
[Epoch 0010] loss=5.5137 cls=1.9870 smmd=1.4438 ct=9.7227 rec=1.3843 | train/val/test=0.744/0.684/0.693 | c=0.998347
[Epoch 0011] loss=5.5610 cls=1.9664 smmd=1.5078 ct=9.7415 rec=1.3842 | train/val/test=0.795/0.727/0.730 | c=0.998347
[Epoch 0012] loss=5.4991 cls=1.9415 smmd=1.4681 ct=9.7556 rec=1.3841 | train/val/test=0.744/0.624/0.626 | c=0.998347
[Epoch 0013] loss=5.1555 cls=1.9136 smmd=1.1547 ct=9.7439 rec=1.3839 | train/val/test=0.718/0.576/0.568 | c=0.998347
