[2025-09-20 03:30:43] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Cora.GRACE.GAT.hyp_True.True.20250912-232536.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Cora
Split sizes | train=49, val=2740, test=10963 (mode=few, shot=5)
[Epoch 0000] loss=21.2678 cls=2.3041 smmd=5.4464 ct=10.9362 rec=1.3851 | train/val/test=0.102/0.168/0.158 | c=0.999488
[Epoch 0001] loss=19.2694 cls=2.2985 smmd=3.4626 ct=10.9328 rec=1.3851 | train/val/test=0.102/0.033/0.036 | c=0.999488
[Epoch 0002] loss=18.8034 cls=2.2947 smmd=3.0077 ct=10.9292 rec=1.3851 | train/val/test=0.143/0.056/0.050 | c=0.999488
[Epoch 0003] loss=19.0271 cls=2.2852 smmd=3.2583 ct=10.9214 rec=1.3851 | train/val/test=0.245/0.111/0.093 | c=0.999488
[Epoch 0004] loss=18.3531 cls=2.2700 smmd=2.6430 ct=10.8931 rec=1.3851 | train/val/test=0.510/0.284/0.273 | c=0.999488
[Epoch 0005] loss=17.3689 cls=2.2496 smmd=1.7855 ct=10.8073 rec=1.3851 | train/val/test=0.327/0.172/0.162 | c=0.999488
[Epoch 0006] loss=17.3680 cls=2.2242 smmd=1.8408 ct=10.8018 rec=1.3850 | train/val/test=0.633/0.601/0.626 | c=0.999488
[Epoch 0007] loss=17.1866 cls=2.1859 smmd=1.8554 ct=10.6823 rec=1.3849 | train/val/test=0.673/0.523/0.519 | c=0.999488
[Epoch 0008] loss=16.7515 cls=2.1437 smmd=1.5540 ct=10.6333 rec=1.3848 | train/val/test=0.612/0.603/0.617 | c=0.999488
[Epoch 0009] loss=16.2589 cls=2.0904 smmd=1.1902 ct=10.6111 rec=1.3844 | train/val/test=0.694/0.648/0.657 | c=0.999488
[Epoch 0010] loss=15.8217 cls=2.0296 smmd=0.9610 ct=10.5247 rec=1.3839 | train/val/test=0.735/0.609/0.618 | c=0.999488
