[2025-09-20 03:39:43] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Cora.GRACE.GAT.hyp_True.True.20250912-232536.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Cora
Split sizes | train=99, val=2730, test=10923 (mode=few, shot=10)
[Epoch 0000] loss=21.3230 cls=2.3028 smmd=5.5097 ct=10.9308 rec=1.3851 | train/val/test=0.212/0.039/0.043 | c=0.999488
[Epoch 0001] loss=19.2910 cls=2.2970 smmd=3.4915 ct=10.9284 rec=1.3851 | train/val/test=0.111/0.018/0.022 | c=0.999488
[Epoch 0002] loss=18.7650 cls=2.2925 smmd=2.9807 ct=10.9223 rec=1.3851 | train/val/test=0.333/0.234/0.233 | c=0.999488
[Epoch 0003] loss=19.0254 cls=2.2818 smmd=3.2737 ct=10.9110 rec=1.3851 | train/val/test=0.424/0.239/0.259 | c=0.999488
[Epoch 0004] loss=18.3203 cls=2.2641 smmd=2.6496 ct=10.8655 rec=1.3851 | train/val/test=0.444/0.294/0.291 | c=0.999488
[Epoch 0005] loss=17.3550 cls=2.2408 smmd=1.7878 ct=10.8085 rec=1.3851 | train/val/test=0.455/0.503/0.515 | c=0.999488
[Epoch 0006] loss=17.3375 cls=2.2121 smmd=1.8164 ct=10.8199 rec=1.3850 | train/val/test=0.465/0.475/0.472 | c=0.999488
[Epoch 0007] loss=17.0955 cls=2.1725 smmd=1.8224 ct=10.6510 rec=1.3849 | train/val/test=0.444/0.296/0.292 | c=0.999488
[Epoch 0008] loss=16.8519 cls=2.1313 smmd=1.5964 ct=10.7159 rec=1.3848 | train/val/test=0.556/0.455/0.440 | c=0.999488
[Epoch 0009] loss=16.0971 cls=2.0739 smmd=1.1680 ct=10.5043 rec=1.3844 | train/val/test=0.616/0.510/0.496 | c=0.999488
[Epoch 0010] loss=15.9610 cls=2.0219 smmd=0.9978 ct=10.6427 rec=1.3839 | train/val/test=0.616/0.504/0.499 | c=0.999488
[Epoch 0011] loss=15.6372 cls=1.9549 smmd=0.8968 ct=10.5539 rec=1.3830 | train/val/test=0.545/0.444/0.436 | c=0.999488
