[2025-09-20 03:48:38] START attempt 1: python main.py --is_transfer True --test_dataset PubMed --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=11830, val=3943, test=3944 (mode=public, shot=N/A)
[Epoch 0000] loss=71.9733 cls=1.0933 smmd=5.6214 ct=7.2531 rec=1.4136 | train/val/test=0.594/0.597/0.594 | c=0.998437
[Epoch 0001] loss=52.5307 cls=1.0624 smmd=3.6893 ct=7.1995 rec=1.4154 | train/val/test=0.628/0.628/0.625 | c=0.998437
[Epoch 0002] loss=37.6234 cls=1.0640 smmd=2.2160 ct=7.1120 rec=1.4141 | train/val/test=0.597/0.607/0.607 | c=0.998437
[Epoch 0003] loss=40.1457 cls=1.0539 smmd=2.4786 ct=7.0628 rec=1.4136 | train/val/test=0.580/0.588/0.587 | c=0.998437
[Epoch 0004] loss=39.4336 cls=1.0137 smmd=2.4199 ct=7.0105 rec=1.4144 | train/val/test=0.561/0.568/0.569 | c=0.998437
[Epoch 0005] loss=35.2422 cls=0.9708 smmd=2.0153 ct=6.9478 rec=1.4162 | train/val/test=0.535/0.538/0.538 | c=0.998437
[Epoch 0006] loss=30.4195 cls=0.9335 smmd=1.5403 ct=6.9213 rec=1.4150 | train/val/test=0.530/0.533/0.529 | c=0.998437
[Epoch 0007] loss=34.2078 cls=0.8919 smmd=1.7794 ct=7.6316 rec=1.4097 | train/val/test=0.549/0.554/0.548 | c=0.998437
[Epoch 0008] loss=34.9882 cls=0.8514 smmd=1.8789 ct=7.5360 rec=1.4028 | train/val/test=0.610/0.613/0.608 | c=0.998437
[Epoch 0009] loss=29.1912 cls=0.8049 smmd=1.3146 ct=7.4731 rec=1.3921 | train/val/test=0.644/0.658/0.647 | c=0.998437
