[2025-09-20 03:52:03] START attempt 1: python main.py --is_transfer True --test_dataset PubMed --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=13, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=26.4496 cls=1.1015 smmd=5.5623 ct=11.2864 rec=1.4136 | train/val/test=0.385/0.388/0.413 | c=0.998437
[Epoch 0001] loss=22.4113 cls=1.0903 smmd=3.9628 ct=11.2522 rec=1.4136 | train/val/test=0.692/0.496/0.515 | c=0.998437
[Epoch 0002] loss=24.2636 cls=1.0830 smmd=4.7033 ct=11.2570 rec=1.4136 | train/val/test=0.538/0.484/0.522 | c=0.998437
[Epoch 0003] loss=22.9770 cls=1.0601 smmd=4.2341 ct=11.1550 rec=1.4136 | train/val/test=0.538/0.538/0.574 | c=0.998437
[Epoch 0004] loss=18.9472 cls=1.0213 smmd=2.4095 ct=11.7063 rec=1.4133 | train/val/test=0.538/0.514/0.559 | c=0.998437
[Epoch 0005] loss=20.3613 cls=0.9835 smmd=3.0987 ct=11.4158 rec=1.4141 | train/val/test=0.538/0.546/0.579 | c=0.998437
[Epoch 0006] loss=20.7312 cls=0.9375 smmd=3.2757 ct=11.3678 rec=1.4106 | train/val/test=0.769/0.536/0.557 | c=0.998437
[Epoch 0007] loss=18.8557 cls=0.8969 smmd=2.5220 ct=11.3988 rec=1.4068 | train/val/test=0.769/0.538/0.562 | c=0.998437
[Epoch 0008] loss=17.2833 cls=0.8637 smmd=1.8791 ct=11.4515 rec=1.4045 | train/val/test=0.846/0.570/0.595 | c=0.998437
[Epoch 0009] loss=18.7279 cls=0.8448 smmd=2.4073 ct=11.5850 rec=1.4044 | train/val/test=0.692/0.554/0.583 | c=0.998437
[Epoch 0010] loss=18.5740 cls=0.8308 smmd=2.3610 ct=11.5527 rec=1.4069 | train/val/test=0.769/0.564/0.597 | c=0.998437
[Epoch 0011] loss=16.4970 cls=0.8124 smmd=1.5614 ct=11.4837 rec=1.4070 | train/val/test=0.846/0.634/0.655 | c=0.998437
[Epoch 0012] loss=18.5380 cls=0.7967 smmd=2.3525 ct=11.5556 rec=1.4054 | train/val/test=0.846/0.560/0.599 | c=0.998437
[Epoch 0013] loss=17.7801 cls=0.7421 smmd=2.1239 ct=11.3964 rec=1.4057 | train/val/test=0.923/0.670/0.693 | c=0.998437
[Epoch 0014] loss=16.4405 cls=0.6755 smmd=1.6040 ct=11.3948 rec=1.3960 | train/val/test=0.923/0.678/0.692 | c=0.998437
[Epoch 0015] loss=16.5897 cls=0.6087 smmd=1.6260 ct=11.5247 rec=1.3915 | train/val/test=0.923/0.678/0.684 | c=0.998437
[Epoch 0016] loss=16.2621 cls=0.5616 smmd=1.4997 ct=11.5388 rec=1.3865 | train/val/test=0.923/0.672/0.701 | c=0.998437
[Epoch 0017] loss=15.5701 cls=0.5326 smmd=1.2625 ct=11.4576 rec=1.3799 | train/val/test=0.923/0.668/0.689 | c=0.998437
[Epoch 0018] loss=15.7385 cls=0.5219 smmd=1.3551 ct=11.4004 rec=1.3789 | train/val/test=0.923/0.694/0.707 | c=0.998437
[Epoch 0019] loss=15.3703 cls=0.5041 smmd=1.2106 ct=11.4014 rec=1.3808 | train/val/test=0.923/0.696/0.709 | c=0.998437
