[2025-09-20 03:58:36] START attempt 1: python main.py --is_transfer True --test_dataset CiteSeer --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=1996, val=665, test=666 (mode=public, shot=N/A)
[Epoch 0000] loss=20.5383 cls=1.7900 smmd=4.1595 ct=6.9417 rec=1.3917 | train/val/test=0.207/0.206/0.227 | c=0.998437
[Epoch 0001] loss=20.2813 cls=1.7860 smmd=4.0333 ct=6.9405 rec=1.3917 | train/val/test=0.207/0.206/0.227 | c=0.998437
[Epoch 0002] loss=18.5182 cls=1.7731 smmd=3.1640 ct=6.9171 rec=1.3917 | train/val/test=0.217/0.208/0.230 | c=0.998437
[Epoch 0003] loss=16.9951 cls=1.7554 smmd=2.4270 ct=6.8535 rec=1.3918 | train/val/test=0.380/0.346/0.357 | c=0.998437
[Epoch 0004] loss=16.1417 cls=1.7363 smmd=2.0179 ct=6.8203 rec=1.3919 | train/val/test=0.481/0.411/0.471 | c=0.998437
[Epoch 0005] loss=15.7242 cls=1.7129 smmd=1.8461 ct=6.7195 rec=1.3919 | train/val/test=0.502/0.444/0.495 | c=0.998437
[Epoch 0006] loss=15.7263 cls=1.6817 smmd=1.8758 ct=6.6693 rec=1.3917 | train/val/test=0.564/0.507/0.551 | c=0.998437
[Epoch 0007] loss=14.9134 cls=1.6406 smmd=1.5007 ct=6.6315 rec=1.3911 | train/val/test=0.632/0.576/0.620 | c=0.998437
[Epoch 0008] loss=14.2271 cls=1.5917 smmd=1.1990 ct=6.5733 rec=1.3902 | train/val/test=0.644/0.592/0.638 | c=0.998437
[Epoch 0009] loss=14.6673 cls=1.5414 smmd=1.4455 ct=6.5830 rec=1.3887 | train/val/test=0.642/0.594/0.637 | c=0.998437
[Epoch 0010] loss=14.3080 cls=1.4870 smmd=1.3018 ct=6.5713 rec=1.3864 | train/val/test=0.660/0.614/0.656 | c=0.998437
[Epoch 0011] loss=13.3832 cls=1.4279 smmd=0.8875 ct=6.5302 rec=1.3830 | train/val/test=0.691/0.651/0.685 | c=0.998437
