[2025-09-20 03:59:48] START attempt 1: python main.py --is_transfer True --test_dataset CiteSeer --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=26, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=19.7823 cls=1.7870 smmd=4.1777 ct=9.4841 rec=1.3917 | train/val/test=0.423/0.224/0.270 | c=0.998437
[Epoch 0001] loss=19.4345 cls=1.7642 smmd=3.5075 ct=9.4872 rec=1.3917 | train/val/test=0.462/0.250/0.292 | c=0.998437
[Epoch 0002] loss=18.8264 cls=1.7321 smmd=2.5216 ct=9.3946 rec=1.3917 | train/val/test=0.538/0.304/0.326 | c=0.998437
[Epoch 0003] loss=18.6740 cls=1.6815 smmd=2.4722 ct=9.3025 rec=1.3917 | train/val/test=0.500/0.260/0.277 | c=0.998437
[Epoch 0004] loss=18.3907 cls=1.6151 smmd=2.1347 ct=9.2349 rec=1.3916 | train/val/test=0.615/0.348/0.371 | c=0.998437
[Epoch 0005] loss=17.8885 cls=1.5278 smmd=1.5802 ct=9.0731 rec=1.3912 | train/val/test=0.731/0.396/0.429 | c=0.998437
[Epoch 0006] loss=17.7887 cls=1.4418 smmd=1.5540 ct=9.0508 rec=1.3903 | train/val/test=0.808/0.440/0.474 | c=0.998437
[Epoch 0007] loss=17.5957 cls=1.3554 smmd=1.3283 ct=9.0365 rec=1.3892 | train/val/test=0.808/0.446/0.479 | c=0.998437
[Epoch 0008] loss=17.4798 cls=1.2704 smmd=1.2586 ct=9.0206 rec=1.3881 | train/val/test=0.885/0.452/0.484 | c=0.998437
[Epoch 0009] loss=18.0936 cls=1.1913 smmd=1.2213 ct=9.7135 rec=1.3871 | train/val/test=0.885/0.538/0.551 | c=0.998437
[Epoch 0010] loss=17.8576 cls=1.1184 smmd=1.1518 ct=9.5674 rec=1.3863 | train/val/test=0.962/0.562/0.590 | c=0.998437
[Epoch 0011] loss=17.8067 cls=1.0516 smmd=1.3574 ct=9.4629 rec=1.3858 | train/val/test=0.962/0.632/0.633 | c=0.998437
[Epoch 0012] loss=17.8050 cls=0.9840 smmd=1.4926 ct=9.4439 rec=1.3852 | train/val/test=0.962/0.604/0.595 | c=0.998437
[Epoch 0013] loss=17.6863 cls=0.9208 smmd=1.2055 ct=9.5158 rec=1.3846 | train/val/test=0.962/0.612/0.602 | c=0.998437
[Epoch 0014] loss=17.4809 cls=0.8610 smmd=0.7032 ct=9.6058 rec=1.3842 | train/val/test=1.000/0.586/0.589 | c=0.998437
[Epoch 0015] loss=17.4979 cls=0.8024 smmd=0.7749 ct=9.6322 rec=1.3833 | train/val/test=1.000/0.614/0.616 | c=0.998437
[Epoch 0016] loss=17.4513 cls=0.7419 smmd=0.8981 ct=9.5699 rec=1.3826 | train/val/test=1.000/0.626/0.634 | c=0.998437
[Epoch 0017] loss=17.3115 cls=0.6834 smmd=0.8249 ct=9.5134 rec=1.3814 | train/val/test=1.000/0.636/0.629 | c=0.998437
[Epoch 0018] loss=17.2804 cls=0.6295 smmd=0.8201 ct=9.5314 rec=1.3797 | train/val/test=1.000/0.654/0.671 | c=0.998437
[Epoch 0019] loss=17.2432 cls=0.5767 smmd=0.7932 ct=9.5517 rec=1.3782 | train/val/test=1.000/0.652/0.652 | c=0.998437
[Epoch 0020] loss=17.1191 cls=0.5265 smmd=0.6231 ct=9.5608 rec=1.3757 | train/val/test=1.000/0.682/0.675 | c=0.998437
[Epoch 0021] loss=17.0856 cls=0.4818 smmd=0.5979 ct=9.5837 rec=1.3731 | train/val/test=1.000/0.684/0.674 | c=0.998437
[Epoch 0022] loss=17.0320 cls=0.4402 smmd=0.5522 ct=9.5974 rec=1.3701 | train/val/test=1.000/0.688/0.688 | c=0.998437
[Epoch 0023] loss=16.9497 cls=0.4026 smmd=0.5120 ct=9.5796 rec=1.3664 | train/val/test=1.000/0.692/0.694 | c=0.998437
[Epoch 0024] loss=16.9098 cls=0.3702 smmd=0.5566 ct=9.5590 rec=1.3627 | train/val/test=1.000/0.690/0.704 | c=0.998437
