[2025-09-20 04:00:58] START attempt 1: python main.py --is_transfer True --test_dataset CiteSeer --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=50, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=37.9833 cls=1.7912 smmd=4.2161 ct=9.4774 rec=1.3917 | train/val/test=0.260/0.166/0.188 | c=0.998437
[Epoch 0001] loss=37.4737 cls=1.7857 smmd=3.7481 ct=9.4580 rec=1.3917 | train/val/test=0.200/0.190/0.169 | c=0.998437
[Epoch 0002] loss=36.1336 cls=1.7742 smmd=2.7493 ct=9.2902 rec=1.3917 | train/val/test=0.320/0.238/0.223 | c=0.998437
[Epoch 0003] loss=35.6018 cls=1.7541 smmd=2.3240 ct=9.2423 rec=1.3916 | train/val/test=0.380/0.152/0.143 | c=0.998437
[Epoch 0004] loss=35.1004 cls=1.7168 smmd=2.1302 ct=9.0990 rec=1.3914 | train/val/test=0.500/0.334/0.344 | c=0.998437
[Epoch 0005] loss=34.5414 cls=1.6697 smmd=1.7267 ct=9.0367 rec=1.3906 | train/val/test=0.620/0.450/0.468 | c=0.998437
[Epoch 0006] loss=34.4071 cls=1.6193 smmd=1.6577 ct=9.0231 rec=1.3894 | train/val/test=0.600/0.470/0.497 | c=0.998437
[Epoch 0007] loss=34.2147 cls=1.5677 smmd=1.5201 ct=9.0162 rec=1.3878 | train/val/test=0.620/0.462/0.472 | c=0.998437
[Epoch 0008] loss=33.9289 cls=1.5157 smmd=1.3109 ct=8.9987 rec=1.3863 | train/val/test=0.640/0.422/0.432 | c=0.998437
[Epoch 0009] loss=33.8859 cls=1.4706 smmd=1.3144 ct=8.9928 rec=1.3850 | train/val/test=0.680/0.458/0.475 | c=0.998437
[Epoch 0010] loss=33.7685 cls=1.4263 smmd=1.2459 ct=8.9852 rec=1.3839 | train/val/test=0.720/0.494/0.539 | c=0.998437
[Epoch 0011] loss=33.5628 cls=1.3851 smmd=1.0696 ct=8.9850 rec=1.3831 | train/val/test=0.700/0.506/0.541 | c=0.998437
[Epoch 0012] loss=33.4665 cls=1.3449 smmd=0.9997 ct=8.9843 rec=1.3826 | train/val/test=0.720/0.462/0.479 | c=0.998437
[Epoch 0013] loss=33.3616 cls=1.3031 smmd=0.9099 ct=8.9888 rec=1.3823 | train/val/test=0.720/0.478/0.489 | c=0.998437
[Epoch 0014] loss=33.2028 cls=1.2598 smmd=0.7668 ct=8.9953 rec=1.3816 | train/val/test=0.760/0.514/0.550 | c=0.998437
[Epoch 0015] loss=33.1478 cls=1.2141 smmd=0.7439 ct=8.9968 rec=1.3803 | train/val/test=0.760/0.496/0.515 | c=0.998437
[Epoch 0016] loss=34.4296 cls=1.1661 smmd=0.7058 ct=9.6765 rec=1.3788 | train/val/test=0.740/0.404/0.400 | c=0.998437
