[2025-09-20 04:02:10] START attempt 1: python main.py --is_transfer True --test_dataset Cora --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0000] loss=20.8455 cls=1.9474 smmd=4.2536 ct=6.8928 rec=1.3889 | train/val/test=0.296/0.321/0.303 | c=0.998437
[Epoch 0001] loss=20.2072 cls=1.8567 smmd=3.9767 ct=6.8842 rec=1.3910 | train/val/test=0.296/0.321/0.303 | c=0.998437
[Epoch 0002] loss=19.5964 cls=1.8200 smmd=3.6883 ct=6.8735 rec=1.3926 | train/val/test=0.296/0.321/0.303 | c=0.998437
[Epoch 0003] loss=18.9201 cls=1.8084 smmd=3.3595 ct=6.8596 rec=1.3926 | train/val/test=0.296/0.325/0.303 | c=0.998437
[Epoch 0004] loss=18.2050 cls=1.7901 smmd=3.0180 ct=6.8419 rec=1.3916 | train/val/test=0.312/0.365/0.323 | c=0.998437
[Epoch 0005] loss=17.4327 cls=1.7613 smmd=2.6544 ct=6.8203 rec=1.3905 | train/val/test=0.353/0.402/0.351 | c=0.998437
[Epoch 0006] loss=16.7266 cls=1.7263 smmd=2.3275 ct=6.7951 rec=1.3896 | train/val/test=0.405/0.458/0.406 | c=0.998437
[Epoch 0007] loss=16.2506 cls=1.6859 smmd=2.0073 ct=7.2152 rec=1.3885 | train/val/test=0.472/0.518/0.478 | c=0.998437
[Epoch 0008] loss=15.5163 cls=1.6367 smmd=1.6877 ct=7.1380 rec=1.3870 | train/val/test=0.503/0.548/0.528 | c=0.998437
[Epoch 0009] loss=14.9305 cls=1.5746 smmd=1.4525 ct=7.0593 rec=1.3843 | train/val/test=0.520/0.552/0.533 | c=0.998437
[Epoch 0010] loss=14.4078 cls=1.5005 smmd=1.2550 ct=7.0038 rec=1.3791 | train/val/test=0.530/0.566/0.546 | c=0.998437
[Epoch 0011] loss=14.0703 cls=1.4184 smmd=1.1553 ct=6.9750 rec=1.3708 | train/val/test=0.552/0.590/0.561 | c=0.998437
[Epoch 0012] loss=13.7863 cls=1.3321 smmd=1.0861 ct=6.9691 rec=1.3595 | train/val/test=0.565/0.601/0.574 | c=0.998437
[Epoch 0013] loss=13.5472 cls=1.2455 smmd=1.0403 ct=6.9808 rec=1.3462 | train/val/test=0.575/0.611/0.581 | c=0.998437
[Epoch 0014] loss=13.4578 cls=1.1659 smmd=1.0661 ct=7.0026 rec=1.3317 | train/val/test=0.568/0.616/0.587 | c=0.998437
[Epoch 0015] loss=13.3004 cls=1.0989 smmd=1.0512 ct=7.0255 rec=1.3173 | train/val/test=0.572/0.613/0.596 | c=0.998437
[Epoch 0016] loss=13.2851 cls=1.0428 smmd=1.0995 ct=7.0427 rec=1.3044 | train/val/test=0.585/0.627/0.603 | c=0.998437
[Epoch 0017] loss=13.2047 cls=0.9913 smmd=1.1087 ct=7.0521 rec=1.2940 | train/val/test=0.609/0.649/0.629 | c=0.998437
[Epoch 0018] loss=13.0573 cls=0.9393 smmd=1.0804 ct=7.0549 rec=1.2860 | train/val/test=0.653/0.692/0.664 | c=0.998437
[Epoch 0019] loss=12.8846 cls=0.8862 smmd=1.0378 ct=7.0529 rec=1.2793 | train/val/test=0.699/0.742/0.697 | c=0.998437
[Epoch 0020] loss=12.7004 cls=0.8345 smmd=0.9882 ct=7.0486 rec=1.2730 | train/val/test=0.730/0.775/0.731 | c=0.998437
[Epoch 0021] loss=12.5285 cls=0.7869 smmd=0.9427 ct=7.0436 rec=1.2669 | train/val/test=0.746/0.797/0.753 | c=0.998437
[Epoch 0022] loss=12.3481 cls=0.7446 smmd=0.8889 ct=7.0396 rec=1.2612 | train/val/test=0.759/0.808/0.784 | c=0.998437
[Epoch 0023] loss=12.1688 cls=0.7083 smmd=0.8304 ct=7.0370 rec=1.2562 | train/val/test=0.776/0.821/0.788 | c=0.998437
[Epoch 0024] loss=12.0371 cls=0.6776 smmd=0.7907 ct=7.0355 rec=1.2520 | train/val/test=0.787/0.836/0.801 | c=0.998437
[Epoch 0025] loss=11.8990 cls=0.6518 smmd=0.7440 ct=7.0349 rec=1.2483 | train/val/test=0.799/0.839/0.801 | c=0.998437
[Epoch 0026] loss=11.7856 cls=0.6298 smmd=0.7067 ct=7.0345 rec=1.2450 | train/val/test=0.804/0.841/0.803 | c=0.998437
[Epoch 0027] loss=11.6644 cls=0.6106 smmd=0.6630 ct=7.0335 rec=1.2422 | train/val/test=0.812/0.839/0.806 | c=0.998437
[Epoch 0028] loss=11.6161 cls=0.5937 smmd=0.6534 ct=7.0323 rec=1.2399 | train/val/test=0.813/0.843/0.812 | c=0.998437
[Epoch 0029] loss=11.5718 cls=0.5794 smmd=0.6434 ct=7.0316 rec=1.2380 | train/val/test=0.820/0.843/0.817 | c=0.998437
[Epoch 0030] loss=11.5611 cls=0.5673 smmd=0.6479 ct=7.0323 rec=1.2364 | train/val/test=0.824/0.841/0.817 | c=0.998437
[Epoch 0031] loss=11.4764 cls=0.5577 smmd=0.6132 ct=7.0347 rec=1.2350 | train/val/test=0.826/0.841/0.823 | c=0.998437
[Epoch 0032] loss=11.4030 cls=0.5500 smmd=0.5823 ct=7.0382 rec=1.2339 | train/val/test=0.829/0.839/0.828 | c=0.998437
[Epoch 0033] loss=11.3752 cls=0.5435 smmd=0.5729 ct=7.0418 rec=1.2330 | train/val/test=0.831/0.838/0.825 | c=0.998437
[Epoch 0034] loss=11.3079 cls=0.5378 smmd=0.5429 ct=7.0448 rec=1.2324 | train/val/test=0.832/0.845/0.828 | c=0.998437
[Epoch 0035] loss=11.1979 cls=0.5325 smmd=0.4911 ct=7.0468 rec=1.2320 | train/val/test=0.836/0.845/0.827 | c=0.998437
[Epoch 0036] loss=11.1427 cls=0.5272 smmd=0.4667 ct=7.0480 rec=1.2316 | train/val/test=0.836/0.849/0.828 | c=0.998437
[Epoch 0037] loss=11.0030 cls=0.5217 smmd=0.4005 ct=7.0485 rec=1.2312 | train/val/test=0.842/0.847/0.834 | c=0.998437
[Epoch 0038] loss=10.9672 cls=0.5155 smmd=0.3869 ct=7.0484 rec=1.2307 | train/val/test=0.847/0.852/0.836 | c=0.998437
[Epoch 0039] loss=10.8983 cls=0.5089 smmd=0.3577 ct=7.0486 rec=1.2299 | train/val/test=0.850/0.863/0.838 | c=0.998437
[Epoch 0040] loss=10.9178 cls=0.5021 smmd=0.3735 ct=7.0493 rec=1.2288 | train/val/test=0.852/0.865/0.838 | c=0.998437
[Epoch 0041] loss=10.7723 cls=0.4950 smmd=0.3075 ct=7.0498 rec=1.2275 | train/val/test=0.855/0.867/0.838 | c=0.998437
[Epoch 0042] loss=10.7391 cls=0.4872 smmd=0.2981 ct=7.0494 rec=1.2262 | train/val/test=0.858/0.871/0.839 | c=0.998437
[Epoch 0043] loss=10.6640 cls=0.4795 smmd=0.2680 ct=7.0484 rec=1.2249 | train/val/test=0.861/0.875/0.838 | c=0.998437
[Epoch 0044] loss=10.6384 cls=0.4727 smmd=0.2624 ct=7.0477 rec=1.2234 | train/val/test=0.862/0.875/0.839 | c=0.998437
[Epoch 0045] loss=10.5693 cls=0.4668 smmd=0.2343 ct=7.0479 rec=1.2220 | train/val/test=0.867/0.876/0.839 | c=0.998437
[Epoch 0046] loss=10.5304 cls=0.4601 smmd=0.2207 ct=7.0484 rec=1.2209 | train/val/test=0.869/0.875/0.839 | c=0.998437
[Epoch 0047] loss=10.4565 cls=0.4543 smmd=0.1887 ct=7.0494 rec=1.2200 | train/val/test=0.870/0.873/0.839 | c=0.998437
[Epoch 0048] loss=10.4126 cls=0.4504 smmd=0.1711 ct=7.0502 rec=1.2190 | train/val/test=0.874/0.873/0.845 | c=0.998437
[Epoch 0049] loss=10.3667 cls=0.4464 smmd=0.1521 ct=7.0496 rec=1.2182 | train/val/test=0.880/0.871/0.847 | c=0.998437
[Epoch 0050] loss=10.3866 cls=0.4413 smmd=0.1657 ct=7.0482 rec=1.2180 | train/val/test=0.884/0.871/0.847 | c=0.998437
[Epoch 0051] loss=10.3158 cls=0.4367 smmd=0.1328 ct=7.0481 rec=1.2179 | train/val/test=0.885/0.876/0.852 | c=0.998437
[Epoch 0052] loss=10.2816 cls=0.4338 smmd=0.1175 ct=7.0493 rec=1.2176 | train/val/test=0.888/0.875/0.852 | c=0.998437
[Epoch 0053] loss=10.2618 cls=0.4307 smmd=0.1093 ct=7.0503 rec=1.2175 | train/val/test=0.889/0.878/0.854 | c=0.998437
[Epoch 0054] loss=10.2085 cls=0.4271 smmd=0.0843 ct=7.0506 rec=1.2175 | train/val/test=0.892/0.878/0.858 | c=0.998437
[Epoch 0055] loss=10.1974 cls=0.4237 smmd=0.0808 ct=7.0511 rec=1.2173 | train/val/test=0.897/0.878/0.858 | c=0.998437
[Epoch 0056] loss=10.1826 cls=0.4213 smmd=0.0753 ct=7.0523 rec=1.2169 | train/val/test=0.898/0.882/0.860 | c=0.998437
[Epoch 0057] loss=10.1603 cls=0.4178 smmd=0.0666 ct=7.0525 rec=1.2166 | train/val/test=0.900/0.884/0.862 | c=0.998437
[Epoch 0058] loss=10.1364 cls=0.4134 smmd=0.0578 ct=7.0513 rec=1.2164 | train/val/test=0.898/0.887/0.863 | c=0.998437
[Epoch 0059] loss=10.1110 cls=0.4095 smmd=0.0487 ct=7.0495 rec=1.2158 | train/val/test=0.897/0.886/0.865 | c=0.998437
[Epoch 0060] loss=10.0883 cls=0.4068 smmd=0.0410 ct=7.0489 rec=1.2150 | train/val/test=0.899/0.886/0.869 | c=0.998437
[Epoch 0061] loss=10.0738 cls=0.4028 smmd=0.0377 ct=7.0482 rec=1.2143 | train/val/test=0.900/0.887/0.875 | c=0.998437
[Epoch 0062] loss=10.0522 cls=0.3984 smmd=0.0310 ct=7.0484 rec=1.2135 | train/val/test=0.901/0.887/0.876 | c=0.998437
[Epoch 0063] loss=10.0424 cls=0.3945 smmd=0.0301 ct=7.0495 rec=1.2126 | train/val/test=0.901/0.887/0.876 | c=0.998437
[Epoch 0064] loss=10.0426 cls=0.3909 smmd=0.0345 ct=7.0500 rec=1.2115 | train/val/test=0.900/0.893/0.875 | c=0.998437
[Epoch 0065] loss=10.0099 cls=0.3875 smmd=0.0223 ct=7.0495 rec=1.2106 | train/val/test=0.900/0.891/0.873 | c=0.998437
[Epoch 0066] loss=9.9986 cls=0.3838 smmd=0.0208 ct=7.0482 rec=1.2098 | train/val/test=0.899/0.889/0.875 | c=0.998437
[Epoch 0067] loss=9.9834 cls=0.3803 smmd=0.0172 ct=7.0466 rec=1.2091 | train/val/test=0.900/0.889/0.873 | c=0.998437
[Epoch 0068] loss=9.9733 cls=0.3777 smmd=0.0156 ct=7.0460 rec=1.2083 | train/val/test=0.897/0.891/0.875 | c=0.998437
[Epoch 0069] loss=9.9557 cls=0.3766 smmd=0.0098 ct=7.0462 rec=1.2073 | train/val/test=0.898/0.891/0.871 | c=0.998437
[Epoch 0070] loss=9.9456 cls=0.3739 smmd=0.0076 ct=7.0458 rec=1.2067 | train/val/test=0.900/0.891/0.871 | c=0.998437
[Epoch 0071] loss=9.9316 cls=0.3709 smmd=0.0033 ct=7.0446 rec=1.2064 | train/val/test=0.902/0.891/0.873 | c=0.998437
[Epoch 0072] loss=9.9250 cls=0.3701 smmd=0.0023 ct=7.0434 rec=1.2057 | train/val/test=0.902/0.889/0.869 | c=0.998437
[Epoch 0073] loss=9.9063 cls=0.3692 smmd=-0.0052 ct=7.0433 rec=1.2052 | train/val/test=0.902/0.889/0.869 | c=0.998437
[Epoch 0074] loss=9.9190 cls=0.3674 smmd=0.0031 ct=7.0427 rec=1.2048 | train/val/test=0.902/0.889/0.871 | c=0.998437
[Epoch 0075] loss=9.9004 cls=0.3660 smmd=-0.0046 ct=7.0424 rec=1.2045 | train/val/test=0.902/0.889/0.871 | c=0.998437
[Epoch 0076] loss=9.9019 cls=0.3651 smmd=-0.0025 ct=7.0428 rec=1.2041 | train/val/test=0.902/0.889/0.871 | c=0.998437
[Epoch 0077] loss=9.8933 cls=0.3642 smmd=-0.0054 ct=7.0422 rec=1.2038 | train/val/test=0.902/0.889/0.871 | c=0.998437
[Epoch 0078] loss=9.8961 cls=0.3625 smmd=-0.0027 ct=7.0417 rec=1.2036 | train/val/test=0.901/0.887/0.871 | c=0.998437
[Epoch 0079] loss=9.8813 cls=0.3622 smmd=-0.0092 ct=7.0420 rec=1.2033 | train/val/test=0.902/0.887/0.871 | c=0.998437
[Epoch 0080] loss=9.8734 cls=0.3617 smmd=-0.0118 ct=7.0412 rec=1.2029 | train/val/test=0.903/0.889/0.871 | c=0.998437
[Epoch 0081] loss=9.8866 cls=0.3600 smmd=-0.0037 ct=7.0402 rec=1.2028 | train/val/test=0.903/0.889/0.871 | c=0.998437
[Epoch 0082] loss=9.8857 cls=0.3591 smmd=-0.0033 ct=7.0410 rec=1.2026 | train/val/test=0.903/0.889/0.871 | c=0.998437
[Epoch 0083] loss=9.8738 cls=0.3587 smmd=-0.0085 ct=7.0414 rec=1.2023 | train/val/test=0.902/0.891/0.873 | c=0.998437
[Epoch 0084] loss=9.8653 cls=0.3573 smmd=-0.0114 ct=7.0394 rec=1.2022 | train/val/test=0.901/0.895/0.873 | c=0.998437
[Epoch 0085] loss=9.8669 cls=0.3562 smmd=-0.0091 ct=7.0369 rec=1.2021 | train/val/test=0.903/0.893/0.873 | c=0.998437
[Epoch 0086] loss=9.8648 cls=0.3564 smmd=-0.0094 ct=7.0375 rec=1.2017 | train/val/test=0.902/0.891/0.873 | c=0.998437
[Epoch 0087] loss=9.8652 cls=0.3561 smmd=-0.0088 ct=7.0395 rec=1.2014 | train/val/test=0.902/0.889/0.871 | c=0.998437
[Epoch 0088] loss=9.8537 cls=0.3558 smmd=-0.0140 ct=7.0398 rec=1.2012 | train/val/test=0.902/0.891/0.871 | c=0.998437
[Epoch 0089] loss=9.8509 cls=0.3552 smmd=-0.0145 ct=7.0380 rec=1.2012 | train/val/test=0.902/0.895/0.871 | c=0.998437
[Epoch 0090] loss=9.8462 cls=0.3543 smmd=-0.0163 ct=7.0374 rec=1.2012 | train/val/test=0.903/0.897/0.871 | c=0.998437
[Epoch 0091] loss=9.8531 cls=0.3535 smmd=-0.0125 ct=7.0381 rec=1.2011 | train/val/test=0.903/0.893/0.873 | c=0.998437
[Epoch 0092] loss=9.8419 cls=0.3545 smmd=-0.0177 ct=7.0386 rec=1.2007 | train/val/test=0.903/0.895/0.873 | c=0.998437
[Epoch 0093] loss=9.8365 cls=0.3535 smmd=-0.0197 ct=7.0374 rec=1.2007 | train/val/test=0.905/0.897/0.873 | c=0.998437
[Epoch 0094] loss=9.8476 cls=0.3522 smmd=-0.0133 ct=7.0363 rec=1.2008 | train/val/test=0.903/0.897/0.873 | c=0.998437
[Epoch 0095] loss=9.8505 cls=0.3523 smmd=-0.0116 ct=7.0368 rec=1.2006 | train/val/test=0.903/0.895/0.873 | c=0.998437
[Epoch 0096] loss=9.8390 cls=0.3528 smmd=-0.0171 ct=7.0373 rec=1.2004 | train/val/test=0.903/0.895/0.873 | c=0.998437
[Epoch 0097] loss=9.8366 cls=0.3522 smmd=-0.0179 ct=7.0370 rec=1.2003 | train/val/test=0.905/0.895/0.873 | c=0.998437
[Epoch 0098] loss=9.8324 cls=0.3510 smmd=-0.0192 ct=7.0358 rec=1.2004 | train/val/test=0.903/0.895/0.873 | c=0.998437
[Epoch 0099] loss=9.8341 cls=0.3518 smmd=-0.0179 ct=7.0358 rec=1.2001 | train/val/test=0.903/0.893/0.873 | c=0.998437
[Epoch 0100] loss=9.8298 cls=0.3516 smmd=-0.0197 ct=7.0363 rec=1.1999 | train/val/test=0.904/0.895/0.873 | c=0.998437
[Epoch 0101] loss=9.8296 cls=0.3502 smmd=-0.0194 ct=7.0360 rec=1.2000 | train/val/test=0.903/0.893/0.873 | c=0.998437
[Epoch 0102] loss=9.8279 cls=0.3510 smmd=-0.0200 ct=7.0358 rec=1.1998 | train/val/test=0.903/0.893/0.873 | c=0.998437
[Epoch 0103] loss=9.8246 cls=0.3514 smmd=-0.0211 ct=7.0346 rec=1.1996 | train/val/test=0.903/0.895/0.873 | c=0.998437
[Epoch 0104] loss=9.8252 cls=0.3499 smmd=-0.0202 ct=7.0340 rec=1.1997 | train/val/test=0.902/0.895/0.873 | c=0.998437
[Epoch 0105] loss=9.8195 cls=0.3498 smmd=-0.0227 ct=7.0348 rec=1.1996 | train/val/test=0.903/0.895/0.875 | c=0.998437
[Epoch 0106] loss=9.8403 cls=0.3502 smmd=-0.0121 ct=7.0355 rec=1.1993 | train/val/test=0.903/0.895/0.875 | c=0.998437
