[2025-09-20 04:03:03] START attempt 1: python main.py --is_transfer True --test_dataset Cora --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=29, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=18.1837 cls=1.9498 smmd=4.1903 ct=9.2658 rec=1.3889 | train/val/test=0.207/0.100/0.120 | c=0.998437
[Epoch 0001] loss=16.6956 cls=1.8943 smmd=2.8268 ct=9.1956 rec=1.3895 | train/val/test=0.552/0.356/0.386 | c=0.998437
[Epoch 0002] loss=15.0979 cls=1.7567 smmd=1.4954 ct=9.0683 rec=1.3887 | train/val/test=0.862/0.330/0.340 | c=0.998437
[Epoch 0003] loss=14.7672 cls=1.4887 smmd=1.4741 ct=9.0311 rec=1.3866 | train/val/test=0.931/0.568/0.555 | c=0.998437
[Epoch 0004] loss=14.5431 cls=1.1407 smmd=1.6995 ct=8.9433 rec=1.3798 | train/val/test=0.966/0.636/0.637 | c=0.998437
[Epoch 0005] loss=14.0207 cls=0.7652 smmd=1.6445 ct=8.8794 rec=1.3659 | train/val/test=1.000/0.538/0.572 | c=0.998437
[Epoch 0006] loss=13.3701 cls=0.4936 smmd=1.3370 ct=8.8488 rec=1.3454 | train/val/test=1.000/0.590/0.617 | c=0.998437
[Epoch 0007] loss=12.8189 cls=0.2989 smmd=1.0522 ct=8.8262 rec=1.3208 | train/val/test=1.000/0.620/0.658 | c=0.998437
[Epoch 0008] loss=12.5776 cls=0.1792 smmd=0.9906 ct=8.8232 rec=1.2923 | train/val/test=1.000/0.628/0.652 | c=0.998437
[Epoch 0009] loss=12.5140 cls=0.1019 smmd=1.0605 ct=8.8158 rec=1.2679 | train/val/test=1.000/0.608/0.641 | c=0.998437
[Epoch 0010] loss=12.4573 cls=0.0546 smmd=1.0945 ct=8.8077 rec=1.2502 | train/val/test=1.000/0.612/0.649 | c=0.998437
[Epoch 0011] loss=12.2673 cls=0.0282 smmd=0.9688 ct=8.8011 rec=1.2346 | train/val/test=1.000/0.644/0.680 | c=0.998437
