[2025-09-20 04:03:42] START attempt 1: python main.py --is_transfer True --test_dataset Cora --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=58, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=18.1449 cls=1.9425 smmd=4.1745 ct=9.2501 rec=1.3889 | train/val/test=0.431/0.208/0.215 | c=0.998437
[Epoch 0001] loss=16.6195 cls=1.8873 smmd=2.7725 ct=9.1812 rec=1.3892 | train/val/test=0.638/0.270/0.306 | c=0.998437
[Epoch 0002] loss=15.0111 cls=1.7393 smmd=1.4548 ct=9.0399 rec=1.3885 | train/val/test=0.500/0.286/0.281 | c=0.998437
[Epoch 0003] loss=14.9435 cls=1.5623 smmd=1.4953 ct=9.1148 rec=1.3855 | train/val/test=0.776/0.342/0.358 | c=0.998437
[Epoch 0004] loss=14.7195 cls=1.2208 smmd=1.7759 ct=8.9670 rec=1.3778 | train/val/test=0.914/0.480/0.475 | c=0.998437
[Epoch 0005] loss=14.1633 cls=0.9084 smmd=1.6433 ct=8.8925 rec=1.3596 | train/val/test=0.914/0.588/0.596 | c=0.998437
[Epoch 0006] loss=13.5710 cls=0.6632 smmd=1.3857 ct=8.8530 rec=1.3346 | train/val/test=0.966/0.564/0.585 | c=0.998437
[Epoch 0007] loss=12.9443 cls=0.4433 smmd=1.0818 ct=8.8121 rec=1.3035 | train/val/test=0.966/0.556/0.568 | c=0.998437
[Epoch 0008] loss=13.3602 cls=0.2848 smmd=1.0085 ct=9.5158 rec=1.2756 | train/val/test=0.983/0.608/0.605 | c=0.998437
[Epoch 0009] loss=13.2606 cls=0.1805 smmd=1.1401 ct=9.4386 rec=1.2507 | train/val/test=0.983/0.626/0.638 | c=0.998437
[Epoch 0010] loss=13.1725 cls=0.1215 smmd=1.2384 ct=9.3565 rec=1.2280 | train/val/test=0.966/0.632/0.643 | c=0.998437
[Epoch 0011] loss=13.0380 cls=0.0912 smmd=1.2006 ct=9.3208 rec=1.2127 | train/val/test=0.983/0.634/0.633 | c=0.998437
[Epoch 0012] loss=12.8535 cls=0.0583 smmd=1.0717 ct=9.3197 rec=1.2019 | train/val/test=1.000/0.632/0.634 | c=0.998437
[Epoch 0013] loss=12.6275 cls=0.0323 smmd=0.8490 ct=9.3547 rec=1.1958 | train/val/test=1.000/0.654/0.648 | c=0.998437
[Epoch 0014] loss=12.5551 cls=0.0198 smmd=0.7459 ct=9.4079 rec=1.1907 | train/val/test=1.000/0.676/0.674 | c=0.998437
[Epoch 0015] loss=12.5335 cls=0.0136 smmd=0.7046 ct=9.4431 rec=1.1861 | train/val/test=1.000/0.688/0.676 | c=0.998437
[Epoch 0016] loss=12.4823 cls=0.0107 smmd=0.6658 ct=9.4390 rec=1.1834 | train/val/test=1.000/0.676/0.667 | c=0.998437
[Epoch 0017] loss=12.4068 cls=0.0100 smmd=0.6253 ct=9.4051 rec=1.1832 | train/val/test=1.000/0.664/0.670 | c=0.998437
[Epoch 0018] loss=12.2927 cls=0.0100 smmd=0.5393 ct=9.3741 rec=1.1846 | train/val/test=1.000/0.682/0.684 | c=0.998437
[Epoch 0019] loss=12.2533 cls=0.0106 smmd=0.5019 ct=9.3691 rec=1.1858 | train/val/test=1.000/0.690/0.695 | c=0.998437
[Epoch 0020] loss=12.2102 cls=0.0133 smmd=0.4368 ct=9.3850 rec=1.1876 | train/val/test=1.000/0.690/0.693 | c=0.998437
[Epoch 0021] loss=12.1820 cls=0.0165 smmd=0.3967 ct=9.3881 rec=1.1904 | train/val/test=1.000/0.674/0.688 | c=0.998437
[Epoch 0022] loss=12.1203 cls=0.0202 smmd=0.3268 ct=9.3854 rec=1.1940 | train/val/test=1.000/0.680/0.702 | c=0.998437
[Epoch 0023] loss=12.0914 cls=0.0255 smmd=0.2857 ct=9.3906 rec=1.1949 | train/val/test=1.000/0.688/0.708 | c=0.998437
[Epoch 0024] loss=12.0526 cls=0.0296 smmd=0.2399 ct=9.3940 rec=1.1946 | train/val/test=1.000/0.684/0.703 | c=0.998437
[Epoch 0025] loss=12.0458 cls=0.0327 smmd=0.2356 ct=9.3911 rec=1.1932 | train/val/test=1.000/0.708/0.712 | c=0.998437
[Epoch 0026] loss=12.0069 cls=0.0353 smmd=0.2062 ct=9.3861 rec=1.1897 | train/val/test=1.000/0.706/0.710 | c=0.998437
[Epoch 0027] loss=11.9866 cls=0.0340 smmd=0.2023 ct=9.3793 rec=1.1855 | train/val/test=1.000/0.712/0.718 | c=0.998437
[Epoch 0028] loss=11.9507 cls=0.0345 smmd=0.1720 ct=9.3820 rec=1.1811 | train/val/test=1.000/0.716/0.721 | c=0.998437
[Epoch 0029] loss=11.9114 cls=0.0324 smmd=0.1436 ct=9.3801 rec=1.1777 | train/val/test=1.000/0.716/0.720 | c=0.998437
