[2025-09-20 04:04:22] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=10.4741 cls=2.0629 smmd=6.6530 ct=7.4064 rec=1.3844 | train/val/test=0.046/0.047/0.059 | c=0.998437
[Epoch 0001] loss=10.6760 cls=2.2409 smmd=6.6769 ct=7.4062 rec=1.3848 | train/val/test=0.224/0.214/0.216 | c=0.998437
[Epoch 0002] loss=10.2325 cls=1.9677 smmd=6.5052 ct=7.4072 rec=1.3911 | train/val/test=0.253/0.254/0.255 | c=0.998437
[Epoch 0003] loss=9.6406 cls=1.9914 smmd=5.8906 ct=7.4069 rec=1.3862 | train/val/test=0.253/0.254/0.255 | c=0.998437
[Epoch 0004] loss=8.6188 cls=1.8998 smmd=4.9610 ct=7.4026 rec=1.3872 | train/val/test=0.408/0.400/0.409 | c=0.998437
[Epoch 0005] loss=7.6998 cls=1.9209 smmd=4.0245 ct=7.3835 rec=1.3886 | train/val/test=0.428/0.420/0.425 | c=0.998437
[Epoch 0006] loss=7.7916 cls=1.9019 smmd=4.1328 ct=7.3984 rec=1.3859 | train/val/test=0.253/0.254/0.254 | c=0.998437
[Epoch 0007] loss=7.3220 cls=1.8172 smmd=3.7530 ct=7.3732 rec=1.3856 | train/val/test=0.217/0.214/0.186 | c=0.998437
[Epoch 0008] loss=6.2751 cls=1.8463 smmd=2.6874 ct=7.3196 rec=1.3870 | train/val/test=0.453/0.435/0.448 | c=0.998437
[Epoch 0009] loss=6.0285 cls=1.7203 smmd=2.5763 ct=7.2733 rec=1.3860 | train/val/test=0.521/0.512/0.520 | c=0.998437
[Epoch 0010] loss=6.0215 cls=1.5975 smmd=2.6971 ct=7.2534 rec=1.3815 | train/val/test=0.540/0.529/0.536 | c=0.998437
[Epoch 0011] loss=5.5668 cls=1.4959 smmd=2.3627 ct=7.1672 rec=1.3739 | train/val/test=0.540/0.525/0.525 | c=0.998437
[Epoch 0012] loss=5.1342 cls=1.4029 smmd=2.0454 ct=7.0630 rec=1.3666 | train/val/test=0.625/0.611/0.625 | c=0.998437
[Epoch 0013] loss=4.9217 cls=1.2552 smmd=1.9806 ct=7.0762 rec=1.3535 | train/val/test=0.602/0.585/0.600 | c=0.998437
