[2025-09-20 04:06:50] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=39, val=1522, test=6089 (mode=few, shot=5)
[Epoch 0000] loss=10.9058 cls=2.0784 smmd=6.6194 ct=10.3478 rec=1.3844 | train/val/test=0.128/0.081/0.100 | c=0.998437
[Epoch 0001] loss=9.2402 cls=2.0759 smmd=4.8122 ct=11.0682 rec=1.3844 | train/val/test=0.256/0.189/0.207 | c=0.998437
[Epoch 0002] loss=8.5728 cls=2.0734 smmd=4.2144 ct=10.7328 rec=1.3844 | train/val/test=0.282/0.277/0.281 | c=0.998437
[Epoch 0003] loss=8.6964 cls=2.0692 smmd=4.3723 ct=10.5824 rec=1.3844 | train/val/test=0.256/0.187/0.187 | c=0.998437
[Epoch 0004] loss=7.5700 cls=2.0638 smmd=3.3257 ct=10.2100 rec=1.3844 | train/val/test=0.590/0.524/0.514 | c=0.998437
[Epoch 0005] loss=6.6526 cls=2.0575 smmd=2.4593 ct=9.9867 rec=1.3844 | train/val/test=0.513/0.585/0.576 | c=0.998437
[Epoch 0006] loss=6.6485 cls=2.0497 smmd=2.4788 ct=9.9078 rec=1.3844 | train/val/test=0.513/0.449/0.445 | c=0.998437
[Epoch 0007] loss=6.4915 cls=2.0396 smmd=2.3372 ct=9.8814 rec=1.3844 | train/val/test=0.538/0.495/0.478 | c=0.998437
[Epoch 0008] loss=6.0953 cls=2.0278 smmd=1.9610 ct=9.8409 rec=1.3844 | train/val/test=0.538/0.571/0.553 | c=0.998437
[Epoch 0009] loss=5.6684 cls=2.0139 smmd=1.5522 ct=9.8190 rec=1.3844 | train/val/test=0.615/0.566/0.547 | c=0.998437
[Epoch 0010] loss=5.4897 cls=1.9977 smmd=1.3928 ct=9.8037 rec=1.3843 | train/val/test=0.615/0.453/0.447 | c=0.998437
[Epoch 0011] loss=5.5829 cls=1.9796 smmd=1.5038 ct=9.8051 rec=1.3842 | train/val/test=0.692/0.610/0.584 | c=0.998437
[Epoch 0012] loss=5.4288 cls=1.9591 smmd=1.3794 ct=9.7598 rec=1.3841 | train/val/test=0.744/0.686/0.673 | c=0.998437
[Epoch 0013] loss=5.0977 cls=1.9363 smmd=1.0747 ct=9.7412 rec=1.3840 | train/val/test=0.718/0.639/0.625 | c=0.998437
[Epoch 0014] loss=5.0325 cls=1.9109 smmd=1.0344 ct=9.7440 rec=1.3838 | train/val/test=0.692/0.569/0.560 | c=0.998437
[Epoch 0015] loss=5.0813 cls=1.8831 smmd=1.1069 ct=9.7645 rec=1.3836 | train/val/test=0.667/0.560/0.552 | c=0.998437
[Epoch 0016] loss=4.9261 cls=1.8530 smmd=0.9807 ct=9.7704 rec=1.3832 | train/val/test=0.769/0.604/0.591 | c=0.998437
[Epoch 0017] loss=4.7709 cls=1.8211 smmd=0.8567 ct=9.7740 rec=1.3828 | train/val/test=0.769/0.643/0.620 | c=0.998437
[Epoch 0018] loss=4.7256 cls=1.7877 smmd=0.8463 ct=9.7670 rec=1.3824 | train/val/test=0.744/0.630/0.606 | c=0.998437
[Epoch 0019] loss=4.6917 cls=1.7520 smmd=0.8488 ct=9.7633 rec=1.3818 | train/val/test=0.744/0.599/0.581 | c=0.998437
[Epoch 0020] loss=4.5931 cls=1.7143 smmd=0.7866 ct=9.7701 rec=1.3810 | train/val/test=0.718/0.580/0.578 | c=0.998437
[Epoch 0021] loss=4.4920 cls=1.6750 smmd=0.7226 ct=9.7817 rec=1.3801 | train/val/test=0.744/0.585/0.583 | c=0.998437
[Epoch 0022] loss=4.4381 cls=1.6338 smmd=0.7060 ct=9.8015 rec=1.3789 | train/val/test=0.744/0.608/0.598 | c=0.998437
[Epoch 0023] loss=4.3525 cls=1.5919 smmd=0.6599 ct=9.8144 rec=1.3777 | train/val/test=0.744/0.616/0.608 | c=0.998437
[Epoch 0024] loss=4.2762 cls=1.5507 smmd=0.6253 ct=9.8130 rec=1.3763 | train/val/test=0.744/0.608/0.598 | c=0.998437
[Epoch 0025] loss=4.1999 cls=1.5090 smmd=0.5903 ct=9.8159 rec=1.3746 | train/val/test=0.718/0.603/0.595 | c=0.998437
[Epoch 0026] loss=4.1505 cls=1.4673 smmd=0.5809 ct=9.8253 rec=1.3728 | train/val/test=0.744/0.608/0.604 | c=0.998437
[Epoch 0027] loss=4.0714 cls=1.4257 smmd=0.5418 ct=9.8341 rec=1.3709 | train/val/test=0.744/0.599/0.604 | c=0.998437
[Epoch 0028] loss=4.0094 cls=1.3832 smmd=0.5192 ct=9.8506 rec=1.3686 | train/val/test=0.744/0.607/0.611 | c=0.998437
[Epoch 0029] loss=3.9244 cls=1.3427 smmd=0.4721 ct=9.8649 rec=1.3663 | train/val/test=0.769/0.633/0.630 | c=0.998437
[Epoch 0030] loss=3.8704 cls=1.3047 smmd=0.4558 ct=9.8672 rec=1.3640 | train/val/test=0.769/0.633/0.631 | c=0.998437
[Epoch 0031] loss=3.8096 cls=1.2669 smmd=0.4324 ct=9.8707 rec=1.3616 | train/val/test=0.744/0.626/0.634 | c=0.998437
[Epoch 0032] loss=3.7620 cls=1.2303 smmd=0.4204 ct=9.8772 rec=1.3593 | train/val/test=0.769/0.628/0.641 | c=0.998437
