[2025-09-20 04:09:19] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=79, val=1514, test=6057 (mode=few, shot=10)
[Epoch 0000] loss=10.8916 cls=2.0795 smmd=6.6056 ct=10.3401 rec=1.3844 | train/val/test=0.127/0.240/0.259 | c=0.998437
[Epoch 0001] loss=9.2747 cls=2.0770 smmd=4.8231 ct=11.1809 rec=1.3844 | train/val/test=0.127/0.240/0.259 | c=0.998437
[Epoch 0002] loss=8.6185 cls=2.0746 smmd=4.2631 ct=10.7120 rec=1.3844 | train/val/test=0.139/0.113/0.118 | c=0.998437
[Epoch 0003] loss=8.7108 cls=2.0707 smmd=4.4167 ct=10.4244 rec=1.3844 | train/val/test=0.152/0.118/0.122 | c=0.998437
[Epoch 0004] loss=7.6909 cls=2.0657 smmd=3.4732 ct=10.0677 rec=1.3844 | train/val/test=0.418/0.325/0.320 | c=0.998437
[Epoch 0005] loss=6.7028 cls=2.0586 smmd=2.5041 ct=10.0085 rec=1.3844 | train/val/test=0.392/0.228/0.221 | c=0.998437
[Epoch 0006] loss=6.7102 cls=2.0503 smmd=2.4774 ct=10.2199 rec=1.3844 | train/val/test=0.367/0.229/0.216 | c=0.998437
[Epoch 0007] loss=6.4819 cls=2.0414 smmd=2.3222 ct=9.8991 rec=1.3844 | train/val/test=0.456/0.345/0.337 | c=0.998437
[Epoch 0008] loss=6.1196 cls=2.0295 smmd=1.9868 ct=9.8245 rec=1.3843 | train/val/test=0.722/0.597/0.624 | c=0.998437
[Epoch 0009] loss=5.8158 cls=2.0160 smmd=1.6903 ct=9.8554 rec=1.3843 | train/val/test=0.608/0.401/0.388 | c=0.998437
[Epoch 0010] loss=5.5325 cls=2.0014 smmd=1.4406 ct=9.7606 rec=1.3843 | train/val/test=0.633/0.445/0.454 | c=0.998437
[Epoch 0011] loss=5.5281 cls=1.9841 smmd=1.4487 ct=9.7843 rec=1.3842 | train/val/test=0.810/0.615/0.634 | c=0.998437
[Epoch 0012] loss=5.4960 cls=1.9643 smmd=1.4244 ct=9.8446 rec=1.3841 | train/val/test=0.886/0.707/0.717 | c=0.998437
[Epoch 0013] loss=5.1977 cls=1.9425 smmd=1.1572 ct=9.7985 rec=1.3840 | train/val/test=0.873/0.761/0.763 | c=0.998437
[Epoch 0014] loss=5.0405 cls=1.9186 smmd=1.0299 ct=9.7681 rec=1.3839 | train/val/test=0.861/0.772/0.780 | c=0.998437
[Epoch 0015] loss=5.0876 cls=1.8928 smmd=1.1073 ct=9.7456 rec=1.3837 | train/val/test=0.835/0.743/0.752 | c=0.998437
[Epoch 0016] loss=4.9961 cls=1.8652 smmd=1.0449 ct=9.7384 rec=1.3834 | train/val/test=0.823/0.748/0.759 | c=0.998437
[Epoch 0017] loss=4.8460 cls=1.8350 smmd=0.9240 ct=9.7435 rec=1.3831 | train/val/test=0.835/0.742/0.752 | c=0.998437
[Epoch 0018] loss=4.7448 cls=1.8020 smmd=0.8502 ct=9.7711 rec=1.3826 | train/val/test=0.823/0.756/0.766 | c=0.998437
[Epoch 0019] loss=4.7025 cls=1.7669 smmd=0.8374 ct=9.7995 rec=1.3821 | train/val/test=0.823/0.768/0.775 | c=0.998437
[Epoch 0020] loss=4.6441 cls=1.7295 smmd=0.8178 ct=9.7935 rec=1.3814 | train/val/test=0.835/0.758/0.773 | c=0.998437
[Epoch 0021] loss=4.5228 cls=1.6901 smmd=0.7387 ct=9.7799 rec=1.3805 | train/val/test=0.810/0.753/0.764 | c=0.998437
[Epoch 0022] loss=4.4480 cls=1.6499 smmd=0.7036 ct=9.7828 rec=1.3794 | train/val/test=0.823/0.750/0.760 | c=0.998437
[Epoch 0023] loss=4.4034 cls=1.6081 smmd=0.7016 ct=9.7794 rec=1.3781 | train/val/test=0.835/0.752/0.764 | c=0.998437
[Epoch 0024] loss=4.3128 cls=1.5648 smmd=0.6536 ct=9.7842 rec=1.3765 | train/val/test=0.823/0.758/0.769 | c=0.998437
[Epoch 0025] loss=4.2216 cls=1.5209 smmd=0.6028 ct=9.8023 rec=1.3745 | train/val/test=0.823/0.754/0.767 | c=0.998437
[Epoch 0026] loss=4.1497 cls=1.4765 smmd=0.5728 ct=9.8159 rec=1.3723 | train/val/test=0.823/0.765/0.774 | c=0.998437
[Epoch 0027] loss=4.0893 cls=1.4312 smmd=0.5560 ct=9.8255 rec=1.3699 | train/val/test=0.835/0.771/0.785 | c=0.998437
[Epoch 0028] loss=3.9981 cls=1.3867 smmd=0.5087 ct=9.8305 rec=1.3671 | train/val/test=0.835/0.769/0.784 | c=0.998437
[Epoch 0029] loss=3.9391 cls=1.3436 smmd=0.4933 ct=9.8291 rec=1.3641 | train/val/test=0.848/0.771/0.785 | c=0.998437
[Epoch 0030] loss=3.8852 cls=1.3014 smmd=0.4824 ct=9.8268 rec=1.3609 | train/val/test=0.873/0.783/0.791 | c=0.998437
[Epoch 0031] loss=3.8066 cls=1.2602 smmd=0.4446 ct=9.8304 rec=1.3575 | train/val/test=0.873/0.787/0.795 | c=0.998437
[Epoch 0032] loss=3.7452 cls=1.2204 smmd=0.4203 ct=9.8458 rec=1.3539 | train/val/test=0.873/0.789/0.795 | c=0.998437
[Epoch 0033] loss=3.7017 cls=1.1821 smmd=0.4122 ct=9.8618 rec=1.3502 | train/val/test=0.873/0.801/0.801 | c=0.998437
[Epoch 0034] loss=3.6290 cls=1.1458 smmd=0.3756 ct=9.8647 rec=1.3466 | train/val/test=0.886/0.812/0.807 | c=0.998437
[Epoch 0035] loss=3.5843 cls=1.1105 smmd=0.3677 ct=9.8590 rec=1.3430 | train/val/test=0.873/0.810/0.806 | c=0.998437
[Epoch 0036] loss=3.5529 cls=1.0779 smmd=0.3692 ct=9.8593 rec=1.3394 | train/val/test=0.873/0.806/0.804 | c=0.998437
[Epoch 0037] loss=3.4958 cls=1.0474 smmd=0.3415 ct=9.8667 rec=1.3358 | train/val/test=0.873/0.812/0.807 | c=0.998437
[Epoch 0038] loss=3.4577 cls=1.0164 smmd=0.3331 ct=9.8747 rec=1.3325 | train/val/test=0.886/0.820/0.814 | c=0.998437
[Epoch 0039] loss=3.4202 cls=0.9878 smmd=0.3234 ct=9.8804 rec=1.3294 | train/val/test=0.899/0.821/0.816 | c=0.998437
[Epoch 0040] loss=3.3818 cls=0.9625 smmd=0.3109 ct=9.8789 rec=1.3261 | train/val/test=0.899/0.819/0.813 | c=0.998437
[Epoch 0041] loss=3.3506 cls=0.9387 smmd=0.3043 ct=9.8766 rec=1.3232 | train/val/test=0.899/0.822/0.816 | c=0.998437
[Epoch 0042] loss=3.3181 cls=0.9143 smmd=0.2960 ct=9.8791 rec=1.3206 | train/val/test=0.899/0.826/0.822 | c=0.998437
[Epoch 0043] loss=3.2884 cls=0.8899 smmd=0.2901 ct=9.8831 rec=1.3182 | train/val/test=0.899/0.824/0.818 | c=0.998437
[Epoch 0044] loss=3.2585 cls=0.8689 smmd=0.2808 ct=9.8862 rec=1.3158 | train/val/test=0.899/0.828/0.822 | c=0.998437
[Epoch 0045] loss=3.2371 cls=0.8491 smmd=0.2799 ct=9.8834 rec=1.3135 | train/val/test=0.899/0.827/0.823 | c=0.998437
[Epoch 0046] loss=3.2121 cls=0.8312 smmd=0.2734 ct=9.8823 rec=1.3114 | train/val/test=0.899/0.836/0.829 | c=0.998437
[Epoch 0047] loss=3.1718 cls=0.8112 smmd=0.2532 ct=9.8820 rec=1.3097 | train/val/test=0.899/0.848/0.843 | c=0.998437
[Epoch 0048] loss=3.1612 cls=0.7929 smmd=0.2605 ct=9.8848 rec=1.3082 | train/val/test=0.899/0.860/0.855 | c=0.998437
[Epoch 0049] loss=3.1326 cls=0.7758 smmd=0.2496 ct=9.8825 rec=1.3065 | train/val/test=0.899/0.863/0.861 | c=0.998437
[Epoch 0050] loss=3.1054 cls=0.7606 smmd=0.2378 ct=9.8828 rec=1.3046 | train/val/test=0.899/0.864/0.861 | c=0.998437
[Epoch 0051] loss=3.0866 cls=0.7432 smmd=0.2368 ct=9.8813 rec=1.3039 | train/val/test=0.911/0.871/0.872 | c=0.998437
[Epoch 0052] loss=3.0614 cls=0.7300 smmd=0.2253 ct=9.8799 rec=1.3018 | train/val/test=0.911/0.871/0.871 | c=0.998437
[Epoch 0053] loss=3.0514 cls=0.7124 smmd=0.2324 ct=9.8825 rec=1.3017 | train/val/test=0.911/0.870/0.873 | c=0.998437
