[2025-09-20 04:11:22] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.0471 cls=2.3070 smmd=6.6333 ct=7.6139 rec=1.3851 | train/val/test=0.378/0.381/0.361 | c=0.998437
[Epoch 0001] loss=10.7059 cls=1.9976 smmd=4.9110 ct=7.6117 rec=1.3868 | train/val/test=0.378/0.381/0.361 | c=0.998437
[Epoch 0002] loss=9.9757 cls=1.9353 smmd=4.3035 ct=7.6124 rec=1.3954 | train/val/test=0.059/0.060/0.060 | c=0.998437
[Epoch 0003] loss=12.2289 cls=2.8879 smmd=4.6540 ct=7.6095 rec=1.3864 | train/val/test=0.378/0.381/0.361 | c=0.998437
[Epoch 0004] loss=12.0836 cls=2.6802 smmd=4.7630 ct=8.3146 rec=1.4867 | train/val/test=0.378/0.381/0.361 | c=0.998437
[Epoch 0005] loss=11.1603 cls=2.3720 smmd=4.4467 ct=8.4145 rec=1.4330 | train/val/test=0.158/0.157/0.154 | c=0.998437
[Epoch 0006] loss=9.7317 cls=2.0104 smmd=3.7290 ct=8.5120 rec=1.3975 | train/val/test=0.398/0.402/0.389 | c=0.998437
[Epoch 0007] loss=9.0354 cls=2.0431 smmd=2.9740 ct=8.4911 rec=1.3847 | train/val/test=0.378/0.380/0.361 | c=0.998437
[Epoch 0008] loss=8.2026 cls=1.8581 smmd=2.5824 ct=8.1242 rec=1.3955 | train/val/test=0.378/0.380/0.361 | c=0.998437
[Epoch 0009] loss=8.5802 cls=2.0053 smmd=2.6811 ct=8.0381 rec=1.4049 | train/val/test=0.375/0.377/0.358 | c=0.998437
[Epoch 0010] loss=8.5005 cls=1.9637 smmd=2.6859 ct=8.0394 rec=1.3961 | train/val/test=0.376/0.379/0.361 | c=0.998437
[Epoch 0011] loss=7.9833 cls=1.7828 smmd=2.5400 ct=7.9981 rec=1.3901 | train/val/test=0.378/0.380/0.361 | c=0.998437
[Epoch 0012] loss=7.6545 cls=1.7396 smmd=2.2847 ct=8.0676 rec=1.3858 | train/val/test=0.455/0.460/0.457 | c=0.998437
[Epoch 0013] loss=6.9860 cls=1.6326 smmd=1.8057 ct=8.1910 rec=1.3848 | train/val/test=0.475/0.489/0.484 | c=0.998437
[Epoch 0014] loss=6.5288 cls=1.5774 smmd=1.4568 ct=8.2029 rec=1.3827 | train/val/test=0.490/0.505/0.501 | c=0.998437
[Epoch 0015] loss=6.3380 cls=1.5066 smmd=1.4246 ct=8.1248 rec=1.3756 | train/val/test=0.503/0.520/0.511 | c=0.998437
[Epoch 0016] loss=6.1438 cls=1.3944 smmd=1.4807 ct=8.0146 rec=1.3572 | train/val/test=0.546/0.570/0.559 | c=0.998437
[Epoch 0017] loss=5.8755 cls=1.2784 smmd=1.4590 ct=7.9493 rec=1.3494 | train/val/test=0.547/0.572/0.558 | c=0.998437
[Epoch 0018] loss=5.5594 cls=1.2155 smmd=1.2896 ct=7.8634 rec=1.3307 | train/val/test=0.649/0.673/0.655 | c=0.998437
[Epoch 0019] loss=5.3264 cls=1.1231 smmd=1.2179 ct=7.9837 rec=1.3279 | train/val/test=0.635/0.647/0.640 | c=0.998437
[Epoch 0020] loss=5.2305 cls=1.1139 smmd=1.1438 ct=7.9818 rec=1.3128 | train/val/test=0.651/0.666/0.649 | c=0.998437
[Epoch 0021] loss=5.2813 cls=1.1147 smmd=1.1969 ct=7.9666 rec=1.3089 | train/val/test=0.587/0.607/0.592 | c=0.998437
[Epoch 0022] loss=5.4430 cls=1.2473 smmd=1.1054 ct=7.9120 rec=1.3033 | train/val/test=0.612/0.625/0.606 | c=0.998437
[Epoch 0023] loss=5.3714 cls=1.1812 smmd=1.1466 ct=8.0069 rec=1.3047 | train/val/test=0.698/0.717/0.708 | c=0.998437
[Epoch 0024] loss=4.5223 cls=0.8669 smmd=0.9448 ct=7.9420 rec=1.2773 | train/val/test=0.605/0.621/0.617 | c=0.998437
[Epoch 0025] loss=5.0906 cls=1.1390 smmd=0.9489 ct=8.0156 rec=1.3033 | train/val/test=0.600/0.613/0.595 | c=0.998437
[Epoch 0026] loss=5.1438 cls=1.1221 smmd=1.0489 ct=7.9777 rec=1.2763 | train/val/test=0.675/0.701/0.675 | c=0.998437
[Epoch 0027] loss=4.6154 cls=0.8922 smmd=0.9972 ct=7.8802 rec=1.2885 | train/val/test=0.657/0.682/0.670 | c=0.998437
