[2025-09-20 04:20:49] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=49, val=2740, test=10963 (mode=few, shot=5)
[Epoch 0000] loss=22.4590 cls=2.3039 smmd=6.6384 ct=10.9357 rec=1.3851 | train/val/test=0.102/0.032/0.031 | c=0.998437
[Epoch 0001] loss=20.6357 cls=2.3009 smmd=4.8243 ct=10.9325 rec=1.3851 | train/val/test=0.082/0.030/0.021 | c=0.998437
[Epoch 0002] loss=20.1766 cls=2.2998 smmd=4.3690 ct=10.9309 rec=1.3851 | train/val/test=0.163/0.072/0.073 | c=0.998437
[Epoch 0003] loss=20.3238 cls=2.2961 smmd=4.5269 ct=10.9276 rec=1.3851 | train/val/test=0.306/0.167/0.154 | c=0.998437
[Epoch 0004] loss=19.3340 cls=2.2909 smmd=3.5555 ct=10.9197 rec=1.3851 | train/val/test=0.286/0.164/0.146 | c=0.998437
[Epoch 0005] loss=18.3328 cls=2.2843 smmd=2.5830 ct=10.9041 rec=1.3851 | train/val/test=0.347/0.215/0.198 | c=0.998437
[Epoch 0006] loss=18.3193 cls=2.2760 smmd=2.6022 ct=10.8880 rec=1.3851 | train/val/test=0.531/0.287/0.278 | c=0.998437
[Epoch 0007] loss=18.1252 cls=2.2649 smmd=2.4590 ct=10.8594 rec=1.3851 | train/val/test=0.449/0.294/0.289 | c=0.998437
[Epoch 0008] loss=17.6434 cls=2.2505 smmd=2.0433 ct=10.8220 rec=1.3851 | train/val/test=0.531/0.365/0.364 | c=0.998437
[Epoch 0009] loss=17.8089 cls=2.2322 smmd=1.6798 ct=11.3877 rec=1.3850 | train/val/test=0.469/0.320/0.302 | c=0.998437
[Epoch 0010] loss=17.5072 cls=2.2134 smmd=1.8744 ct=10.9291 rec=1.3850 | train/val/test=0.531/0.366/0.360 | c=0.998437
[Epoch 0011] loss=17.6301 cls=2.1870 smmd=2.1727 ct=10.8063 rec=1.3849 | train/val/test=0.592/0.530/0.533 | c=0.998437
[Epoch 0012] loss=17.4752 cls=2.1585 smmd=2.0550 ct=10.8264 rec=1.3847 | train/val/test=0.449/0.376/0.366 | c=0.998437
[Epoch 0013] loss=17.0751 cls=2.1288 smmd=1.5996 ct=10.9411 rec=1.3846 | train/val/test=0.714/0.573/0.579 | c=0.998437
[Epoch 0014] loss=16.6825 cls=2.0908 smmd=1.1617 ct=11.0624 rec=1.3842 | train/val/test=0.612/0.560/0.564 | c=0.998437
[Epoch 0015] loss=16.6424 cls=2.0557 smmd=1.2005 ct=11.0538 rec=1.3838 | train/val/test=0.551/0.500/0.491 | c=0.998437
[Epoch 0016] loss=16.6438 cls=2.0187 smmd=1.3240 ct=11.0058 rec=1.3833 | train/val/test=0.714/0.573/0.578 | c=0.998437
