[2025-09-20 04:30:10] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Photo
Split sizes | train=99, val=2730, test=10923 (mode=few, shot=10)
[Epoch 0000] loss=22.4447 cls=2.3048 smmd=6.6278 ct=10.9303 rec=1.3851 | train/val/test=0.101/0.043/0.038 | c=0.998437
[Epoch 0001] loss=20.6831 cls=2.3015 smmd=4.8764 ct=10.9267 rec=1.3851 | train/val/test=0.121/0.109/0.104 | c=0.998437
[Epoch 0002] loss=20.0729 cls=2.2998 smmd=4.2719 ct=10.9243 rec=1.3851 | train/val/test=0.152/0.393/0.379 | c=0.998437
[Epoch 0003] loss=20.2784 cls=2.2962 smmd=4.4866 ct=10.9224 rec=1.3851 | train/val/test=0.293/0.418/0.405 | c=0.998437
[Epoch 0004] loss=19.3461 cls=2.2907 smmd=3.5735 ct=10.9141 rec=1.3851 | train/val/test=0.242/0.182/0.171 | c=0.998437
[Epoch 0005] loss=18.3102 cls=2.2841 smmd=2.5695 ct=10.8955 rec=1.3851 | train/val/test=0.242/0.169/0.178 | c=0.998437
[Epoch 0006] loss=18.2876 cls=2.2754 smmd=2.5882 ct=10.8716 rec=1.3851 | train/val/test=0.394/0.353/0.366 | c=0.998437
[Epoch 0007] loss=18.1237 cls=2.2628 smmd=2.4912 ct=10.8298 rec=1.3850 | train/val/test=0.566/0.520/0.530 | c=0.998437
[Epoch 0008] loss=17.5706 cls=2.2461 smmd=2.0326 ct=10.7687 rec=1.3850 | train/val/test=0.485/0.432/0.421 | c=0.998437
[Epoch 0009] loss=17.8913 cls=2.2254 smmd=1.7033 ct=11.4601 rec=1.3849 | train/val/test=0.444/0.226/0.226 | c=0.998437
[Epoch 0010] loss=17.4295 cls=2.2030 smmd=1.6545 ct=11.0921 rec=1.3848 | train/val/test=0.414/0.342/0.330 | c=0.998437
[Epoch 0011] loss=17.4548 cls=2.1741 smmd=1.8837 ct=10.9461 rec=1.3845 | train/val/test=0.505/0.442/0.433 | c=0.998437
[Epoch 0012] loss=17.3843 cls=2.1408 smmd=1.8996 ct=10.9262 rec=1.3840 | train/val/test=0.525/0.451/0.441 | c=0.998437
[Epoch 0013] loss=17.0437 cls=2.1086 smmd=1.5914 ct=10.9584 rec=1.3836 | train/val/test=0.535/0.477/0.469 | c=0.998437
[Epoch 0014] loss=16.6525 cls=2.0702 smmd=1.1869 ct=11.0486 rec=1.3829 | train/val/test=0.576/0.516/0.507 | c=0.998437
