[2025-09-20 04:41:04] START attempt 1: python main.py --is_transfer True --test_dataset PubMed --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=11830, val=3943, test=3944 (mode=public, shot=N/A)
[Epoch 0000] loss=72.4497 cls=1.0898 smmd=5.6704 ct=7.2468 rec=1.4137 | train/val/test=0.458/0.439/0.441 | c=0.998347
[Epoch 0001] loss=53.4160 cls=1.0601 smmd=3.7806 ct=7.1858 rec=1.4158 | train/val/test=0.592/0.591/0.581 | c=0.998347
[Epoch 0002] loss=37.2804 cls=1.0611 smmd=2.1851 ct=7.0959 rec=1.4139 | train/val/test=0.584/0.577/0.563 | c=0.998347
[Epoch 0003] loss=40.6631 cls=1.0312 smmd=2.5302 ct=7.0694 rec=1.4136 | train/val/test=0.566/0.558/0.547 | c=0.998347
[Epoch 0004] loss=41.4354 cls=0.9785 smmd=2.4887 ct=7.6766 rec=1.4127 | train/val/test=0.561/0.553/0.542 | c=0.998347
[Epoch 0005] loss=36.3932 cls=0.9251 smmd=2.0400 ct=7.4132 rec=1.4087 | train/val/test=0.571/0.563/0.556 | c=0.998347
[Epoch 0006] loss=31.9304 cls=0.8939 smmd=1.6008 ct=7.3871 rec=1.4019 | train/val/test=0.570/0.561/0.549 | c=0.998347
[Epoch 0007] loss=34.7917 cls=0.8470 smmd=1.8803 ct=7.4350 rec=1.3900 | train/val/test=0.581/0.573/0.560 | c=0.998347
[Epoch 0008] loss=35.5226 cls=0.8002 smmd=1.9544 ct=7.4447 rec=1.3774 | train/val/test=0.666/0.667/0.655 | c=0.998347
[Epoch 0009] loss=29.3768 cls=0.7612 smmd=1.3401 ct=7.4563 rec=1.3659 | train/val/test=0.697/0.700/0.688 | c=0.998347
[Epoch 0010] loss=28.2989 cls=0.7294 smmd=1.2240 ct=7.5072 rec=1.3607 | train/val/test=0.682/0.679/0.673 | c=0.998347
[Epoch 0011] loss=30.0827 cls=0.7034 smmd=1.4075 ct=7.4882 rec=1.3594 | train/val/test=0.717/0.719/0.710 | c=0.998347
[Epoch 0012] loss=27.6520 cls=0.6738 smmd=1.1735 ct=7.4507 rec=1.3566 | train/val/test=0.765/0.772/0.751 | c=0.998347
[Epoch 0013] loss=26.5864 cls=0.6414 smmd=1.0628 ct=7.4812 rec=1.3506 | train/val/test=0.769/0.779/0.757 | c=0.998347
[Epoch 0014] loss=25.4150 cls=0.6332 smmd=0.9412 ct=7.5078 rec=1.3424 | train/val/test=0.774/0.780/0.759 | c=0.998347
[Epoch 0015] loss=25.7049 cls=0.6128 smmd=0.9810 ct=7.4594 rec=1.3396 | train/val/test=0.783/0.787/0.769 | c=0.998347
[Epoch 0016] loss=24.8432 cls=0.5882 smmd=0.8994 ct=7.4425 rec=1.3400 | train/val/test=0.807/0.813/0.791 | c=0.998347
[Epoch 0017] loss=23.4403 cls=0.5475 smmd=0.7581 ct=7.4597 rec=1.3317 | train/val/test=0.801/0.811/0.795 | c=0.998347
[Epoch 0018] loss=23.2432 cls=0.5498 smmd=0.7307 ct=7.4982 rec=1.3291 | train/val/test=0.803/0.814/0.792 | c=0.998347
[Epoch 0019] loss=22.8684 cls=0.5419 smmd=0.6958 ct=7.4891 rec=1.3215 | train/val/test=0.814/0.821/0.794 | c=0.998347
[Epoch 0020] loss=22.2168 cls=0.5170 smmd=0.6383 ct=7.4581 rec=1.3185 | train/val/test=0.815/0.820/0.797 | c=0.998347
[Epoch 0021] loss=21.4557 cls=0.5046 smmd=0.5651 ct=7.4467 rec=1.3185 | train/val/test=0.819/0.823/0.802 | c=0.998347
[Epoch 0022] loss=21.7175 cls=0.4958 smmd=0.5924 ct=7.4434 rec=1.3168 | train/val/test=0.824/0.828/0.808 | c=0.998347
[Epoch 0023] loss=20.9842 cls=0.4916 smmd=0.5171 ct=7.4551 rec=1.3142 | train/val/test=0.823/0.830/0.808 | c=0.998347
[Epoch 0024] loss=20.5514 cls=0.4979 smmd=0.4685 ct=7.4798 rec=1.3159 | train/val/test=0.826/0.830/0.812 | c=0.998347
[Epoch 0025] loss=20.5271 cls=0.4791 smmd=0.4686 ct=7.4722 rec=1.3137 | train/val/test=0.823/0.828/0.808 | c=0.998347
[Epoch 0026] loss=20.0378 cls=0.4787 smmd=0.4231 ct=7.4546 rec=1.3160 | train/val/test=0.831/0.835/0.818 | c=0.998347
[Epoch 0027] loss=19.8471 cls=0.4698 smmd=0.4063 ct=7.4462 rec=1.3145 | train/val/test=0.834/0.835/0.820 | c=0.998347
[Epoch 0028] loss=19.6281 cls=0.4667 smmd=0.3820 ct=7.4591 rec=1.3125 | train/val/test=0.835/0.838/0.821 | c=0.998347
[Epoch 0029] loss=19.3344 cls=0.4623 smmd=0.3512 ct=7.4676 rec=1.3114 | train/val/test=0.836/0.840/0.823 | c=0.998347
[Epoch 0030] loss=19.2050 cls=0.4544 smmd=0.3403 ct=7.4596 rec=1.3120 | train/val/test=0.837/0.841/0.826 | c=0.998347
[Epoch 0031] loss=18.8988 cls=0.4498 smmd=0.3133 ct=7.4425 rec=1.3111 | train/val/test=0.840/0.844/0.824 | c=0.998347
[Epoch 0032] loss=18.7709 cls=0.4513 smmd=0.2995 ct=7.4478 rec=1.3085 | train/val/test=0.838/0.845/0.826 | c=0.998347
[Epoch 0033] loss=18.6204 cls=0.4516 smmd=0.2826 ct=7.4577 rec=1.3070 | train/val/test=0.840/0.843/0.828 | c=0.998347
[Epoch 0034] loss=18.3653 cls=0.4432 smmd=0.2603 ct=7.4434 rec=1.3086 | train/val/test=0.839/0.843/0.827 | c=0.998347
[Epoch 0035] loss=18.3293 cls=0.4434 smmd=0.2579 ct=7.4366 rec=1.3103 | train/val/test=0.840/0.844/0.825 | c=0.998347
