[2025-09-20 04:44:37] START attempt 1: python main.py --is_transfer True --test_dataset PubMed --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=13, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=26.7026 cls=1.1047 smmd=5.6637 ct=11.2841 rec=1.4138 | train/val/test=0.615/0.498/0.499 | c=0.998347
[Epoch 0001] loss=22.5129 cls=1.0899 smmd=4.0076 ct=11.2422 rec=1.4135 | train/val/test=0.538/0.348/0.340 | c=0.998347
[Epoch 0002] loss=24.8491 cls=1.0825 smmd=4.9376 ct=11.2572 rec=1.4135 | train/val/test=0.769/0.610/0.613 | c=0.998347
[Epoch 0003] loss=23.7755 cls=1.0581 smmd=4.5503 ct=11.1640 rec=1.4134 | train/val/test=0.692/0.634/0.646 | c=0.998347
[Epoch 0004] loss=18.9233 cls=1.0179 smmd=2.4265 ct=11.6416 rec=1.4129 | train/val/test=0.692/0.570/0.597 | c=0.998347
[Epoch 0005] loss=20.5804 cls=0.9798 smmd=3.1926 ct=11.4030 rec=1.4120 | train/val/test=0.769/0.622/0.648 | c=0.998347
[Epoch 0006] loss=21.4013 cls=0.9384 smmd=3.5378 ct=11.3822 rec=1.4108 | train/val/test=0.769/0.652/0.656 | c=0.998347
[Epoch 0007] loss=19.7184 cls=0.8980 smmd=2.8898 ct=11.3404 rec=1.4090 | train/val/test=0.846/0.646/0.653 | c=0.998347
[Epoch 0008] loss=17.3851 cls=0.8683 smmd=1.9464 ct=11.3816 rec=1.4064 | train/val/test=0.923/0.662/0.664 | c=0.998347
[Epoch 0009] loss=18.8956 cls=0.8560 smmd=2.4636 ct=11.6060 rec=1.4053 | train/val/test=0.923/0.670/0.661 | c=0.998347
[Epoch 0010] loss=19.5947 cls=0.8392 smmd=2.7515 ct=11.5933 rec=1.4059 | train/val/test=0.923/0.684/0.679 | c=0.998347
[Epoch 0011] loss=17.1223 cls=0.8121 smmd=1.8203 ct=11.4627 rec=1.4055 | train/val/test=0.923/0.682/0.678 | c=0.998347
[Epoch 0012] loss=18.4439 cls=0.7906 smmd=2.3171 ct=11.5542 rec=1.4034 | train/val/test=0.923/0.660/0.676 | c=0.998347
[Epoch 0013] loss=18.4079 cls=0.7499 smmd=2.3715 ct=11.4031 rec=1.4019 | train/val/test=0.923/0.690/0.695 | c=0.998347
