[2025-09-20 04:47:54] START attempt 1: python main.py --is_transfer True --test_dataset PubMed --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=26, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=39.8700 cls=1.1028 smmd=5.5797 ct=11.2785 rec=1.4138 | train/val/test=0.346/0.388/0.413 | c=0.998347
[Epoch 0001] loss=30.4760 cls=1.0796 smmd=3.7103 ct=11.2432 rec=1.4139 | train/val/test=0.577/0.472/0.469 | c=0.998347
[Epoch 0002] loss=34.7221 cls=1.0527 smmd=4.5591 ct=11.2587 rec=1.4135 | train/val/test=0.500/0.288/0.256 | c=0.998347
[Epoch 0003] loss=33.2620 cls=0.9881 smmd=4.2863 ct=11.1948 rec=1.4137 | train/val/test=0.731/0.694/0.682 | c=0.998347
[Epoch 0004] loss=23.9302 cls=0.8695 smmd=2.4706 ct=11.0012 rec=1.4105 | train/val/test=0.808/0.578/0.533 | c=0.998347
[Epoch 0005] loss=26.6707 cls=0.7433 smmd=3.0360 ct=10.9793 rec=1.4001 | train/val/test=0.885/0.708/0.683 | c=0.998347
[Epoch 0006] loss=28.4158 cls=0.6077 smmd=3.4089 ct=10.9288 rec=1.3880 | train/val/test=0.885/0.746/0.711 | c=0.998347
[Epoch 0007] loss=25.4246 cls=0.4683 smmd=2.8357 ct=10.8756 rec=1.3661 | train/val/test=0.885/0.700/0.663 | c=0.998347
[Epoch 0008] loss=20.6694 cls=0.3685 smmd=1.9007 ct=10.8471 rec=1.3449 | train/val/test=0.962/0.750/0.687 | c=0.998347
[Epoch 0009] loss=22.7768 cls=0.2965 smmd=2.3254 ct=10.8679 rec=1.3346 | train/val/test=0.962/0.784/0.755 | c=0.998347
[Epoch 0010] loss=24.3637 cls=0.2298 smmd=2.6490 ct=10.8713 rec=1.3271 | train/val/test=0.962/0.792/0.771 | c=0.998347
