[2025-09-20 04:50:50] START attempt 1: python main.py --is_transfer True --test_dataset CiteSeer --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=1996, val=665, test=666 (mode=public, shot=N/A)
[Epoch 0000] loss=20.4368 cls=1.7845 smmd=4.1147 ct=6.9287 rec=1.3917 | train/val/test=0.222/0.198/0.189 | c=0.998347
[Epoch 0001] loss=20.3825 cls=1.7773 smmd=4.0891 ct=6.9368 rec=1.3917 | train/val/test=0.222/0.198/0.189 | c=0.998347
[Epoch 0002] loss=18.6162 cls=1.7648 smmd=3.2185 ct=6.9112 rec=1.3918 | train/val/test=0.224/0.198/0.191 | c=0.998347
[Epoch 0003] loss=17.0628 cls=1.7483 smmd=2.4659 ct=6.8472 rec=1.3918 | train/val/test=0.327/0.301/0.287 | c=0.998347
[Epoch 0004] loss=16.5512 cls=1.7255 smmd=2.0506 ct=7.5305 rec=1.3918 | train/val/test=0.376/0.361/0.350 | c=0.998347
[Epoch 0005] loss=16.0452 cls=1.6930 smmd=1.8852 ct=7.2467 rec=1.3917 | train/val/test=0.465/0.447/0.429 | c=0.998347
[Epoch 0006] loss=16.1053 cls=1.6533 smmd=1.9700 ct=7.1133 rec=1.3911 | train/val/test=0.530/0.528/0.512 | c=0.998347
[Epoch 0007] loss=15.4634 cls=1.6063 smmd=1.6888 ct=7.0616 rec=1.3897 | train/val/test=0.571/0.573/0.548 | c=0.998347
[Epoch 0008] loss=14.5703 cls=1.5550 smmd=1.2590 ct=7.1202 rec=1.3874 | train/val/test=0.585/0.574/0.557 | c=0.998347
[Epoch 0009] loss=15.0507 cls=1.5064 smmd=1.4904 ct=7.2841 rec=1.3843 | train/val/test=0.603/0.583/0.571 | c=0.998347
[Epoch 0010] loss=14.8707 cls=1.4566 smmd=1.4153 ct=7.3650 rec=1.3802 | train/val/test=0.631/0.612/0.587 | c=0.998347
[Epoch 0011] loss=13.8356 cls=1.4029 smmd=0.9506 ct=7.3132 rec=1.3750 | train/val/test=0.637/0.621/0.608 | c=0.998347
[Epoch 0012] loss=13.9711 cls=1.3527 smmd=1.0887 ct=7.1845 rec=1.3698 | train/val/test=0.655/0.626/0.619 | c=0.998347
[Epoch 0013] loss=14.0365 cls=1.3046 smmd=1.1838 ct=7.0883 rec=1.3640 | train/val/test=0.679/0.657/0.637 | c=0.998347
[Epoch 0014] loss=13.2806 cls=1.2555 smmd=0.8459 ct=7.0993 rec=1.3568 | train/val/test=0.679/0.659/0.629 | c=0.998347
[Epoch 0015] loss=13.1649 cls=1.2190 smmd=0.7839 ct=7.2584 rec=1.3498 | train/val/test=0.691/0.660/0.631 | c=0.998347
[Epoch 0016] loss=13.1872 cls=1.1800 smmd=0.8063 ct=7.3555 rec=1.3434 | train/val/test=0.703/0.671/0.661 | c=0.998347
[Epoch 0017] loss=12.7202 cls=1.1354 smmd=0.6321 ct=7.2709 rec=1.3370 | train/val/test=0.711/0.680/0.679 | c=0.998347
[Epoch 0018] loss=12.6421 cls=1.0991 smmd=0.6587 ct=7.1406 rec=1.3310 | train/val/test=0.717/0.687/0.671 | c=0.998347
[Epoch 0019] loss=12.6043 cls=1.0665 smmd=0.6762 ct=7.1250 rec=1.3246 | train/val/test=0.723/0.696/0.652 | c=0.998347
[Epoch 0020] loss=12.2617 cls=1.0397 smmd=0.5075 ct=7.2261 rec=1.3188 | train/val/test=0.732/0.699/0.674 | c=0.998347
[Epoch 0021] loss=12.2420 cls=1.0094 smmd=0.5128 ct=7.2813 rec=1.3133 | train/val/test=0.730/0.693/0.685 | c=0.998347
[Epoch 0022] loss=12.1046 cls=0.9816 smmd=0.4839 ct=7.2309 rec=1.3079 | train/val/test=0.734/0.699/0.689 | c=0.998347
[Epoch 0023] loss=11.9008 cls=0.9551 smmd=0.4235 ct=7.1694 rec=1.3028 | train/val/test=0.749/0.713/0.697 | c=0.998347
[Epoch 0024] loss=11.8949 cls=0.9302 smmd=0.4452 ct=7.1769 rec=1.2972 | train/val/test=0.756/0.708/0.694 | c=0.998347
[Epoch 0025] loss=11.6917 cls=0.9085 smmd=0.3583 ct=7.2205 rec=1.2913 | train/val/test=0.753/0.713/0.701 | c=0.998347
[Epoch 0026] loss=11.6454 cls=0.8847 smmd=0.3614 ct=7.2263 rec=1.2849 | train/val/test=0.758/0.717/0.709 | c=0.998347
[Epoch 0027] loss=11.5143 cls=0.8639 smmd=0.3284 ct=7.2007 rec=1.2787 | train/val/test=0.763/0.720/0.707 | c=0.998347
[Epoch 0028] loss=11.3878 cls=0.8387 smmd=0.2969 ct=7.1862 rec=1.2724 | train/val/test=0.767/0.731/0.713 | c=0.998347
[Epoch 0029] loss=11.3226 cls=0.8178 smmd=0.2881 ct=7.1958 rec=1.2661 | train/val/test=0.770/0.732/0.718 | c=0.998347
[Epoch 0030] loss=11.2383 cls=0.7980 smmd=0.2673 ct=7.2080 rec=1.2603 | train/val/test=0.773/0.732/0.725 | c=0.998347
[Epoch 0031] loss=11.1575 cls=0.7798 smmd=0.2521 ct=7.1956 rec=1.2552 | train/val/test=0.780/0.735/0.736 | c=0.998347
[Epoch 0032] loss=11.0877 cls=0.7611 smmd=0.2417 ct=7.1806 rec=1.2506 | train/val/test=0.781/0.738/0.734 | c=0.998347
[Epoch 0033] loss=11.0154 cls=0.7443 smmd=0.2196 ct=7.1978 rec=1.2466 | train/val/test=0.782/0.743/0.734 | c=0.998347
[Epoch 0034] loss=10.9562 cls=0.7290 smmd=0.2075 ct=7.1924 rec=1.2432 | train/val/test=0.787/0.741/0.736 | c=0.998347
[Epoch 0035] loss=10.9234 cls=0.7161 smmd=0.2076 ct=7.1827 rec=1.2402 | train/val/test=0.788/0.744/0.737 | c=0.998347
