[2025-09-20 04:51:53] START attempt 1: python main.py --is_transfer True --test_dataset CiteSeer --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=26, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=19.7198 cls=1.7918 smmd=4.0431 ct=9.4856 rec=1.3917 | train/val/test=0.423/0.228/0.274 | c=0.998347
[Epoch 0001] loss=19.5127 cls=1.7672 smmd=3.6722 ct=9.4812 rec=1.3917 | train/val/test=0.462/0.280/0.304 | c=0.998347
[Epoch 0002] loss=18.8718 cls=1.7344 smmd=2.6620 ct=9.3684 rec=1.3917 | train/val/test=0.692/0.330/0.375 | c=0.998347
[Epoch 0003] loss=18.7048 cls=1.6813 smmd=2.5502 ct=9.2948 rec=1.3916 | train/val/test=0.654/0.324/0.358 | c=0.998347
[Epoch 0004] loss=18.3309 cls=1.6026 smmd=2.1719 ct=9.1662 rec=1.3914 | train/val/test=0.846/0.384/0.442 | c=0.998347
[Epoch 0005] loss=17.8653 cls=1.5119 smmd=1.6212 ct=9.0442 rec=1.3904 | train/val/test=0.885/0.456/0.489 | c=0.998347
[Epoch 0006] loss=17.8323 cls=1.4271 smmd=1.6690 ct=9.0524 rec=1.3893 | train/val/test=0.923/0.504/0.550 | c=0.998347
[Epoch 0007] loss=17.6310 cls=1.3298 smmd=1.4827 ct=9.0209 rec=1.3876 | train/val/test=0.962/0.546/0.565 | c=0.998347
[Epoch 0008] loss=17.4532 cls=1.2426 smmd=1.2547 ct=9.0266 rec=1.3859 | train/val/test=0.962/0.554/0.575 | c=0.998347
[Epoch 0009] loss=17.3508 cls=1.1625 smmd=1.1885 ct=9.0218 rec=1.3842 | train/val/test=1.000/0.546/0.557 | c=0.998347
[Epoch 0010] loss=17.9116 cls=1.0920 smmd=1.2057 ct=9.6302 rec=1.3828 | train/val/test=0.962/0.560/0.568 | c=0.998347
[Epoch 0011] loss=17.7481 cls=1.0338 smmd=1.1539 ct=9.5374 rec=1.3820 | train/val/test=1.000/0.614/0.607 | c=0.998347
[Epoch 0012] loss=17.6615 cls=0.9743 smmd=1.2038 ct=9.4708 rec=1.3814 | train/val/test=1.000/0.612/0.607 | c=0.998347
[Epoch 0013] loss=17.6071 cls=0.9218 smmd=1.1377 ct=9.4871 rec=1.3812 | train/val/test=1.000/0.582/0.579 | c=0.998347
[Epoch 0014] loss=17.4940 cls=0.8722 smmd=0.8778 ct=9.5403 rec=1.3809 | train/val/test=1.000/0.552/0.556 | c=0.998347
[Epoch 0015] loss=17.4327 cls=0.8232 smmd=0.7565 ct=9.5770 rec=1.3802 | train/val/test=1.000/0.570/0.588 | c=0.998347
[Epoch 0016] loss=17.3706 cls=0.7777 smmd=0.7410 ct=9.5576 rec=1.3796 | train/val/test=1.000/0.586/0.577 | c=0.998347
[Epoch 0017] loss=17.3193 cls=0.7316 smmd=0.8092 ct=9.5104 rec=1.3784 | train/val/test=1.000/0.578/0.587 | c=0.998347
[Epoch 0018] loss=17.2440 cls=0.6792 smmd=0.7904 ct=9.4927 rec=1.3761 | train/val/test=1.000/0.590/0.586 | c=0.998347
[Epoch 0019] loss=17.1673 cls=0.6304 smmd=0.6758 ct=9.5198 rec=1.3737 | train/val/test=1.000/0.606/0.587 | c=0.998347
[Epoch 0020] loss=17.1017 cls=0.5840 smmd=0.6059 ct=9.5379 rec=1.3704 | train/val/test=1.000/0.576/0.593 | c=0.998347
[Epoch 0021] loss=17.0355 cls=0.5390 smmd=0.5601 ct=9.5429 rec=1.3670 | train/val/test=1.000/0.608/0.583 | c=0.998347
[Epoch 0022] loss=16.9697 cls=0.4979 smmd=0.5425 ct=9.5384 rec=1.3623 | train/val/test=1.000/0.632/0.602 | c=0.998347
[Epoch 0023] loss=16.8927 cls=0.4583 smmd=0.5115 ct=9.5294 rec=1.3573 | train/val/test=1.000/0.608/0.597 | c=0.998347
[Epoch 0024] loss=16.8434 cls=0.4234 smmd=0.5198 ct=9.5256 rec=1.3523 | train/val/test=1.000/0.624/0.587 | c=0.998347
[Epoch 0025] loss=16.7847 cls=0.3932 smmd=0.4806 ct=9.5359 rec=1.3466 | train/val/test=1.000/0.632/0.612 | c=0.998347
[Epoch 0026] loss=16.7267 cls=0.3651 smmd=0.4472 ct=9.5403 rec=1.3415 | train/val/test=1.000/0.622/0.585 | c=0.998347
[Epoch 0027] loss=16.6699 cls=0.3406 smmd=0.4294 ct=9.5368 rec=1.3360 | train/val/test=1.000/0.624/0.583 | c=0.998347
[Epoch 0028] loss=16.6196 cls=0.3187 smmd=0.3970 ct=9.5433 rec=1.3309 | train/val/test=1.000/0.634/0.603 | c=0.998347
[Epoch 0029] loss=16.5816 cls=0.2992 smmd=0.3880 ct=9.5457 rec=1.3265 | train/val/test=1.000/0.622/0.588 | c=0.998347
[Epoch 0030] loss=16.5427 cls=0.2820 smmd=0.3906 ct=9.5404 rec=1.3219 | train/val/test=1.000/0.634/0.606 | c=0.998347
[Epoch 0031] loss=16.5036 cls=0.2644 smmd=0.3809 ct=9.5381 rec=1.3180 | train/val/test=1.000/0.648/0.606 | c=0.998347
[Epoch 0032] loss=16.4707 cls=0.2493 smmd=0.3584 ct=9.5469 rec=1.3140 | train/val/test=1.000/0.652/0.612 | c=0.998347
[Epoch 0033] loss=16.4362 cls=0.2351 smmd=0.3331 ct=9.5545 rec=1.3101 | train/val/test=1.000/0.654/0.613 | c=0.998347
[Epoch 0034] loss=16.4067 cls=0.2226 smmd=0.3311 ct=9.5502 rec=1.3070 | train/val/test=1.000/0.648/0.624 | c=0.998347
[Epoch 0035] loss=16.3759 cls=0.2113 smmd=0.3229 ct=9.5505 rec=1.3032 | train/val/test=1.000/0.656/0.613 | c=0.998347
[Epoch 0036] loss=16.3564 cls=0.2000 smmd=0.3394 ct=9.5456 rec=1.3002 | train/val/test=1.000/0.656/0.626 | c=0.998347
[Epoch 0037] loss=16.3202 cls=0.1892 smmd=0.3046 ct=9.5548 rec=1.2961 | train/val/test=1.000/0.660/0.625 | c=0.998347
[Epoch 0038] loss=16.2991 cls=0.1801 smmd=0.3044 ct=9.5566 rec=1.2929 | train/val/test=1.000/0.658/0.631 | c=0.998347
[Epoch 0039] loss=16.2702 cls=0.1708 smmd=0.3029 ct=9.5593 rec=1.2880 | train/val/test=1.000/0.656/0.630 | c=0.998347
[Epoch 0040] loss=16.2490 cls=0.1643 smmd=0.3216 ct=9.5467 rec=1.2853 | train/val/test=1.000/0.660/0.637 | c=0.998347
[Epoch 0041] loss=16.2287 cls=0.1548 smmd=0.3089 ct=9.5685 rec=1.2795 | train/val/test=1.000/0.642/0.630 | c=0.998347
[Epoch 0042] loss=16.2114 cls=0.1537 smmd=0.3195 ct=9.5537 rec=1.2781 | train/val/test=1.000/0.652/0.648 | c=0.998347
[Epoch 0043] loss=16.2184 cls=0.1422 smmd=0.3373 ct=9.5927 rec=1.2715 | train/val/test=1.000/0.638/0.620 | c=0.998347
[Epoch 0044] loss=16.1943 cls=0.1441 smmd=0.3766 ct=9.5563 rec=1.2698 | train/val/test=1.000/0.648/0.649 | c=0.998347
[Epoch 0045] loss=16.1598 cls=0.1279 smmd=0.3528 ct=9.5908 rec=1.2606 | train/val/test=1.000/0.650/0.638 | c=0.998347
[Epoch 0046] loss=16.0829 cls=0.1224 smmd=0.3286 ct=9.5578 rec=1.2550 | train/val/test=1.000/0.652/0.641 | c=0.998347
[Epoch 0047] loss=16.0614 cls=0.1179 smmd=0.3363 ct=9.5614 rec=1.2499 | train/val/test=1.000/0.648/0.646 | c=0.998347
[Epoch 0048] loss=16.0633 cls=0.1134 smmd=0.3241 ct=9.5845 rec=1.2475 | train/val/test=1.000/0.640/0.642 | c=0.998347
[Epoch 0049] loss=16.0465 cls=0.1179 smmd=0.3450 ct=9.5582 rec=1.2467 | train/val/test=1.000/0.644/0.652 | c=0.998347
[Epoch 0050] loss=16.0250 cls=0.1093 smmd=0.3125 ct=9.5793 rec=1.2426 | train/val/test=1.000/0.646/0.652 | c=0.998347
[Epoch 0051] loss=15.9897 cls=0.1071 smmd=0.3065 ct=9.5623 rec=1.2398 | train/val/test=1.000/0.636/0.649 | c=0.998347
[Epoch 0052] loss=15.9778 cls=0.1063 smmd=0.3094 ct=9.5604 rec=1.2377 | train/val/test=1.000/0.646/0.656 | c=0.998347
[Epoch 0053] loss=15.9791 cls=0.1004 smmd=0.2916 ct=9.5794 rec=1.2367 | train/val/test=1.000/0.634/0.652 | c=0.998347
[Epoch 0054] loss=15.9753 cls=0.1043 smmd=0.3286 ct=9.5624 rec=1.2351 | train/val/test=1.000/0.634/0.655 | c=0.998347
[Epoch 0055] loss=15.9621 cls=0.0929 smmd=0.3065 ct=9.5825 rec=1.2323 | train/val/test=1.000/0.634/0.655 | c=0.998347
[Epoch 0056] loss=15.9333 cls=0.0929 smmd=0.3315 ct=9.5587 rec=1.2288 | train/val/test=1.000/0.638/0.652 | c=0.998347
[Epoch 0057] loss=15.9052 cls=0.0868 smmd=0.2927 ct=9.5714 rec=1.2253 | train/val/test=1.000/0.634/0.652 | c=0.998347
[Epoch 0058] loss=15.8990 cls=0.0848 smmd=0.2938 ct=9.5716 rec=1.2242 | train/val/test=1.000/0.640/0.650 | c=0.998347
[Epoch 0059] loss=15.9042 cls=0.0906 smmd=0.3178 ct=9.5658 rec=1.2232 | train/val/test=1.000/0.640/0.658 | c=0.998347
[Epoch 0060] loss=15.9039 cls=0.0836 smmd=0.3002 ct=9.5779 rec=1.2235 | train/val/test=1.000/0.642/0.653 | c=0.998347
[Epoch 0061] loss=15.9027 cls=0.0913 smmd=0.3278 ct=9.5666 rec=1.2216 | train/val/test=1.000/0.640/0.652 | c=0.998347
[Epoch 0062] loss=15.8809 cls=0.0782 smmd=0.3021 ct=9.5765 rec=1.2197 | train/val/test=1.000/0.642/0.651 | c=0.998347
[Epoch 0063] loss=15.8559 cls=0.0791 smmd=0.3013 ct=9.5692 rec=1.2161 | train/val/test=1.000/0.636/0.646 | c=0.998347
[Epoch 0064] loss=15.8390 cls=0.0730 smmd=0.2990 ct=9.5668 rec=1.2143 | train/val/test=1.000/0.650/0.649 | c=0.998347
[Epoch 0065] loss=15.8345 cls=0.0727 smmd=0.2837 ct=9.5757 rec=1.2132 | train/val/test=1.000/0.644/0.649 | c=0.998347
[Epoch 0066] loss=15.8475 cls=0.0787 smmd=0.3192 ct=9.5622 rec=1.2141 | train/val/test=1.000/0.642/0.650 | c=0.998347
[Epoch 0067] loss=15.8797 cls=0.0747 smmd=0.3201 ct=9.5936 rec=1.2147 | train/val/test=1.000/0.642/0.650 | c=0.998347
[Epoch 0068] loss=15.8869 cls=0.0839 smmd=0.3522 ct=9.5724 rec=1.2159 | train/val/test=1.000/0.640/0.650 | c=0.998347
[Epoch 0069] loss=15.9224 cls=0.0748 smmd=0.3753 ct=9.6113 rec=1.2142 | train/val/test=1.000/0.640/0.645 | c=0.998347
[Epoch 0070] loss=15.8775 cls=0.0722 smmd=0.3822 ct=9.5811 rec=1.2110 | train/val/test=1.000/0.634/0.647 | c=0.998347
[Epoch 0071] loss=15.8304 cls=0.0694 smmd=0.3636 ct=9.5831 rec=1.2034 | train/val/test=1.000/0.644/0.651 | c=0.998347
[Epoch 0072] loss=15.8184 cls=0.0574 smmd=0.3536 ct=9.5891 rec=1.2025 | train/val/test=1.000/0.640/0.650 | c=0.998347
[Epoch 0073] loss=15.8073 cls=0.0654 smmd=0.3571 ct=9.5696 rec=1.2027 | train/val/test=1.000/0.636/0.651 | c=0.998347
[Epoch 0074] loss=15.8060 cls=0.0617 smmd=0.3224 ct=9.5862 rec=1.2031 | train/val/test=1.000/0.644/0.643 | c=0.998347
[Epoch 0075] loss=15.8255 cls=0.0674 smmd=0.3378 ct=9.5792 rec=1.2060 | train/val/test=1.000/0.632/0.652 | c=0.998347
[Epoch 0076] loss=15.8574 cls=0.0811 smmd=0.3664 ct=9.5818 rec=1.2071 | train/val/test=1.000/0.654/0.652 | c=0.998347
[Epoch 0077] loss=15.8706 cls=0.0699 smmd=0.3464 ct=9.5970 rec=1.2103 | train/val/test=1.000/0.634/0.655 | c=0.998347
[Epoch 0078] loss=15.8494 cls=0.0764 smmd=0.3779 ct=9.5812 rec=1.2051 | train/val/test=1.000/0.644/0.646 | c=0.998347
[Epoch 0079] loss=15.7610 cls=0.0528 smmd=0.3080 ct=9.5745 rec=1.1991 | train/val/test=1.000/0.644/0.649 | c=0.998347
[Epoch 0080] loss=15.7491 cls=0.0520 smmd=0.3000 ct=9.5762 rec=1.1973 | train/val/test=1.000/0.632/0.648 | c=0.998347
