[2025-09-20 04:52:54] START attempt 1: python main.py --is_transfer True --test_dataset CiteSeer --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=50, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=37.9240 cls=1.7931 smmd=4.1813 ct=9.4647 rec=1.3917 | train/val/test=0.180/0.172/0.182 | c=0.998347
[Epoch 0001] loss=37.6176 cls=1.7848 smmd=3.8433 ct=9.4824 rec=1.3917 | train/val/test=0.300/0.074/0.096 | c=0.998347
[Epoch 0002] loss=36.5166 cls=1.7720 smmd=2.9711 ct=9.3713 rec=1.3917 | train/val/test=0.500/0.168/0.216 | c=0.998347
[Epoch 0003] loss=36.0935 cls=1.7540 smmd=2.5331 ct=9.3835 rec=1.3916 | train/val/test=0.740/0.486/0.480 | c=0.998347
[Epoch 0004] loss=36.7375 cls=1.7170 smmd=2.2288 ct=9.8676 rec=1.3915 | train/val/test=0.300/0.286/0.281 | c=0.998347
[Epoch 0005] loss=36.3067 cls=1.6836 smmd=2.4201 ct=9.5635 rec=1.3918 | train/val/test=0.400/0.334/0.331 | c=0.998347
[Epoch 0006] loss=36.1457 cls=1.6381 smmd=2.5164 ct=9.4485 rec=1.3913 | train/val/test=0.560/0.440/0.443 | c=0.998347
[Epoch 0007] loss=35.9124 cls=1.5706 smmd=2.4957 ct=9.3666 rec=1.3898 | train/val/test=0.700/0.566/0.561 | c=0.998347
[Epoch 0008] loss=35.8115 cls=1.5164 smmd=2.2617 ct=9.4545 rec=1.3883 | train/val/test=0.700/0.612/0.610 | c=0.998347
[Epoch 0009] loss=35.4908 cls=1.4652 smmd=1.8397 ct=9.5249 rec=1.3869 | train/val/test=0.660/0.560/0.571 | c=0.998347
[Epoch 0010] loss=35.1998 cls=1.4136 smmd=1.5389 ct=9.5483 rec=1.3857 | train/val/test=0.760/0.530/0.547 | c=0.998347
[Epoch 0011] loss=35.1128 cls=1.3703 smmd=1.4055 ct=9.5860 rec=1.3850 | train/val/test=0.780/0.548/0.562 | c=0.998347
[Epoch 0012] loss=35.0765 cls=1.3269 smmd=1.3899 ct=9.5905 rec=1.3842 | train/val/test=0.780/0.610/0.608 | c=0.998347
[Epoch 0013] loss=34.9381 cls=1.2799 smmd=1.3764 ct=9.5446 rec=1.3832 | train/val/test=0.780/0.640/0.639 | c=0.998347
[Epoch 0014] loss=34.7875 cls=1.2368 smmd=1.3557 ct=9.4939 rec=1.3826 | train/val/test=0.800/0.614/0.623 | c=0.998347
