[2025-09-20 04:53:57] START attempt 1: python main.py --is_transfer True --test_dataset Cora --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0000] loss=20.8892 cls=1.9462 smmd=4.2723 ct=6.9080 rec=1.3889 | train/val/test=0.303/0.304/0.297 | c=0.998347
[Epoch 0001] loss=20.2145 cls=1.8552 smmd=3.9745 ct=6.9027 rec=1.3918 | train/val/test=0.303/0.304/0.297 | c=0.998347
[Epoch 0002] loss=19.5524 cls=1.8219 smmd=3.6546 ct=6.8949 rec=1.3948 | train/val/test=0.303/0.304/0.297 | c=0.998347
[Epoch 0003] loss=18.9208 cls=1.8076 smmd=3.3522 ct=6.8825 rec=1.3935 | train/val/test=0.303/0.304/0.297 | c=0.998347
[Epoch 0004] loss=18.4917 cls=1.7847 smmd=3.0132 ct=7.4485 rec=1.3913 | train/val/test=0.331/0.351/0.330 | c=0.998347
[Epoch 0005] loss=17.8065 cls=1.7634 smmd=2.6938 ct=7.4116 rec=1.3899 | train/val/test=0.416/0.417/0.423 | c=0.998347
[Epoch 0006] loss=17.0089 cls=1.7345 smmd=2.3260 ct=7.3539 rec=1.3891 | train/val/test=0.427/0.430/0.437 | c=0.998347
[Epoch 0007] loss=16.2385 cls=1.6924 smmd=1.9806 ct=7.2860 rec=1.3884 | train/val/test=0.471/0.458/0.470 | c=0.998347
[Epoch 0008] loss=15.5840 cls=1.6388 smmd=1.6987 ct=7.2219 rec=1.3874 | train/val/test=0.491/0.487/0.496 | c=0.998347
[Epoch 0009] loss=15.0075 cls=1.5744 smmd=1.4618 ct=7.1688 rec=1.3850 | train/val/test=0.501/0.498/0.515 | c=0.998347
[Epoch 0010] loss=14.5046 cls=1.5007 smmd=1.2699 ct=7.1304 rec=1.3798 | train/val/test=0.506/0.496/0.515 | c=0.998347
[Epoch 0011] loss=14.0884 cls=1.4275 smmd=1.1258 ct=7.1129 rec=1.3706 | train/val/test=0.508/0.498/0.526 | c=0.998347
[Epoch 0012] loss=13.9281 cls=1.3596 smmd=1.1080 ct=7.1142 rec=1.3591 | train/val/test=0.520/0.517/0.539 | c=0.998347
[Epoch 0013] loss=13.7079 cls=1.2863 smmd=1.0593 ct=7.1235 rec=1.3482 | train/val/test=0.537/0.539/0.557 | c=0.998347
[Epoch 0014] loss=13.6290 cls=1.2127 smmd=1.0763 ct=7.1350 rec=1.3392 | train/val/test=0.558/0.552/0.576 | c=0.998347
[Epoch 0015] loss=13.5678 cls=1.1483 smmd=1.0964 ct=7.1446 rec=1.3309 | train/val/test=0.586/0.590/0.603 | c=0.998347
[Epoch 0016] loss=13.5267 cls=1.0888 smmd=1.1267 ct=7.1498 rec=1.3219 | train/val/test=0.625/0.627/0.635 | c=0.998347
[Epoch 0017] loss=13.4225 cls=1.0302 smmd=1.1258 ct=7.1523 rec=1.3129 | train/val/test=0.672/0.662/0.681 | c=0.998347
[Epoch 0018] loss=13.2681 cls=0.9678 smmd=1.1010 ct=7.1523 rec=1.3044 | train/val/test=0.716/0.703/0.699 | c=0.998347
[Epoch 0019] loss=13.0803 cls=0.9046 smmd=1.0593 ct=7.1500 rec=1.2964 | train/val/test=0.741/0.734/0.729 | c=0.998347
[Epoch 0020] loss=12.9043 cls=0.8489 smmd=1.0193 ct=7.1465 rec=1.2887 | train/val/test=0.765/0.762/0.742 | c=0.998347
[Epoch 0021] loss=12.7680 cls=0.8027 smmd=0.9943 ct=7.1424 rec=1.2811 | train/val/test=0.784/0.780/0.762 | c=0.998347
[Epoch 0022] loss=12.5363 cls=0.7639 smmd=0.9172 ct=7.1389 rec=1.2737 | train/val/test=0.794/0.788/0.769 | c=0.998347
[Epoch 0023] loss=12.3065 cls=0.7303 smmd=0.8364 ct=7.1370 rec=1.2670 | train/val/test=0.801/0.799/0.779 | c=0.998347
[Epoch 0024] loss=12.1274 cls=0.6991 smmd=0.7773 ct=7.1363 rec=1.2611 | train/val/test=0.809/0.808/0.786 | c=0.998347
[Epoch 0025] loss=12.0053 cls=0.6697 smmd=0.7441 ct=7.1364 rec=1.2558 | train/val/test=0.814/0.815/0.788 | c=0.998347
[Epoch 0026] loss=11.8886 cls=0.6433 smmd=0.7113 ct=7.1373 rec=1.2508 | train/val/test=0.818/0.814/0.792 | c=0.998347
[Epoch 0027] loss=11.7478 cls=0.6209 smmd=0.6642 ct=7.1385 rec=1.2459 | train/val/test=0.819/0.817/0.793 | c=0.998347
[Epoch 0028] loss=11.7459 cls=0.6030 smmd=0.6843 ct=7.1396 rec=1.2409 | train/val/test=0.821/0.821/0.793 | c=0.998347
[Epoch 0029] loss=11.6954 cls=0.5879 smmd=0.6775 ct=7.1401 rec=1.2365 | train/val/test=0.823/0.821/0.792 | c=0.998347
[Epoch 0030] loss=11.5916 cls=0.5738 smmd=0.6420 ct=7.1392 rec=1.2329 | train/val/test=0.833/0.825/0.801 | c=0.998347
[Epoch 0031] loss=11.4959 cls=0.5594 smmd=0.6088 ct=7.1370 rec=1.2301 | train/val/test=0.835/0.830/0.806 | c=0.998347
[Epoch 0032] loss=11.4559 cls=0.5455 smmd=0.6021 ct=7.1338 rec=1.2279 | train/val/test=0.843/0.838/0.806 | c=0.998347
[Epoch 0033] loss=11.3244 cls=0.5329 smmd=0.5480 ct=7.1306 rec=1.2260 | train/val/test=0.846/0.841/0.803 | c=0.998347
[Epoch 0034] loss=11.2539 cls=0.5219 smmd=0.5228 ct=7.1279 rec=1.2245 | train/val/test=0.851/0.841/0.814 | c=0.998347
[Epoch 0035] loss=11.1636 cls=0.5118 smmd=0.4862 ct=7.1259 rec=1.2233 | train/val/test=0.850/0.841/0.823 | c=0.998347
[Epoch 0036] loss=11.0851 cls=0.5024 smmd=0.4544 ct=7.1243 rec=1.2224 | train/val/test=0.853/0.841/0.828 | c=0.998347
[Epoch 0037] loss=11.0077 cls=0.4933 smmd=0.4220 ct=7.1231 rec=1.2218 | train/val/test=0.857/0.843/0.827 | c=0.998347
[Epoch 0038] loss=10.9568 cls=0.4852 smmd=0.4020 ct=7.1222 rec=1.2213 | train/val/test=0.858/0.847/0.830 | c=0.998347
[Epoch 0039] loss=10.9043 cls=0.4788 smmd=0.3805 ct=7.1218 rec=1.2207 | train/val/test=0.860/0.852/0.828 | c=0.998347
[Epoch 0040] loss=10.8690 cls=0.4732 smmd=0.3672 ct=7.1219 rec=1.2201 | train/val/test=0.863/0.851/0.832 | c=0.998347
[Epoch 0041] loss=10.7762 cls=0.4672 smmd=0.3255 ct=7.1224 rec=1.2194 | train/val/test=0.869/0.852/0.832 | c=0.998347
[Epoch 0042] loss=10.7123 cls=0.4607 smmd=0.2986 ct=7.1232 rec=1.2186 | train/val/test=0.870/0.854/0.838 | c=0.998347
[Epoch 0043] loss=10.6961 cls=0.4540 smmd=0.2962 ct=7.1241 rec=1.2175 | train/val/test=0.873/0.854/0.841 | c=0.998347
[Epoch 0044] loss=10.5823 cls=0.4474 smmd=0.2455 ct=7.1254 rec=1.2163 | train/val/test=0.876/0.856/0.843 | c=0.998347
[Epoch 0045] loss=10.5743 cls=0.4414 smmd=0.2480 ct=7.1264 rec=1.2147 | train/val/test=0.874/0.854/0.843 | c=0.998347
[Epoch 0046] loss=10.5045 cls=0.4356 smmd=0.2198 ct=7.1268 rec=1.2132 | train/val/test=0.875/0.852/0.847 | c=0.998347
[Epoch 0047] loss=10.4886 cls=0.4298 smmd=0.2185 ct=7.1264 rec=1.2117 | train/val/test=0.875/0.854/0.847 | c=0.998347
[Epoch 0048] loss=10.3802 cls=0.4243 smmd=0.1701 ct=7.1263 rec=1.2105 | train/val/test=0.878/0.854/0.849 | c=0.998347
[Epoch 0049] loss=10.3375 cls=0.4198 smmd=0.1537 ct=7.1269 rec=1.2094 | train/val/test=0.878/0.854/0.852 | c=0.998347
[Epoch 0050] loss=10.3255 cls=0.4150 smmd=0.1517 ct=7.1289 rec=1.2085 | train/val/test=0.880/0.860/0.852 | c=0.998347
[Epoch 0051] loss=10.3002 cls=0.4108 smmd=0.1420 ct=7.1312 rec=1.2080 | train/val/test=0.880/0.860/0.852 | c=0.998347
[Epoch 0052] loss=10.2581 cls=0.4071 smmd=0.1231 ct=7.1331 rec=1.2076 | train/val/test=0.881/0.862/0.854 | c=0.998347
[Epoch 0053] loss=10.2189 cls=0.4040 smmd=0.1052 ct=7.1341 rec=1.2075 | train/val/test=0.883/0.862/0.854 | c=0.998347
[Epoch 0054] loss=10.1836 cls=0.4013 smmd=0.0890 ct=7.1339 rec=1.2075 | train/val/test=0.884/0.867/0.856 | c=0.998347
[Epoch 0055] loss=10.1925 cls=0.3989 smmd=0.0949 ct=7.1327 rec=1.2075 | train/val/test=0.884/0.867/0.858 | c=0.998347
[Epoch 0056] loss=10.1521 cls=0.3969 smmd=0.0758 ct=7.1319 rec=1.2075 | train/val/test=0.883/0.873/0.862 | c=0.998347
[Epoch 0057] loss=10.1222 cls=0.3950 smmd=0.0616 ct=7.1322 rec=1.2076 | train/val/test=0.885/0.873/0.862 | c=0.998347
[Epoch 0058] loss=10.1034 cls=0.3938 smmd=0.0530 ct=7.1327 rec=1.2075 | train/val/test=0.886/0.871/0.863 | c=0.998347
[Epoch 0059] loss=10.0936 cls=0.3922 smmd=0.0493 ct=7.1325 rec=1.2073 | train/val/test=0.889/0.871/0.863 | c=0.998347
[Epoch 0060] loss=10.0704 cls=0.3897 smmd=0.0389 ct=7.1330 rec=1.2073 | train/val/test=0.890/0.871/0.865 | c=0.998347
[Epoch 0061] loss=10.0569 cls=0.3878 smmd=0.0334 ct=7.1342 rec=1.2070 | train/val/test=0.892/0.873/0.865 | c=0.998347
[Epoch 0062] loss=10.0428 cls=0.3860 smmd=0.0279 ct=7.1348 rec=1.2067 | train/val/test=0.893/0.869/0.867 | c=0.998347
[Epoch 0063] loss=10.0138 cls=0.3839 smmd=0.0151 ct=7.1354 rec=1.2064 | train/val/test=0.895/0.871/0.867 | c=0.998347
[Epoch 0064] loss=10.0008 cls=0.3822 smmd=0.0108 ct=7.1351 rec=1.2059 | train/val/test=0.896/0.875/0.869 | c=0.998347
[Epoch 0065] loss=10.0025 cls=0.3799 smmd=0.0143 ct=7.1344 rec=1.2054 | train/val/test=0.898/0.876/0.865 | c=0.998347
[Epoch 0066] loss=9.9876 cls=0.3771 smmd=0.0093 ct=7.1343 rec=1.2050 | train/val/test=0.897/0.878/0.867 | c=0.998347
[Epoch 0067] loss=9.9858 cls=0.3755 smmd=0.0107 ct=7.1338 rec=1.2044 | train/val/test=0.895/0.878/0.869 | c=0.998347
[Epoch 0068] loss=9.9687 cls=0.3744 smmd=0.0041 ct=7.1332 rec=1.2039 | train/val/test=0.895/0.880/0.873 | c=0.998347
[Epoch 0069] loss=9.9604 cls=0.3734 smmd=0.0019 ct=7.1323 rec=1.2034 | train/val/test=0.897/0.876/0.873 | c=0.998347
[Epoch 0070] loss=9.9447 cls=0.3723 smmd=-0.0044 ct=7.1315 rec=1.2031 | train/val/test=0.898/0.876/0.876 | c=0.998347
[Epoch 0071] loss=9.9373 cls=0.3711 smmd=-0.0062 ct=7.1298 rec=1.2027 | train/val/test=0.898/0.876/0.875 | c=0.998347
[Epoch 0072] loss=9.9432 cls=0.3705 smmd=-0.0017 ct=7.1289 rec=1.2023 | train/val/test=0.899/0.876/0.875 | c=0.998347
[Epoch 0073] loss=9.9457 cls=0.3695 smmd=0.0004 ct=7.1297 rec=1.2021 | train/val/test=0.898/0.875/0.875 | c=0.998347
[Epoch 0074] loss=9.9288 cls=0.3681 smmd=-0.0073 ct=7.1304 rec=1.2020 | train/val/test=0.899/0.873/0.873 | c=0.998347
[Epoch 0075] loss=9.9205 cls=0.3677 smmd=-0.0105 ct=7.1303 rec=1.2017 | train/val/test=0.900/0.875/0.873 | c=0.998347
[Epoch 0076] loss=9.9102 cls=0.3669 smmd=-0.0143 ct=7.1293 rec=1.2015 | train/val/test=0.901/0.875/0.873 | c=0.998347
[Epoch 0077] loss=9.9209 cls=0.3660 smmd=-0.0073 ct=7.1279 rec=1.2011 | train/val/test=0.901/0.875/0.875 | c=0.998347
[Epoch 0078] loss=9.9110 cls=0.3651 smmd=-0.0111 ct=7.1277 rec=1.2008 | train/val/test=0.902/0.875/0.875 | c=0.998347
[Epoch 0079] loss=9.9014 cls=0.3641 smmd=-0.0146 ct=7.1272 rec=1.2005 | train/val/test=0.903/0.873/0.875 | c=0.998347
[Epoch 0080] loss=9.8879 cls=0.3632 smmd=-0.0199 ct=7.1263 rec=1.2003 | train/val/test=0.902/0.873/0.876 | c=0.998347
[Epoch 0081] loss=9.8940 cls=0.3620 smmd=-0.0154 ct=7.1255 rec=1.2000 | train/val/test=0.902/0.875/0.876 | c=0.998347
[Epoch 0082] loss=9.8861 cls=0.3606 smmd=-0.0185 ct=7.1256 rec=1.1999 | train/val/test=0.901/0.875/0.875 | c=0.998347
[Epoch 0083] loss=9.8792 cls=0.3602 smmd=-0.0213 ct=7.1264 rec=1.1997 | train/val/test=0.902/0.875/0.875 | c=0.998347
[Epoch 0084] loss=9.8861 cls=0.3601 smmd=-0.0167 ct=7.1256 rec=1.1993 | train/val/test=0.903/0.875/0.876 | c=0.998347
[Epoch 0085] loss=9.8757 cls=0.3592 smmd=-0.0208 ct=7.1245 rec=1.1992 | train/val/test=0.904/0.873/0.876 | c=0.998347
