[2025-09-20 04:55:02] START attempt 1: python main.py --is_transfer True --test_dataset Cora --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=29, val=500, test=1000 (mode=few, shot=5)
[Epoch 0000] loss=18.2035 cls=1.9461 smmd=4.1925 ct=9.2871 rec=1.3889 | train/val/test=0.172/0.306/0.321 | c=0.998347
[Epoch 0001] loss=16.6700 cls=1.9214 smmd=2.7237 ct=9.2446 rec=1.3902 | train/val/test=0.276/0.136/0.155 | c=0.998347
[Epoch 0002] loss=15.3036 cls=1.7895 smmd=1.5491 ct=9.1874 rec=1.3888 | train/val/test=0.793/0.242/0.269 | c=0.998347
[Epoch 0003] loss=14.8809 cls=1.5325 smmd=1.4812 ct=9.0911 rec=1.3881 | train/val/test=0.828/0.512/0.514 | c=0.998347
[Epoch 0004] loss=14.5990 cls=1.1900 smmd=1.6698 ct=8.9744 rec=1.3824 | train/val/test=0.862/0.420/0.439 | c=0.998347
[Epoch 0005] loss=14.1004 cls=0.8484 smmd=1.6369 ct=8.8798 rec=1.3677 | train/val/test=0.931/0.562/0.568 | c=0.998347
[Epoch 0006] loss=13.4273 cls=0.5715 smmd=1.3475 ct=8.8282 rec=1.3401 | train/val/test=0.966/0.594/0.588 | c=0.998347
[Epoch 0007] loss=12.8958 cls=0.3848 smmd=1.0743 ct=8.8166 rec=1.3100 | train/val/test=0.966/0.566/0.575 | c=0.998347
[Epoch 0008] loss=12.6238 cls=0.2390 smmd=1.0031 ct=8.8131 rec=1.2843 | train/val/test=1.000/0.566/0.582 | c=0.998347
[Epoch 0009] loss=12.5526 cls=0.1293 smmd=1.0868 ct=8.8114 rec=1.2625 | train/val/test=1.000/0.602/0.600 | c=0.998347
[Epoch 0010] loss=12.4592 cls=0.0610 smmd=1.1074 ct=8.8073 rec=1.2417 | train/val/test=1.000/0.614/0.611 | c=0.998347
[Epoch 0011] loss=12.2675 cls=0.0312 smmd=0.9828 ct=8.8022 rec=1.2257 | train/val/test=1.000/0.610/0.613 | c=0.998347
[Epoch 0012] loss=12.0572 cls=0.0196 smmd=0.8170 ct=8.7930 rec=1.2138 | train/val/test=1.000/0.614/0.616 | c=0.998347
[Epoch 0013] loss=11.9627 cls=0.0159 smmd=0.7495 ct=8.7866 rec=1.2053 | train/val/test=1.000/0.618/0.617 | c=0.998347
[Epoch 0014] loss=11.8838 cls=0.0135 smmd=0.6921 ct=8.7835 rec=1.1973 | train/val/test=1.000/0.628/0.630 | c=0.998347
[Epoch 0015] loss=11.8473 cls=0.0108 smmd=0.6703 ct=8.7849 rec=1.1906 | train/val/test=1.000/0.642/0.640 | c=0.998347
[Epoch 0016] loss=11.7880 cls=0.0093 smmd=0.6176 ct=8.7883 rec=1.1864 | train/val/test=1.000/0.638/0.639 | c=0.998347
[Epoch 0017] loss=11.6733 cls=0.0084 smmd=0.5066 ct=8.7908 rec=1.1837 | train/val/test=1.000/0.634/0.638 | c=0.998347
[Epoch 0018] loss=11.5910 cls=0.0070 smmd=0.4236 ct=8.7958 rec=1.1823 | train/val/test=1.000/0.636/0.644 | c=0.998347
[Epoch 0019] loss=11.5949 cls=0.0059 smmd=0.4236 ct=8.8027 rec=1.1814 | train/val/test=1.000/0.634/0.646 | c=0.998347
[Epoch 0020] loss=11.5370 cls=0.0061 smmd=0.3559 ct=8.8113 rec=1.1818 | train/val/test=1.000/0.632/0.640 | c=0.998347
[Epoch 0021] loss=11.4795 cls=0.0075 smmd=0.2856 ct=8.8202 rec=1.1831 | train/val/test=1.000/0.622/0.642 | c=0.998347
[Epoch 0022] loss=11.4340 cls=0.0099 smmd=0.2266 ct=8.8288 rec=1.1844 | train/val/test=1.000/0.622/0.644 | c=0.998347
[Epoch 0023] loss=11.4230 cls=0.0135 smmd=0.2064 ct=8.8337 rec=1.1847 | train/val/test=1.000/0.622/0.645 | c=0.998347
[Epoch 0024] loss=11.4063 cls=0.0176 smmd=0.1874 ct=8.8346 rec=1.1833 | train/val/test=1.000/0.622/0.648 | c=0.998347
[Epoch 0025] loss=12.0918 cls=0.0227 smmd=0.1768 ct=9.5299 rec=1.1812 | train/val/test=1.000/0.630/0.640 | c=0.998347
[Epoch 0026] loss=12.0521 cls=0.0342 smmd=0.2198 ct=9.4385 rec=1.1798 | train/val/test=1.000/0.632/0.644 | c=0.998347
[Epoch 0027] loss=12.0569 cls=0.0278 smmd=0.2309 ct=9.4469 rec=1.1757 | train/val/test=1.000/0.630/0.652 | c=0.998347
