[2025-09-20 04:55:33] START attempt 1: python main.py --is_transfer True --test_dataset Cora --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=58, val=500, test=1000 (mode=few, shot=10)
[Epoch 0000] loss=18.2623 cls=1.9455 smmd=4.2829 ct=9.2562 rec=1.3889 | train/val/test=0.241/0.084/0.111 | c=0.998347
[Epoch 0001] loss=16.7827 cls=1.9019 smmd=2.8986 ct=9.2038 rec=1.3892 | train/val/test=0.603/0.278/0.299 | c=0.998347
[Epoch 0002] loss=15.1616 cls=1.7790 smmd=1.5367 ct=9.0685 rec=1.3887 | train/val/test=0.638/0.418/0.421 | c=0.998347
[Epoch 0003] loss=14.8723 cls=1.5670 smmd=1.4937 ct=9.0403 rec=1.3857 | train/val/test=0.879/0.520/0.511 | c=0.998347
[Epoch 0004] loss=14.7036 cls=1.2796 smmd=1.7622 ct=8.9135 rec=1.3742 | train/val/test=0.845/0.584/0.570 | c=0.998347
[Epoch 0005] loss=14.2639 cls=0.9763 smmd=1.6952 ct=8.8831 rec=1.3547 | train/val/test=0.897/0.598/0.601 | c=0.998347
[Epoch 0006] loss=13.5945 cls=0.7080 smmd=1.4058 ct=8.8291 rec=1.3258 | train/val/test=0.914/0.616/0.626 | c=0.998347
[Epoch 0007] loss=12.9529 cls=0.4784 smmd=1.0635 ct=8.8188 rec=1.2961 | train/val/test=0.948/0.662/0.653 | c=0.998347
[Epoch 0008] loss=12.6360 cls=0.3000 smmd=1.0024 ct=8.8047 rec=1.2645 | train/val/test=0.983/0.686/0.670 | c=0.998347
[Epoch 0009] loss=12.5596 cls=0.1782 smmd=1.1111 ct=8.7935 rec=1.2384 | train/val/test=0.983/0.702/0.679 | c=0.998347
