[2025-09-20 04:56:12] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=10.4658 cls=2.0769 smmd=6.6314 ct=7.4032 rec=1.3844 | train/val/test=0.131/0.152/0.141 | c=0.998347
[Epoch 0001] loss=10.5801 cls=2.0973 smmd=6.7254 ct=7.4024 rec=1.3844 | train/val/test=0.223/0.215/0.219 | c=0.998347
[Epoch 0002] loss=10.1314 cls=1.9471 smmd=6.4273 ct=7.3998 rec=1.3857 | train/val/test=0.257/0.258/0.241 | c=0.998347
[Epoch 0003] loss=9.3000 cls=1.9065 smmd=5.6362 ct=7.3971 rec=1.3892 | train/val/test=0.257/0.258/0.242 | c=0.998347
[Epoch 0004] loss=8.5089 cls=1.8628 smmd=4.7658 ct=8.0129 rec=1.3886 | train/val/test=0.224/0.217/0.219 | c=0.998347
[Epoch 0005] loss=7.6573 cls=1.8358 smmd=3.9822 ct=7.8081 rec=1.3886 | train/val/test=0.436/0.435/0.424 | c=0.998347
[Epoch 0006] loss=7.6221 cls=1.7267 smmd=4.0721 ct=7.7306 rec=1.3858 | train/val/test=0.398/0.397/0.378 | c=0.998347
[Epoch 0007] loss=6.8321 cls=1.5886 smmd=3.4768 ct=7.4523 rec=1.3811 | train/val/test=0.557/0.549/0.539 | c=0.998347
[Epoch 0008] loss=5.7521 cls=1.4612 smmd=2.5066 ct=7.5496 rec=1.3719 | train/val/test=0.676/0.680/0.680 | c=0.998347
[Epoch 0009] loss=5.8179 cls=1.2836 smmd=2.7096 ct=7.7668 rec=1.3566 | train/val/test=0.762/0.756/0.769 | c=0.998347
[Epoch 0010] loss=5.4970 cls=1.1166 smmd=2.5426 ct=7.8541 rec=1.3352 | train/val/test=0.761/0.756/0.746 | c=0.998347
[Epoch 0011] loss=4.9290 cls=1.0003 smmd=2.1169 ct=7.7484 rec=1.3100 | train/val/test=0.699/0.693/0.699 | c=0.998347
[Epoch 0012] loss=4.8090 cls=0.9788 smmd=2.0726 ct=7.5016 rec=1.2861 | train/val/test=0.350/0.331/0.347 | c=0.998347
[Epoch 0013] loss=5.9074 cls=1.8371 smmd=2.2631 ct=7.7090 rec=1.3267 | train/val/test=0.373/0.382/0.350 | c=0.998347
[Epoch 0014] loss=6.8690 cls=2.5517 smmd=2.4702 ct=7.8519 rec=1.3836 | train/val/test=0.563/0.559/0.549 | c=0.998347
[Epoch 0015] loss=5.6027 cls=1.5598 smmd=2.2290 ct=7.7585 rec=1.3111 | train/val/test=0.489/0.494/0.500 | c=0.998347
[Epoch 0016] loss=5.3566 cls=1.3667 smmd=2.1597 ct=7.8599 rec=1.2907 | train/val/test=0.486/0.480/0.482 | c=0.998347
[Epoch 0017] loss=5.2396 cls=1.2697 smmd=2.1238 ct=7.9709 rec=1.2596 | train/val/test=0.691/0.701/0.696 | c=0.998347
[Epoch 0018] loss=4.6748 cls=0.9290 smmd=1.9135 ct=7.8755 rec=1.2859 | train/val/test=0.739/0.761/0.742 | c=0.998347
[Epoch 0019] loss=4.4212 cls=0.7858 smmd=1.8585 ct=7.6609 rec=1.2234 | train/val/test=0.607/0.615/0.600 | c=0.998347
[Epoch 0020] loss=5.0678 cls=1.2184 smmd=2.0544 ct=7.7007 rec=1.2743 | train/val/test=0.738/0.754/0.734 | c=0.998347
[Epoch 0021] loss=4.2026 cls=0.7446 smmd=1.7088 ct=7.5168 rec=1.2288 | train/val/test=0.760/0.775/0.757 | c=0.998347
[Epoch 0022] loss=4.2001 cls=0.7245 smmd=1.6960 ct=7.6641 rec=1.2340 | train/val/test=0.727/0.741/0.719 | c=0.998347
[Epoch 0023] loss=4.3618 cls=0.7900 smmd=1.7696 ct=7.7698 rec=1.2412 | train/val/test=0.742/0.754/0.726 | c=0.998347
[Epoch 0024] loss=4.1269 cls=0.6385 smmd=1.7014 ct=7.6930 rec=1.2415 | train/val/test=0.741/0.759/0.734 | c=0.998347
[Epoch 0025] loss=4.1363 cls=0.6755 smmd=1.6857 ct=7.6367 rec=1.2387 | train/val/test=0.818/0.822/0.814 | c=0.998347
[Epoch 0026] loss=3.8431 cls=0.5319 smmd=1.5532 ct=7.5715 rec=1.2183 | train/val/test=0.828/0.840/0.828 | c=0.998347
[Epoch 0027] loss=3.7456 cls=0.5117 smmd=1.4789 ct=7.5725 rec=1.2024 | train/val/test=0.803/0.816/0.801 | c=0.998347
[Epoch 0028] loss=3.8247 cls=0.5984 smmd=1.4624 ct=7.6060 rec=1.2134 | train/val/test=0.835/0.848/0.842 | c=0.998347
[Epoch 0029] loss=3.6018 cls=0.4576 smmd=1.3974 ct=7.5352 rec=1.1988 | train/val/test=0.883/0.882/0.880 | c=0.998347
[Epoch 0030] loss=3.5887 cls=0.4140 smmd=1.4301 ct=7.5324 rec=1.1906 | train/val/test=0.871/0.875/0.861 | c=0.998347
[Epoch 0031] loss=3.5769 cls=0.4322 smmd=1.3917 ct=7.5743 rec=1.1907 | train/val/test=0.892/0.890/0.887 | c=0.998347
[Epoch 0032] loss=3.4173 cls=0.3707 smmd=1.2904 ct=7.5913 rec=1.1897 | train/val/test=0.871/0.870/0.879 | c=0.998347
[Epoch 0033] loss=3.4880 cls=0.4166 smmd=1.3105 ct=7.6053 rec=1.1988 | train/val/test=0.883/0.886/0.881 | c=0.998347
[Epoch 0034] loss=3.3505 cls=0.3719 smmd=1.2316 ct=7.5519 rec=1.1835 | train/val/test=0.870/0.877/0.863 | c=0.998347
[Epoch 0035] loss=3.3102 cls=0.3870 smmd=1.1854 ct=7.5149 rec=1.1741 | train/val/test=0.876/0.884/0.875 | c=0.998347
[Epoch 0036] loss=3.2926 cls=0.3803 smmd=1.1708 ct=7.5293 rec=1.1779 | train/val/test=0.892/0.893/0.890 | c=0.998347
[Epoch 0037] loss=3.1928 cls=0.3429 smmd=1.1010 ct=7.5631 rec=1.1817 | train/val/test=0.890/0.886/0.885 | c=0.998347
[Epoch 0038] loss=3.1871 cls=0.3578 smmd=1.0750 ct=7.5872 rec=1.1841 | train/val/test=0.889/0.894/0.888 | c=0.998347
[Epoch 0039] loss=3.1067 cls=0.3364 smmd=1.0246 ct=7.5500 rec=1.1784 | train/val/test=0.884/0.892/0.881 | c=0.998347
[Epoch 0040] loss=3.1115 cls=0.3649 smmd=1.0034 ct=7.5337 rec=1.1820 | train/val/test=0.894/0.897/0.892 | c=0.998347
[Epoch 0041] loss=3.0126 cls=0.3283 smmd=0.9415 ct=7.5347 rec=1.1792 | train/val/test=0.897/0.892/0.893 | c=0.998347
[Epoch 0042] loss=3.0134 cls=0.3419 smmd=0.9212 ct=7.5661 rec=1.1856 | train/val/test=0.903/0.902/0.901 | c=0.998347
[Epoch 0043] loss=2.9498 cls=0.3278 smmd=0.8764 ct=7.5408 rec=1.1874 | train/val/test=0.896/0.897/0.890 | c=0.998347
[Epoch 0044] loss=2.9182 cls=0.3490 smmd=0.8254 ct=7.5346 rec=1.1843 | train/val/test=0.908/0.903/0.905 | c=0.998347
[Epoch 0045] loss=2.8568 cls=0.3267 smmd=0.7832 ct=7.5455 rec=1.1889 | train/val/test=0.905/0.899/0.899 | c=0.998347
[Epoch 0046] loss=2.8363 cls=0.3348 smmd=0.7535 ct=7.5465 rec=1.1936 | train/val/test=0.895/0.897/0.893 | c=0.998347
[Epoch 0047] loss=2.8082 cls=0.3564 smmd=0.7078 ct=7.5286 rec=1.1915 | train/val/test=0.881/0.881/0.878 | c=0.998347
[Epoch 0048] loss=2.8230 cls=0.3724 smmd=0.6999 ct=7.5423 rec=1.2110 | train/val/test=0.756/0.739/0.738 | c=0.998347
[Epoch 0049] loss=3.2127 cls=0.6629 smmd=0.7734 ct=7.6523 rec=1.2298 | train/val/test=0.249/0.231/0.233 | c=0.998347
[Epoch 0050] loss=6.7598 cls=3.3322 smmd=1.5792 ct=7.7397 rec=1.5020 | train/val/test=0.137/0.146/0.129 | c=0.998347
[Epoch 0051] loss=9.8151 cls=5.4869 smmd=2.4226 ct=7.9963 rec=1.5316 | train/val/test=0.213/0.203/0.199 | c=0.998347
[Epoch 0052] loss=10.1894 cls=5.1455 smmd=3.1476 ct=8.0099 rec=1.4718 | train/val/test=0.500/0.501/0.479 | c=0.998347
[Epoch 0053] loss=9.6166 cls=3.8190 smmd=3.9117 ct=8.1211 rec=1.3085 | train/val/test=0.267/0.273/0.265 | c=0.998347
[Epoch 0054] loss=12.9262 cls=6.5049 smmd=4.5168 ct=8.1143 rec=1.4082 | train/val/test=0.294/0.293/0.287 | c=0.998347
[Epoch 0055] loss=11.4308 cls=5.0889 smmd=4.4376 ct=8.0777 rec=1.4442 | train/val/test=0.624/0.622/0.604 | c=0.998347
[Epoch 0056] loss=8.0218 cls=2.2778 smmd=3.8886 ct=8.0194 rec=1.2580 | train/val/test=0.461/0.453/0.435 | c=0.998347
[Epoch 0057] loss=7.0521 cls=1.9824 smmd=3.2377 ct=7.8453 rec=1.3144 | train/val/test=0.657/0.654/0.650 | c=0.998347
[Epoch 0058] loss=6.2288 cls=1.7969 smmd=2.6464 ct=7.6966 rec=1.2306 | train/val/test=0.656/0.666/0.647 | c=0.998347
