[2025-09-20 04:58:52] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=39, val=1522, test=6089 (mode=few, shot=5)
[Epoch 0000] loss=10.9623 cls=2.0794 smmd=6.6747 ct=10.3484 rec=1.3844 | train/val/test=0.231/0.410/0.403 | c=0.998347
[Epoch 0001] loss=9.2170 cls=2.0759 smmd=4.8062 ct=10.9822 rec=1.3844 | train/val/test=0.179/0.220/0.239 | c=0.998347
[Epoch 0002] loss=8.6354 cls=2.0733 smmd=4.3104 ct=10.5666 rec=1.3844 | train/val/test=0.179/0.240/0.238 | c=0.998347
[Epoch 0003] loss=8.6880 cls=2.0688 smmd=4.4159 ct=10.3248 rec=1.3844 | train/val/test=0.462/0.323/0.316 | c=0.998347
[Epoch 0004] loss=7.6970 cls=2.0634 smmd=3.4924 ct=10.0137 rec=1.3844 | train/val/test=0.385/0.287/0.292 | c=0.998347
[Epoch 0005] loss=6.8075 cls=2.0566 smmd=2.6257 ct=9.9340 rec=1.3844 | train/val/test=0.462/0.321/0.323 | c=0.998347
[Epoch 0006] loss=6.6770 cls=2.0484 smmd=2.4653 ct=10.1241 rec=1.3844 | train/val/test=0.308/0.208/0.207 | c=0.998347
[Epoch 0007] loss=6.4223 cls=2.0382 smmd=2.2687 ct=9.8848 rec=1.3844 | train/val/test=0.462/0.430/0.425 | c=0.998347
[Epoch 0008] loss=6.1631 cls=2.0258 smmd=2.0357 ct=9.8157 rec=1.3844 | train/val/test=0.641/0.581/0.580 | c=0.998347
[Epoch 0009] loss=5.8734 cls=2.0111 smmd=1.7639 ct=9.7997 rec=1.3843 | train/val/test=0.641/0.541/0.539 | c=0.998347
[Epoch 0010] loss=5.4983 cls=1.9950 smmd=1.4180 ct=9.7344 rec=1.3843 | train/val/test=0.615/0.499/0.480 | c=0.998347
[Epoch 0011] loss=5.4861 cls=1.9759 smmd=1.4188 ct=9.7650 rec=1.3842 | train/val/test=0.744/0.609/0.590 | c=0.998347
[Epoch 0012] loss=5.5173 cls=1.9542 smmd=1.4604 ct=9.8217 rec=1.3841 | train/val/test=0.769/0.703/0.685 | c=0.998347
[Epoch 0013] loss=5.2479 cls=1.9299 smmd=1.2220 ct=9.7884 rec=1.3839 | train/val/test=0.769/0.690/0.680 | c=0.998347
[Epoch 0014] loss=5.0251 cls=1.9035 smmd=1.0290 ct=9.7709 rec=1.3837 | train/val/test=0.744/0.682/0.656 | c=0.998347
[Epoch 0015] loss=5.0497 cls=1.8769 smmd=1.0833 ct=9.7557 rec=1.3834 | train/val/test=0.718/0.602/0.591 | c=0.998347
[Epoch 0016] loss=5.0481 cls=1.8489 smmd=1.1142 ct=9.7333 rec=1.3831 | train/val/test=0.692/0.576/0.577 | c=0.998347
[Epoch 0017] loss=4.8608 cls=1.8152 smmd=0.9581 ct=9.7464 rec=1.3826 | train/val/test=0.744/0.558/0.566 | c=0.998347
[Epoch 0018] loss=4.7231 cls=1.7786 smmd=0.8481 ct=9.7908 rec=1.3819 | train/val/test=0.744/0.568/0.577 | c=0.998347
[Epoch 0019] loss=4.6903 cls=1.7424 smmd=0.8485 ct=9.8066 rec=1.3811 | train/val/test=0.718/0.611/0.609 | c=0.998347
[Epoch 0020] loss=4.6318 cls=1.7058 smmd=0.8297 ct=9.7917 rec=1.3803 | train/val/test=0.769/0.632/0.624 | c=0.998347
[Epoch 0021] loss=4.5356 cls=1.6688 smmd=0.7728 ct=9.7806 rec=1.3793 | train/val/test=0.769/0.625/0.619 | c=0.998347
[Epoch 0022] loss=4.4515 cls=1.6308 smmd=0.7279 ct=9.7753 rec=1.3782 | train/val/test=0.718/0.597/0.602 | c=0.998347
[Epoch 0023] loss=4.3871 cls=1.5884 smmd=0.7032 ct=9.7892 rec=1.3769 | train/val/test=0.744/0.583/0.602 | c=0.998347
[Epoch 0024] loss=4.3028 cls=1.5450 smmd=0.6569 ct=9.8169 rec=1.3754 | train/val/test=0.744/0.602/0.614 | c=0.998347
[Epoch 0025] loss=4.2322 cls=1.5038 smmd=0.6257 ct=9.8267 rec=1.3739 | train/val/test=0.744/0.612/0.625 | c=0.998347
[Epoch 0026] loss=4.1458 cls=1.4624 smmd=0.5810 ct=9.8262 rec=1.3721 | train/val/test=0.821/0.626/0.637 | c=0.998347
[Epoch 0027] loss=4.0608 cls=1.4198 smmd=0.5367 ct=9.8363 rec=1.3703 | train/val/test=0.821/0.639/0.646 | c=0.998347
[Epoch 0028] loss=4.0095 cls=1.3783 smmd=0.5275 ct=9.8344 rec=1.3684 | train/val/test=0.795/0.642/0.650 | c=0.998347
[Epoch 0029] loss=3.9258 cls=1.3389 smmd=0.4841 ct=9.8309 rec=1.3663 | train/val/test=0.846/0.646/0.656 | c=0.998347
[Epoch 0030] loss=3.8671 cls=1.2975 smmd=0.4645 ct=9.8434 rec=1.3641 | train/val/test=0.821/0.654/0.662 | c=0.998347
[Epoch 0031] loss=3.8066 cls=1.2563 smmd=0.4427 ct=9.8573 rec=1.3618 | train/val/test=0.846/0.675/0.680 | c=0.998347
