[2025-09-20 05:01:30] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=79, val=1514, test=6057 (mode=few, shot=10)
[Epoch 0000] loss=10.9811 cls=2.0804 smmd=6.6940 ct=10.3409 rec=1.3844 | train/val/test=0.127/0.239/0.258 | c=0.998347
[Epoch 0001] loss=9.3115 cls=2.0785 smmd=4.8956 ct=10.9943 rec=1.3844 | train/val/test=0.127/0.049/0.042 | c=0.998347
[Epoch 0002] loss=8.6975 cls=2.0767 smmd=4.3625 ct=10.5988 rec=1.3844 | train/val/test=0.468/0.422/0.441 | c=0.998347
[Epoch 0003] loss=8.8099 cls=2.0732 smmd=4.5091 ct=10.4454 rec=1.3844 | train/val/test=0.127/0.051/0.047 | c=0.998347
[Epoch 0004] loss=7.7878 cls=2.0690 smmd=3.5587 ct=10.1087 rec=1.3844 | train/val/test=0.241/0.145/0.153 | c=0.998347
[Epoch 0005] loss=6.8271 cls=2.0632 smmd=2.6490 ct=9.8822 rec=1.3844 | train/val/test=0.405/0.356/0.364 | c=0.998347
[Epoch 0006] loss=6.7708 cls=2.0562 smmd=2.5678 ct=10.0419 rec=1.3844 | train/val/test=0.342/0.240/0.240 | c=0.998347
[Epoch 0007] loss=6.5194 cls=2.0480 smmd=2.3670 ct=9.8299 rec=1.3844 | train/val/test=0.456/0.304/0.300 | c=0.998347
[Epoch 0008] loss=6.1809 cls=2.0373 smmd=2.0487 ct=9.7822 rec=1.3843 | train/val/test=0.658/0.516/0.514 | c=0.998347
[Epoch 0009] loss=5.9356 cls=2.0241 smmd=1.8119 ct=9.8060 rec=1.3843 | train/val/test=0.671/0.495/0.500 | c=0.998347
[Epoch 0010] loss=5.5464 cls=2.0095 smmd=1.4520 ct=9.7322 rec=1.3843 | train/val/test=0.658/0.491/0.528 | c=0.998347
[Epoch 0011] loss=5.5167 cls=1.9931 smmd=1.4366 ct=9.7428 rec=1.3842 | train/val/test=0.633/0.501/0.532 | c=0.998347
[Epoch 0012] loss=5.5779 cls=1.9739 smmd=1.5142 ct=9.7572 rec=1.3841 | train/val/test=0.709/0.548/0.571 | c=0.998347
[Epoch 0013] loss=5.2943 cls=1.9516 smmd=1.2573 ct=9.7347 rec=1.3840 | train/val/test=0.797/0.680/0.688 | c=0.998347
[Epoch 0014] loss=5.0542 cls=1.9266 smmd=1.0449 ct=9.7213 rec=1.3839 | train/val/test=0.810/0.717/0.730 | c=0.998347
[Epoch 0015] loss=5.1007 cls=1.8996 smmd=1.1170 ct=9.7293 rec=1.3837 | train/val/test=0.696/0.667/0.691 | c=0.998347
[Epoch 0016] loss=5.0618 cls=1.8701 smmd=1.1068 ct=9.7328 rec=1.3834 | train/val/test=0.658/0.651/0.673 | c=0.998347
[Epoch 0017] loss=4.8935 cls=1.8381 smmd=0.9717 ct=9.7270 rec=1.3830 | train/val/test=0.759/0.703/0.725 | c=0.998347
[Epoch 0018] loss=4.7507 cls=1.8037 smmd=0.8616 ct=9.7355 rec=1.3824 | train/val/test=0.785/0.711/0.729 | c=0.998347
[Epoch 0019] loss=4.7342 cls=1.7669 smmd=0.8810 ct=9.7408 rec=1.3817 | train/val/test=0.823/0.738/0.742 | c=0.998347
[Epoch 0020] loss=4.6708 cls=1.7279 smmd=0.8572 ct=9.7381 rec=1.3809 | train/val/test=0.848/0.781/0.792 | c=0.998347
[Epoch 0021] loss=4.5638 cls=1.6874 smmd=0.7898 ct=9.7431 rec=1.3797 | train/val/test=0.861/0.798/0.809 | c=0.998347
[Epoch 0022] loss=4.4702 cls=1.6458 smmd=0.7354 ct=9.7555 rec=1.3783 | train/val/test=0.861/0.792/0.810 | c=0.998347
[Epoch 0023] loss=4.3967 cls=1.6033 smmd=0.7023 ct=9.7670 rec=1.3766 | train/val/test=0.848/0.797/0.805 | c=0.998347
[Epoch 0024] loss=4.3142 cls=1.5609 smmd=0.6610 ct=9.7745 rec=1.3747 | train/val/test=0.886/0.805/0.807 | c=0.998347
[Epoch 0025] loss=4.2552 cls=1.5178 smmd=0.6441 ct=9.7799 rec=1.3726 | train/val/test=0.899/0.803/0.811 | c=0.998347
[Epoch 0026] loss=4.1630 cls=1.4741 smmd=0.5955 ct=9.7817 rec=1.3704 | train/val/test=0.899/0.808/0.817 | c=0.998347
[Epoch 0027] loss=4.0944 cls=1.4313 smmd=0.5687 ct=9.7880 rec=1.3680 | train/val/test=0.886/0.824/0.832 | c=0.998347
[Epoch 0028] loss=4.0104 cls=1.3898 smmd=0.5241 ct=9.7999 rec=1.3653 | train/val/test=0.899/0.826/0.836 | c=0.998347
[Epoch 0029] loss=3.9511 cls=1.3486 smmd=0.5035 ct=9.8133 rec=1.3625 | train/val/test=0.899/0.825/0.828 | c=0.998347
[Epoch 0030] loss=3.8904 cls=1.3072 smmd=0.4831 ct=9.8205 rec=1.3597 | train/val/test=0.899/0.824/0.830 | c=0.998347
[Epoch 0031] loss=3.8051 cls=1.2662 smmd=0.4377 ct=9.8277 rec=1.3568 | train/val/test=0.899/0.834/0.839 | c=0.998347
[Epoch 0032] loss=3.7585 cls=1.2270 smmd=0.4295 ct=9.8333 rec=1.3539 | train/val/test=0.899/0.836/0.844 | c=0.998347
[Epoch 0033] loss=3.7108 cls=1.1891 smmd=0.4190 ct=9.8380 rec=1.3510 | train/val/test=0.899/0.832/0.837 | c=0.998347
[Epoch 0034] loss=3.6469 cls=1.1509 smmd=0.3921 ct=9.8457 rec=1.3478 | train/val/test=0.911/0.824/0.832 | c=0.998347
[Epoch 0035] loss=3.5919 cls=1.1128 smmd=0.3736 ct=9.8548 rec=1.3445 | train/val/test=0.911/0.832/0.837 | c=0.998347
[Epoch 0036] loss=3.5412 cls=1.0760 smmd=0.3580 ct=9.8654 rec=1.3414 | train/val/test=0.899/0.834/0.841 | c=0.998347
[Epoch 0037] loss=3.5082 cls=1.0415 smmd=0.3589 ct=9.8699 rec=1.3383 | train/val/test=0.911/0.834/0.840 | c=0.998347
[Epoch 0038] loss=3.4565 cls=1.0069 smmd=0.3423 ct=9.8693 rec=1.3350 | train/val/test=0.911/0.828/0.834 | c=0.998347
[Epoch 0039] loss=3.4163 cls=0.9740 smmd=0.3341 ct=9.8749 rec=1.3317 | train/val/test=0.924/0.828/0.836 | c=0.998347
[Epoch 0040] loss=3.3771 cls=0.9412 smmd=0.3260 ct=9.8850 rec=1.3286 | train/val/test=0.924/0.836/0.840 | c=0.998347
[Epoch 0041] loss=3.3244 cls=0.9097 smmd=0.3041 ct=9.8905 rec=1.3255 | train/val/test=0.924/0.839/0.845 | c=0.998347
[Epoch 0042] loss=3.2895 cls=0.8805 smmd=0.2986 ct=9.8908 rec=1.3223 | train/val/test=0.924/0.857/0.863 | c=0.998347
