[2025-09-20 05:04:14] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.0823 cls=2.3034 smmd=6.6769 ct=7.6086 rec=1.3851 | train/val/test=0.380/0.367/0.370 | c=0.998347
[Epoch 0001] loss=10.9601 cls=2.0438 smmd=5.0740 ct=7.6066 rec=1.3862 | train/val/test=0.380/0.367/0.370 | c=0.998347
[Epoch 0002] loss=11.6759 cls=2.5903 smmd=4.6915 ct=7.6089 rec=1.4098 | train/val/test=0.101/0.106/0.104 | c=0.998347
[Epoch 0003] loss=12.3067 cls=2.6738 smmd=5.1612 ct=7.6036 rec=1.3861 | train/val/test=0.380/0.367/0.370 | c=0.998347
[Epoch 0004] loss=11.4411 cls=2.3531 smmd=4.7909 ct=8.2363 rec=1.4842 | train/val/test=0.380/0.367/0.370 | c=0.998347
[Epoch 0005] loss=9.7544 cls=1.9048 smmd=3.9713 ct=8.4598 rec=1.4079 | train/val/test=0.236/0.243/0.231 | c=0.998347
[Epoch 0006] loss=8.9242 cls=1.9726 smmd=2.9872 ct=8.5682 rec=1.3911 | train/val/test=0.379/0.367/0.370 | c=0.998347
[Epoch 0007] loss=8.1509 cls=1.8322 smmd=2.5310 ct=8.3904 rec=1.3867 | train/val/test=0.379/0.366/0.369 | c=0.998347
[Epoch 0008] loss=8.3650 cls=1.9052 smmd=2.6871 ct=7.9437 rec=1.3943 | train/val/test=0.379/0.367/0.369 | c=0.998347
[Epoch 0009] loss=8.4631 cls=1.9230 smmd=2.7425 ct=7.9761 rec=1.3967 | train/val/test=0.378/0.365/0.368 | c=0.998347
[Epoch 0010] loss=8.0772 cls=1.8586 smmd=2.4907 ct=7.9556 rec=1.3910 | train/val/test=0.376/0.364/0.364 | c=0.998347
[Epoch 0011] loss=7.5989 cls=1.8213 smmd=2.0944 ct=7.9263 rec=1.3839 | train/val/test=0.379/0.366/0.369 | c=0.998347
[Epoch 0012] loss=6.9778 cls=1.7197 smmd=1.6523 ct=8.0434 rec=1.3867 | train/val/test=0.381/0.369/0.371 | c=0.998347
[Epoch 0013] loss=6.7544 cls=1.6648 smmd=1.5201 ct=8.1373 rec=1.3863 | train/val/test=0.385/0.374/0.374 | c=0.998347
[Epoch 0014] loss=6.5638 cls=1.5726 smmd=1.5116 ct=8.1554 rec=1.3793 | train/val/test=0.476/0.471/0.465 | c=0.998347
[Epoch 0015] loss=6.3221 cls=1.4737 smmd=1.4790 ct=8.1082 rec=1.3699 | train/val/test=0.571/0.567/0.555 | c=0.998347
[Epoch 0016] loss=5.8725 cls=1.3468 smmd=1.3097 ct=7.9906 rec=1.3552 | train/val/test=0.617/0.612/0.603 | c=0.998347
[Epoch 0017] loss=5.5607 cls=1.2632 smmd=1.1804 ct=7.9292 rec=1.3404 | train/val/test=0.655/0.657/0.642 | c=0.998347
