[2025-09-20 05:15:35] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=49, val=2740, test=10963 (mode=few, shot=5)
[Epoch 0000] loss=22.5302 cls=2.3040 smmd=6.7092 ct=10.9360 rec=1.3851 | train/val/test=0.204/0.397/0.398 | c=0.998347
[Epoch 0001] loss=20.6603 cls=2.3005 smmd=4.8483 ct=10.9339 rec=1.3851 | train/val/test=0.102/0.021/0.022 | c=0.998347
[Epoch 0002] loss=20.1864 cls=2.2983 smmd=4.3825 ct=10.9303 rec=1.3851 | train/val/test=0.204/0.108/0.111 | c=0.998347
[Epoch 0003] loss=20.3585 cls=2.2942 smmd=4.5637 ct=10.9292 rec=1.3851 | train/val/test=0.245/0.066/0.068 | c=0.998347
[Epoch 0004] loss=19.3955 cls=2.2890 smmd=3.6211 ct=10.9195 rec=1.3851 | train/val/test=0.184/0.108/0.110 | c=0.998347
[Epoch 0005] loss=18.3887 cls=2.2821 smmd=2.6393 ct=10.9081 rec=1.3851 | train/val/test=0.327/0.238/0.227 | c=0.998347
[Epoch 0006] loss=18.3330 cls=2.2729 smmd=2.6260 ct=10.8841 rec=1.3851 | train/val/test=0.388/0.253/0.237 | c=0.998347
[Epoch 0007] loss=18.1292 cls=2.2599 smmd=2.4893 ct=10.8431 rec=1.3851 | train/val/test=0.551/0.280/0.265 | c=0.998347
[Epoch 0008] loss=17.6445 cls=2.2422 smmd=2.1148 ct=10.7683 rec=1.3850 | train/val/test=0.633/0.352/0.334 | c=0.998347
[Epoch 0009] loss=17.1583 cls=2.2193 smmd=1.7444 ct=10.6983 rec=1.3849 | train/val/test=0.633/0.346/0.330 | c=0.998347
[Epoch 0010] loss=16.7905 cls=2.1917 smmd=1.4565 ct=10.6735 rec=1.3847 | train/val/test=0.612/0.314/0.299 | c=0.998347
[Epoch 0011] loss=16.8124 cls=2.1593 smmd=1.5529 ct=10.6639 rec=1.3845 | train/val/test=0.571/0.294/0.282 | c=0.998347
[Epoch 0012] loss=16.6183 cls=2.1217 smmd=1.4637 ct=10.6343 rec=1.3841 | train/val/test=0.571/0.324/0.302 | c=0.998347
[Epoch 0013] loss=16.1317 cls=2.0790 smmd=1.1057 ct=10.5913 rec=1.3835 | train/val/test=0.571/0.348/0.332 | c=0.998347
[Epoch 0014] loss=15.9542 cls=2.0318 smmd=1.0535 ct=10.5606 rec=1.3827 | train/val/test=0.571/0.359/0.355 | c=0.998347
[Epoch 0015] loss=15.9426 cls=1.9814 smmd=1.1597 ct=10.5439 rec=1.3816 | train/val/test=0.633/0.461/0.468 | c=0.998347
[Epoch 0016] loss=15.7583 cls=1.9271 smmd=1.0984 ct=10.5298 rec=1.3803 | train/val/test=0.633/0.553/0.559 | c=0.998347
[Epoch 0017] loss=15.4671 cls=1.8693 smmd=0.9286 ct=10.5241 rec=1.3787 | train/val/test=0.633/0.492/0.494 | c=0.998347
[Epoch 0018] loss=15.2945 cls=1.8108 smmd=0.8730 ct=10.5245 rec=1.3766 | train/val/test=0.633/0.455/0.463 | c=0.998347
[Epoch 0019] loss=15.9297 cls=1.7518 smmd=0.9338 ct=11.2173 rec=1.3746 | train/val/test=0.633/0.451/0.456 | c=0.998347
[Epoch 0020] loss=15.7192 cls=1.6960 smmd=0.9653 ct=11.0873 rec=1.3730 | train/val/test=0.612/0.455/0.457 | c=0.998347
[Epoch 0021] loss=15.5589 cls=1.6375 smmd=1.0079 ct=11.0019 rec=1.3707 | train/val/test=0.673/0.542/0.537 | c=0.998347
[Epoch 0022] loss=15.4188 cls=1.5724 smmd=0.9905 ct=11.0101 rec=1.3675 | train/val/test=0.673/0.628/0.634 | c=0.998347
[Epoch 0023] loss=15.3035 cls=1.5088 smmd=0.9463 ct=11.0666 rec=1.3648 | train/val/test=0.714/0.634/0.642 | c=0.998347
[Epoch 0024] loss=15.1393 cls=1.4505 smmd=0.8517 ct=11.1141 rec=1.3623 | train/val/test=0.714/0.631/0.641 | c=0.998347
[Epoch 0025] loss=15.0027 cls=1.3947 smmd=0.8090 ct=11.1325 rec=1.3592 | train/val/test=0.776/0.642/0.649 | c=0.998347
[Epoch 0026] loss=14.8912 cls=1.3391 smmd=0.8146 ct=11.1272 rec=1.3561 | train/val/test=0.755/0.649/0.657 | c=0.998347
[Epoch 0027] loss=14.7741 cls=1.2847 smmd=0.8275 ct=11.1065 rec=1.3534 | train/val/test=0.796/0.650/0.660 | c=0.998347
[Epoch 0028] loss=14.6332 cls=1.2341 smmd=0.8095 ct=11.0853 rec=1.3506 | train/val/test=0.796/0.655/0.664 | c=0.998347
[Epoch 0029] loss=14.5199 cls=1.1839 smmd=0.8066 ct=11.0760 rec=1.3475 | train/val/test=0.776/0.662/0.669 | c=0.998347
[Epoch 0030] loss=14.4120 cls=1.1324 smmd=0.8000 ct=11.0783 rec=1.3443 | train/val/test=0.776/0.667/0.671 | c=0.998347
[Epoch 0031] loss=14.3165 cls=1.0852 smmd=0.7898 ct=11.0881 rec=1.3412 | train/val/test=0.796/0.670/0.678 | c=0.998347
[Epoch 0032] loss=14.2155 cls=1.0422 smmd=0.7637 ct=11.0998 rec=1.3381 | train/val/test=0.857/0.677/0.686 | c=0.998347
[Epoch 0033] loss=14.0960 cls=1.0003 smmd=0.7243 ct=11.1040 rec=1.3351 | train/val/test=0.857/0.681/0.691 | c=0.998347
[Epoch 0034] loss=14.0114 cls=0.9598 smmd=0.7269 ct=11.0985 rec=1.3323 | train/val/test=0.837/0.684/0.696 | c=0.998347
[Epoch 0035] loss=13.9389 cls=0.9222 smmd=0.7373 ct=11.0914 rec=1.3291 | train/val/test=0.878/0.692/0.701 | c=0.998347
[Epoch 0036] loss=13.8324 cls=0.8854 smmd=0.7118 ct=11.0846 rec=1.3260 | train/val/test=0.918/0.700/0.707 | c=0.998347
[Epoch 0037] loss=13.7511 cls=0.8501 smmd=0.7083 ct=11.0780 rec=1.3234 | train/val/test=0.918/0.708/0.712 | c=0.998347
[Epoch 0038] loss=13.6809 cls=0.8188 smmd=0.7010 ct=11.0783 rec=1.3206 | train/val/test=0.939/0.712/0.715 | c=0.998347
[Epoch 0039] loss=13.6058 cls=0.7893 smmd=0.6813 ct=11.0824 rec=1.3179 | train/val/test=0.939/0.713/0.716 | c=0.998347
[Epoch 0040] loss=13.5342 cls=0.7600 smmd=0.6674 ct=11.0838 rec=1.3154 | train/val/test=0.959/0.716/0.719 | c=0.998347
