[2025-09-20 05:25:17] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=99, val=2730, test=10923 (mode=few, shot=10)
[Epoch 0000] loss=22.3950 cls=2.3027 smmd=6.5822 ct=10.9303 rec=1.3851 | train/val/test=0.101/0.150/0.159 | c=0.998347
[Epoch 0001] loss=20.6704 cls=2.3006 smmd=4.8643 ct=10.9278 rec=1.3851 | train/val/test=0.101/0.036/0.035 | c=0.998347
[Epoch 0002] loss=20.0914 cls=2.2984 smmd=4.2913 ct=10.9262 rec=1.3851 | train/val/test=0.101/0.036/0.035 | c=0.998347
[Epoch 0003] loss=20.2645 cls=2.2949 smmd=4.4748 ct=10.9230 rec=1.3851 | train/val/test=0.111/0.036/0.035 | c=0.998347
[Epoch 0004] loss=19.2689 cls=2.2899 smmd=3.4960 ct=10.9160 rec=1.3851 | train/val/test=0.283/0.364/0.356 | c=0.998347
[Epoch 0005] loss=18.2608 cls=2.2831 smmd=2.5162 ct=10.9013 rec=1.3851 | train/val/test=0.374/0.275/0.273 | c=0.998347
[Epoch 0006] loss=18.3306 cls=2.2743 smmd=2.6170 ct=10.8879 rec=1.3851 | train/val/test=0.333/0.070/0.080 | c=0.998347
[Epoch 0007] loss=18.1339 cls=2.2622 smmd=2.4717 ct=10.8607 rec=1.3851 | train/val/test=0.475/0.358/0.369 | c=0.998347
[Epoch 0008] loss=17.5086 cls=2.2457 smmd=1.9433 ct=10.7968 rec=1.3850 | train/val/test=0.727/0.577/0.567 | c=0.998347
[Epoch 0009] loss=17.1289 cls=2.2247 smmd=1.6734 ct=10.7290 rec=1.3850 | train/val/test=0.455/0.403/0.405 | c=0.998347
[Epoch 0010] loss=16.9221 cls=2.1999 smmd=1.5753 ct=10.6700 rec=1.3849 | train/val/test=0.707/0.581/0.582 | c=0.998347
[Epoch 0011] loss=16.8017 cls=2.1681 smmd=1.5460 ct=10.6427 rec=1.3847 | train/val/test=0.586/0.532/0.531 | c=0.998347
[Epoch 0012] loss=16.5276 cls=2.1325 smmd=1.3710 ct=10.6146 rec=1.3845 | train/val/test=0.606/0.519/0.518 | c=0.998347
[Epoch 0013] loss=16.1580 cls=2.0925 smmd=1.0991 ct=10.5970 rec=1.3841 | train/val/test=0.636/0.566/0.575 | c=0.998347
[Epoch 0014] loss=16.0294 cls=2.0457 smmd=1.0908 ct=10.5704 rec=1.3835 | train/val/test=0.636/0.582/0.593 | c=0.998347
[Epoch 0015] loss=15.9627 cls=1.9961 smmd=1.1492 ct=10.5447 rec=1.3827 | train/val/test=0.626/0.588/0.595 | c=0.998347
[Epoch 0016] loss=15.7202 cls=1.9444 smmd=1.0278 ct=10.5271 rec=1.3818 | train/val/test=0.657/0.615/0.620 | c=0.998347
[Epoch 0017] loss=15.4758 cls=1.8881 smmd=0.9028 ct=10.5206 rec=1.3804 | train/val/test=0.657/0.631/0.636 | c=0.998347
[Epoch 0018] loss=15.3948 cls=1.8299 smmd=0.9387 ct=10.5204 rec=1.3787 | train/val/test=0.657/0.626/0.629 | c=0.998347
[Epoch 0019] loss=15.2657 cls=1.7723 smmd=0.9336 ct=10.5122 rec=1.3769 | train/val/test=0.677/0.620/0.619 | c=0.998347
[Epoch 0020] loss=15.0620 cls=1.7145 smmd=0.8563 ct=10.5016 rec=1.3750 | train/val/test=0.657/0.626/0.630 | c=0.998347
[Epoch 0021] loss=14.9009 cls=1.6522 smmd=0.8244 ct=10.4975 rec=1.3725 | train/val/test=0.667/0.636/0.642 | c=0.998347
[Epoch 0022] loss=14.8032 cls=1.5898 smmd=0.8504 ct=10.4993 rec=1.3697 | train/val/test=0.667/0.636/0.641 | c=0.998347
[Epoch 0023] loss=15.3718 cls=1.5321 smmd=0.8289 ct=11.2055 rec=1.3669 | train/val/test=0.657/0.627/0.621 | c=0.998347
[Epoch 0024] loss=15.1765 cls=1.4851 smmd=0.8109 ct=11.1226 rec=1.3642 | train/val/test=0.626/0.619/0.602 | c=0.998347
[Epoch 0025] loss=15.0855 cls=1.4366 smmd=0.8786 ct=11.0615 rec=1.3613 | train/val/test=0.657/0.622/0.610 | c=0.998347
[Epoch 0026] loss=14.9963 cls=1.3781 smmd=0.9034 ct=11.0651 rec=1.3579 | train/val/test=0.667/0.633/0.627 | c=0.998347
[Epoch 0027] loss=14.8752 cls=1.3272 smmd=0.8453 ct=11.1046 rec=1.3546 | train/val/test=0.667/0.636/0.629 | c=0.998347
[Epoch 0028] loss=14.7488 cls=1.2857 smmd=0.7708 ct=11.1362 rec=1.3519 | train/val/test=0.667/0.635/0.629 | c=0.998347
[Epoch 0029] loss=14.6539 cls=1.2423 smmd=0.7545 ct=11.1450 rec=1.3490 | train/val/test=0.687/0.643/0.642 | c=0.998347
[Epoch 0030] loss=14.5759 cls=1.1970 smmd=0.7743 ct=11.1385 rec=1.3458 | train/val/test=0.697/0.654/0.651 | c=0.998347
[Epoch 0031] loss=14.4861 cls=1.1604 smmd=0.7733 ct=11.1235 rec=1.3430 | train/val/test=0.687/0.647/0.639 | c=0.998347
[Epoch 0032] loss=14.3961 cls=1.1314 smmd=0.7568 ct=11.1083 rec=1.3408 | train/val/test=0.697/0.642/0.636 | c=0.998347
[Epoch 0033] loss=14.3149 cls=1.0985 smmd=0.7441 ct=11.1062 rec=1.3384 | train/val/test=0.737/0.660/0.648 | c=0.998347
[Epoch 0034] loss=14.2439 cls=1.0622 smmd=0.7381 ct=11.1141 rec=1.3358 | train/val/test=0.747/0.670/0.659 | c=0.998347
