[2025-09-20 03:15:22] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Cora.GRACE.GAT.hyp_True.True.20250912-232536.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Cora
Split sizes | train=4590, val=1530, test=1530 (mode=public, shot=N/A)
[Epoch 0000] loss=9.3568 cls=2.0906 smmd=5.5069 ct=7.4122 rec=1.3844 | train/val/test=0.049/0.044/0.050 | c=0.999488
[Epoch 0001] loss=9.6306 cls=2.2178 smmd=5.6534 ct=7.4120 rec=1.3847 | train/val/test=0.247/0.278/0.248 | c=0.999488
[Epoch 0002] loss=9.7858 cls=2.4494 smmd=5.5703 ct=7.4123 rec=1.4183 | train/val/test=0.125/0.106/0.116 | c=0.999488
[Epoch 0003] loss=8.8491 cls=2.1102 smmd=4.9797 ct=7.4111 rec=1.3849 | train/val/test=0.482/0.507/0.482 | c=0.999488
[Epoch 0004] loss=7.6354 cls=1.9531 smmd=3.9244 ct=7.4048 rec=1.3846 | train/val/test=0.249/0.278/0.248 | c=0.999488
[Epoch 0005] loss=6.6451 cls=1.8837 smmd=3.0082 ct=7.3767 rec=1.3896 | train/val/test=0.456/0.480/0.460 | c=0.999488
[Epoch 0006] loss=6.7094 cls=1.8455 smmd=3.1098 ct=7.3847 rec=1.3854 | train/val/test=0.522/0.541/0.537 | c=0.999488
[Epoch 0007] loss=6.5878 cls=1.8240 smmd=3.0135 ct=7.3680 rec=1.3835 | train/val/test=0.510/0.532/0.527 | c=0.999488
[Epoch 0008] loss=5.5201 cls=1.6864 smmd=2.1123 ct=7.2245 rec=1.3822 | train/val/test=0.430/0.459/0.427 | c=0.999488
[Epoch 0009] loss=4.6573 cls=1.5627 smmd=1.3727 ct=7.2280 rec=1.3816 | train/val/test=0.560/0.576/0.576 | c=0.999488
[Epoch 0010] loss=4.7102 cls=1.3999 smmd=1.5968 ct=7.1971 rec=1.3710 | train/val/test=0.699/0.703/0.701 | c=0.999488
[Epoch 0011] loss=4.4775 cls=1.2238 smmd=1.5733 ct=7.0502 rec=1.3520 | train/val/test=0.722/0.731/0.727 | c=0.999488
[Epoch 0012] loss=3.9264 cls=1.0327 smmd=1.2227 ct=7.0230 rec=1.3322 | train/val/test=0.742/0.745/0.744 | c=0.999488
[Epoch 0013] loss=3.5080 cls=0.8879 smmd=0.9616 ct=6.9931 rec=1.2991 | train/val/test=0.778/0.786/0.773 | c=0.999488
[Epoch 0014] loss=3.3965 cls=0.7693 smmd=0.9826 ct=6.9501 rec=1.2730 | train/val/test=0.804/0.798/0.807 | c=0.999488
[Epoch 0015] loss=3.3305 cls=0.6717 smmd=1.0192 ct=6.9486 rec=1.2494 | train/val/test=0.835/0.841/0.841 | c=0.999488
