[2025-09-20 05:37:41] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Cora.GRACE.GAT.hyp_True.True.20250912-232536.pth --few True --shot 5 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Cora
Split sizes | train=39, val=1522, test=6089 (mode=few, shot=5)
[Epoch 0000] loss=9.8177 cls=2.0803 smmd=5.5292 ct=10.3491 rec=1.3844 | train/val/test=0.128/0.051/0.048 | c=0.999488
[Epoch 0001] loss=7.8811 cls=2.0742 smmd=3.4689 ct=10.9975 rec=1.3844 | train/val/test=0.359/0.251/0.244 | c=0.999488
[Epoch 0002] loss=7.4269 cls=2.0697 smmd=3.0782 ct=10.7028 rec=1.3844 | train/val/test=0.179/0.059/0.063 | c=0.999488
[Epoch 0003] loss=7.5974 cls=2.0625 smmd=3.3519 ct=10.2226 rec=1.3844 | train/val/test=0.385/0.344/0.352 | c=0.999488
[Epoch 0004] loss=6.9125 cls=2.0515 smmd=2.7294 ct=9.9656 rec=1.3844 | train/val/test=0.308/0.344/0.329 | c=0.999488
[Epoch 0005] loss=5.9800 cls=2.0348 smmd=1.8362 ct=9.8530 rec=1.3844 | train/val/test=0.641/0.451/0.461 | c=0.999488
[Epoch 0006] loss=5.8950 cls=2.0141 smmd=1.7466 ct=9.9796 rec=1.3843 | train/val/test=0.821/0.756/0.751 | c=0.999488
[Epoch 0007] loss=5.8701 cls=1.9882 smmd=1.7789 ct=9.8226 rec=1.3843 | train/val/test=0.846/0.730/0.731 | c=0.999488
[Epoch 0008] loss=5.5256 cls=1.9562 smmd=1.4743 ct=9.7831 rec=1.3842 | train/val/test=0.795/0.689/0.691 | c=0.999488
[Epoch 0009] loss=5.1626 cls=1.9169 smmd=1.1496 ct=9.7884 rec=1.3840 | train/val/test=0.897/0.784/0.774 | c=0.999488
[Epoch 0010] loss=4.9058 cls=1.8720 smmd=0.9412 ct=9.7711 rec=1.3837 | train/val/test=0.897/0.789/0.788 | c=0.999488
[Epoch 0011] loss=4.7383 cls=1.8215 smmd=0.8257 ct=9.7637 rec=1.3833 | train/val/test=0.872/0.763/0.753 | c=0.999488
[Epoch 0012] loss=4.6294 cls=1.7628 smmd=0.7710 ct=9.7868 rec=1.3825 | train/val/test=0.846/0.746/0.735 | c=0.999488
[Epoch 0013] loss=4.5024 cls=1.6970 smmd=0.7056 ct=9.8085 rec=1.3814 | train/val/test=0.846/0.754/0.745 | c=0.999488
[Epoch 0014] loss=4.3138 cls=1.6266 smmd=0.5848 ct=9.8225 rec=1.3799 | train/val/test=0.846/0.755/0.745 | c=0.999488
[Epoch 0015] loss=4.1222 cls=1.5528 smmd=0.4640 ct=9.8384 rec=1.3778 | train/val/test=0.846/0.750/0.739 | c=0.999488
[Epoch 0016] loss=4.0038 cls=1.4771 smmd=0.4179 ct=9.8564 rec=1.3753 | train/val/test=0.846/0.751/0.741 | c=0.999488
[Epoch 0017] loss=3.9424 cls=1.4005 smmd=0.4308 ct=9.8692 rec=1.3721 | train/val/test=0.846/0.758/0.747 | c=0.999488
[Epoch 0018] loss=3.8561 cls=1.3233 smmd=0.4192 ct=9.8839 rec=1.3680 | train/val/test=0.846/0.757/0.746 | c=0.999488
[Epoch 0019] loss=3.7303 cls=1.2459 smmd=0.3667 ct=9.9070 rec=1.3631 | train/val/test=0.846/0.751/0.738 | c=0.999488
[Epoch 0020] loss=3.6159 cls=1.1696 smmd=0.3240 ct=9.9329 rec=1.3576 | train/val/test=0.846/0.746/0.735 | c=0.999488
[Epoch 0021] loss=3.5324 cls=1.0962 smmd=0.3105 ct=9.9525 rec=1.3516 | train/val/test=0.846/0.756/0.742 | c=0.999488
[Epoch 0022] loss=3.4767 cls=1.0267 smmd=0.3233 ct=9.9608 rec=1.3449 | train/val/test=0.846/0.765/0.753 | c=0.999488
[Epoch 0023] loss=3.4074 cls=0.9611 smmd=0.3191 ct=9.9668 rec=1.3377 | train/val/test=0.846/0.772/0.762 | c=0.999488
[Epoch 0024] loss=3.3308 cls=0.8991 smmd=0.3032 ct=9.9779 rec=1.3300 | train/val/test=0.846/0.775/0.768 | c=0.999488
[Epoch 0025] loss=3.2610 cls=0.8410 smmd=0.2894 ct=9.9915 rec=1.3222 | train/val/test=0.846/0.779/0.777 | c=0.999488
[Epoch 0026] loss=3.2007 cls=0.7877 smmd=0.2816 ct=10.0003 rec=1.3143 | train/val/test=0.846/0.785/0.786 | c=0.999488
[Epoch 0027] loss=3.1516 cls=0.7386 smmd=0.2818 ct=10.0025 rec=1.3062 | train/val/test=0.872/0.792/0.790 | c=0.999488
[Epoch 0028] loss=3.0992 cls=0.6931 smmd=0.2755 ct=10.0041 rec=1.2982 | train/val/test=0.923/0.795/0.794 | c=0.999488
[Epoch 0029] loss=3.0569 cls=0.6501 smmd=0.2758 ct=10.0096 rec=1.2906 | train/val/test=0.923/0.799/0.799 | c=0.999488
[Epoch 0030] loss=3.0094 cls=0.6096 smmd=0.2678 ct=10.0187 rec=1.2835 | train/val/test=0.949/0.802/0.805 | c=0.999488
[Epoch 0031] loss=2.9714 cls=0.5721 smmd=0.2661 ct=10.0277 rec=1.2765 | train/val/test=0.974/0.808/0.812 | c=0.999488
[Epoch 0032] loss=2.9270 cls=0.5375 smmd=0.2555 ct=10.0348 rec=1.2696 | train/val/test=1.000/0.813/0.818 | c=0.999488
[Epoch 0033] loss=2.8918 cls=0.5055 smmd=0.2521 ct=10.0395 rec=1.2630 | train/val/test=1.000/0.816/0.823 | c=0.999488
[Epoch 0034] loss=2.8550 cls=0.4755 smmd=0.2453 ct=10.0425 rec=1.2570 | train/val/test=1.000/0.821/0.827 | c=0.999488
[Epoch 0035] loss=2.8209 cls=0.4478 smmd=0.2392 ct=10.0439 rec=1.2514 | train/val/test=1.000/0.825/0.830 | c=0.999488
[Epoch 0036] loss=2.7883 cls=0.4218 smmd=0.2331 ct=10.0439 rec=1.2460 | train/val/test=1.000/0.827/0.833 | c=0.999488
[Epoch 0037] loss=2.7508 cls=0.3971 smmd=0.2206 ct=10.0449 rec=1.2411 | train/val/test=1.000/0.834/0.836 | c=0.999488
[Epoch 0038] loss=2.7219 cls=0.3734 smmd=0.2154 ct=10.0471 rec=1.2368 | train/val/test=1.000/0.836/0.839 | c=0.999488
