[2025-09-20 05:52:07] START attempt 1: python main.py --is_transfer True --test_dataset Photo --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Cora.GRACE.GAT.hyp_True.True.20250912-232536.pth --few True --shot 10 --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Cora
Split sizes | train=79, val=1514, test=6057 (mode=few, shot=10)
[Epoch 0000] loss=9.7945 cls=2.0805 smmd=5.5073 ct=10.3411 rec=1.3844 | train/val/test=0.127/0.123/0.119 | c=0.999488
[Epoch 0001] loss=7.9195 cls=2.0761 smmd=3.4896 ct=11.0773 rec=1.3844 | train/val/test=0.127/0.123/0.119 | c=0.999488
[Epoch 0002] loss=7.3187 cls=2.0721 smmd=3.0030 ct=10.5258 rec=1.3844 | train/val/test=0.127/0.139/0.128 | c=0.999488
[Epoch 0003] loss=7.5162 cls=2.0651 smmd=3.2902 ct=10.1125 rec=1.3844 | train/val/test=0.228/0.261/0.259 | c=0.999488
[Epoch 0004] loss=6.8615 cls=2.0543 smmd=2.6902 ct=9.8927 rec=1.3844 | train/val/test=0.557/0.415/0.430 | c=0.999488
[Epoch 0005] loss=5.9496 cls=2.0394 smmd=1.8125 ct=9.7964 rec=1.3844 | train/val/test=0.494/0.433/0.463 | c=0.999488
[Epoch 0006] loss=5.8434 cls=2.0201 smmd=1.7009 ct=9.9201 rec=1.3843 | train/val/test=0.582/0.410/0.419 | c=0.999488
[Epoch 0007] loss=5.8256 cls=1.9962 smmd=1.7318 ct=9.7960 rec=1.3842 | train/val/test=0.506/0.394/0.408 | c=0.999488
[Epoch 0008] loss=5.5024 cls=1.9655 smmd=1.4447 ct=9.7687 rec=1.3841 | train/val/test=0.544/0.430/0.422 | c=0.999488
[Epoch 0009] loss=5.1353 cls=1.9278 smmd=1.1121 ct=9.7855 rec=1.3839 | train/val/test=0.633/0.468/0.470 | c=0.999488
[Epoch 0010] loss=4.8749 cls=1.8845 smmd=0.9032 ct=9.7448 rec=1.3836 | train/val/test=0.709/0.574/0.577 | c=0.999488
[Epoch 0011] loss=4.7313 cls=1.8359 smmd=0.8106 ct=9.7328 rec=1.3831 | train/val/test=0.785/0.661/0.662 | c=0.999488
[Epoch 0012] loss=4.6302 cls=1.7804 smmd=0.7611 ct=9.7529 rec=1.3824 | train/val/test=0.797/0.676/0.671 | c=0.999488
[Epoch 0013] loss=4.5056 cls=1.7182 smmd=0.6910 ct=9.7913 rec=1.3813 | train/val/test=0.823/0.672/0.665 | c=0.999488
[Epoch 0014] loss=4.3111 cls=1.6512 smmd=0.5587 ct=9.8165 rec=1.3798 | train/val/test=0.823/0.678/0.672 | c=0.999488
[Epoch 0015] loss=4.1266 cls=1.5807 smmd=0.4412 ct=9.8345 rec=1.3776 | train/val/test=0.835/0.676/0.673 | c=0.999488
