[2025-09-20 06:06:36] START attempt 1: python main.py --is_transfer True --test_dataset Computers --pretrained_model_name /mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Cora.GRACE.GAT.hyp_True.True.20250912-232536.pth --few False --gpu_id 0
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Cora
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.8104 cls=2.2868 smmd=5.4392 ct=7.6030 rec=1.3851 | train/val/test=0.381/0.367/0.367 | c=0.999488
[Epoch 0001] loss=9.3353 cls=1.9173 smmd=3.7022 ct=7.6027 rec=1.3899 | train/val/test=0.380/0.366/0.368 | c=0.999488
[Epoch 0002] loss=8.7000 cls=1.9047 smmd=3.0940 ct=7.5965 rec=1.3866 | train/val/test=0.381/0.367/0.367 | c=0.999488
[Epoch 0003] loss=13.9255 cls=4.0287 smmd=4.0626 ct=7.6034 rec=1.4240 | train/val/test=0.157/0.161/0.147 | c=0.999488
[Epoch 0004] loss=13.7234 cls=3.9322 smmd=3.8881 ct=8.3399 rec=1.5149 | train/val/test=0.436/0.422/0.427 | c=0.999488
[Epoch 0005] loss=8.8114 cls=1.7731 smmd=3.3200 ct=8.3511 rec=1.3750 | train/val/test=0.380/0.367/0.367 | c=0.999488
[Epoch 0006] loss=9.7938 cls=2.4633 smmd=2.9430 ct=8.1519 rec=1.4691 | train/val/test=0.223/0.207/0.217 | c=0.999488
[Epoch 0007] loss=8.6063 cls=2.0557 smmd=2.5749 ct=8.2230 rec=1.3769 | train/val/test=0.174/0.180/0.164 | c=0.999488
[Epoch 0008] loss=8.3183 cls=2.0224 smmd=2.3547 ct=8.1806 rec=1.4131 | train/val/test=0.373/0.359/0.359 | c=0.999488
[Epoch 0009] loss=7.9123 cls=2.0072 smmd=2.0096 ct=8.0614 rec=1.3797 | train/val/test=0.430/0.413/0.416 | c=0.999488
[Epoch 0010] loss=6.8401 cls=1.6346 smmd=1.7207 ct=7.9051 rec=1.3462 | train/val/test=0.354/0.342/0.344 | c=0.999488
[Epoch 0011] loss=7.9502 cls=2.1803 smmd=1.7011 ct=8.0931 rec=1.3490 | train/val/test=0.382/0.369/0.368 | c=0.999488
[Epoch 0012] loss=6.9675 cls=1.8267 smmd=1.4481 ct=7.9784 rec=1.3520 | train/val/test=0.437/0.420/0.427 | c=0.999488
[Epoch 0013] loss=6.6870 cls=1.8138 smmd=1.2052 ct=7.9226 rec=1.3480 | train/val/test=0.521/0.502/0.504 | c=0.999488
[Epoch 0014] loss=5.7109 cls=1.4029 smmd=1.0515 ct=7.9539 rec=1.3142 | train/val/test=0.435/0.432/0.425 | c=0.999488
[Epoch 0015] loss=6.1948 cls=1.5864 smmd=1.1265 ct=8.1368 rec=1.3405 | train/val/test=0.639/0.633/0.622 | c=0.999488
[Epoch 0016] loss=5.4365 cls=1.2856 smmd=0.9950 ct=8.0455 rec=1.3055 | train/val/test=0.516/0.491/0.498 | c=0.999488
[Epoch 0017] loss=5.6117 cls=1.4290 smmd=0.9107 ct=7.9147 rec=1.3006 | train/val/test=0.542/0.537/0.532 | c=0.999488
[Epoch 0018] loss=5.3719 cls=1.3751 smmd=0.7873 ct=7.8487 rec=1.3231 | train/val/test=0.651/0.637/0.635 | c=0.999488
[Epoch 0019] loss=4.9642 cls=1.2240 smmd=0.6895 ct=7.8536 rec=1.2803 | train/val/test=0.570/0.555/0.562 | c=0.999488
[Epoch 0020] loss=4.9908 cls=1.2404 smmd=0.6785 ct=7.8864 rec=1.2714 | train/val/test=0.692/0.680/0.678 | c=0.999488
[Epoch 0021] loss=4.5833 cls=1.0337 smmd=0.6794 ct=7.9145 rec=1.2674 | train/val/test=0.634/0.632/0.614 | c=0.999488
[Epoch 0022] loss=4.6233 cls=1.0384 smmd=0.7010 ct=7.9396 rec=1.2884 | train/val/test=0.671/0.662/0.654 | c=0.999488
[Epoch 0023] loss=4.3370 cls=0.9508 smmd=0.6038 ct=7.8944 rec=1.2639 | train/val/test=0.636/0.627/0.626 | c=0.999488
[Epoch 0024] loss=4.2677 cls=0.9729 smmd=0.5041 ct=7.8412 rec=1.2480 | train/val/test=0.687/0.673/0.675 | c=0.999488
[Epoch 0025] loss=3.9837 cls=0.8593 smmd=0.4475 ct=7.8384 rec=1.2495 | train/val/test=0.744/0.729/0.728 | c=0.999488
[Epoch 0026] loss=3.9453 cls=0.8279 smmd=0.4593 ct=7.8899 rec=1.2604 | train/val/test=0.752/0.741/0.733 | c=0.999488
[Epoch 0027] loss=3.7926 cls=0.7781 smmd=0.4123 ct=7.8628 rec=1.2578 | train/val/test=0.748/0.741/0.737 | c=0.999488
[Epoch 0028] loss=3.6461 cls=0.7482 smmd=0.3429 ct=7.7904 rec=1.2432 | train/val/test=0.736/0.732/0.728 | c=0.999488
[Epoch 0029] loss=3.5947 cls=0.7323 smmd=0.3290 ct=7.7651 rec=1.2412 | train/val/test=0.757/0.752/0.747 | c=0.999488
[Epoch 0030] loss=3.5600 cls=0.7105 smmd=0.3339 ct=7.7726 rec=1.2527 | train/val/test=0.766/0.761/0.760 | c=0.999488
[Epoch 0031] loss=3.4338 cls=0.6644 smmd=0.3080 ct=7.7467 rec=1.2386 | train/val/test=0.753/0.748/0.742 | c=0.999488
[Epoch 0032] loss=3.4234 cls=0.6663 smmd=0.2944 ct=7.7502 rec=1.2316 | train/val/test=0.781/0.776/0.767 | c=0.999488
[Epoch 0033] loss=3.3535 cls=0.6334 smmd=0.2857 ct=7.7697 rec=1.2356 | train/val/test=0.798/0.799/0.788 | c=0.999488
[Epoch 0034] loss=3.3545 cls=0.6369 smmd=0.2761 ct=7.7789 rec=1.2443 | train/val/test=0.792/0.784/0.783 | c=0.999488
[Epoch 0035] loss=3.2752 cls=0.6113 smmd=0.2566 ct=7.7527 rec=1.2277 | train/val/test=0.798/0.797/0.795 | c=0.999488
[Epoch 0036] loss=3.2483 cls=0.5977 smmd=0.2574 ct=7.7509 rec=1.2265 | train/val/test=0.819/0.824/0.817 | c=0.999488
[Epoch 0037] loss=3.2317 cls=0.5918 smmd=0.2515 ct=7.7525 rec=1.2308 | train/val/test=0.804/0.801/0.799 | c=0.999488
[Epoch 0038] loss=3.1663 cls=0.5740 smmd=0.2282 ct=7.7291 rec=1.2208 | train/val/test=0.808/0.801/0.796 | c=0.999488
[Epoch 0039] loss=3.1373 cls=0.5642 smmd=0.2208 ct=7.7225 rec=1.2180 | train/val/test=0.836/0.833/0.831 | c=0.999488
[Epoch 0040] loss=3.1182 cls=0.5502 smmd=0.2274 ct=7.7300 rec=1.2215 | train/val/test=0.830/0.827/0.822 | c=0.999488
[Epoch 0041] loss=3.0779 cls=0.5349 smmd=0.2213 ct=7.7171 rec=1.2164 | train/val/test=0.825/0.820/0.814 | c=0.999488
[Epoch 0042] loss=3.0491 cls=0.5254 smmd=0.2127 ct=7.7141 rec=1.2143 | train/val/test=0.837/0.836/0.829 | c=0.999488
[Epoch 0043] loss=3.0423 cls=0.5216 smmd=0.2093 ct=7.7320 rec=1.2174 | train/val/test=0.836/0.836/0.830 | c=0.999488
[Epoch 0044] loss=2.9931 cls=0.5030 smmd=0.1988 ct=7.7308 rec=1.2108 | train/val/test=0.843/0.841/0.839 | c=0.999488
[Epoch 0045] loss=2.9801 cls=0.4996 smmd=0.1921 ct=7.7352 rec=1.2095 | train/val/test=0.848/0.849/0.846 | c=0.999488
[Epoch 0046] loss=2.9591 cls=0.4940 smmd=0.1813 ct=7.7380 rec=1.2107 | train/val/test=0.846/0.841/0.839 | c=0.999488
[Epoch 0047] loss=2.9372 cls=0.4864 smmd=0.1769 ct=7.7294 rec=1.2079 | train/val/test=0.848/0.846/0.842 | c=0.999488
[Epoch 0048] loss=2.9114 cls=0.4729 smmd=0.1797 ct=7.7216 rec=1.2072 | train/val/test=0.850/0.844/0.847 | c=0.999488
[Epoch 0049] loss=2.9061 cls=0.4677 smmd=0.1845 ct=7.7215 rec=1.2096 | train/val/test=0.852/0.847/0.844 | c=0.999488
[Epoch 0050] loss=2.8775 cls=0.4564 smmd=0.1798 ct=7.7167 rec=1.2078 | train/val/test=0.853/0.848/0.847 | c=0.999488
[Epoch 0051] loss=2.8656 cls=0.4543 smmd=0.1724 ct=7.7160 rec=1.2071 | train/val/test=0.856/0.851/0.851 | c=0.999488
[Epoch 0052] loss=2.8465 cls=0.4467 smmd=0.1681 ct=7.7174 rec=1.2078 | train/val/test=0.856/0.850/0.851 | c=0.999488
