test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,1,36,0.7489,0.7462,57.99,experiment_log_2025-09-21 06:10:14.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,2,173,0.7684,0.7402,51.07,experiment_log_2025-09-21 06:11:05.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,3,173,0.7519,0.7538,52.37,experiment_log_2025-09-21 06:11:57.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,4,29,0.7639,0.7417,47.45,experiment_log_2025-09-21 06:12:45.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,156,0.7759,0.7387,47.45,experiment_log_2025-09-21 06:13:32.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,1,184,0.7489,0.7628,53.47,experiment_log_2025-09-21 06:14:26.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,2,77,0.7684,0.7613,62.51,experiment_log_2025-09-21 06:15:28.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,3,78,0.7278,0.7598,63.16,experiment_log_2025-09-21 06:16:31.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,4,132,0.7865,0.7598,48.88,experiment_log_2025-09-21 06:17:20.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,66,0.7729,0.7823,46.50,experiment_log_2025-09-21 06:18:07.txt
