HGL_alias,test_dataset,few_label,pretrained_basename,few,shot,n_runs,mean_test_acc,std_test_acc
HGL-C,CiteSeer,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,0.7441,0.0055
HGL-C,CiteSeer,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,0.7652,0.0086
HGL-C,CiteSeer,5shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,0.7110,0.0236
HGL-C,CiteSeer,10shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,0.7148,0.0178
HGL-P,CiteSeer,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,0.7462,0.0105
HGL-P,CiteSeer,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,0.7462,0.0053
HGL-P,CiteSeer,5shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,0.6716,0.0485
HGL-P,CiteSeer,10shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,0.7176,0.0163
HGL-C,Cora,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,0.8697,0.0225
HGL-C,Cora,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,0.8660,0.0156
HGL-C,Cora,5shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,0.6590,0.0326
HGL-C,Cora,10shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,0.7150,0.0101
HGL-P,Cora,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,0.8708,0.0158
HGL-P,Cora,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,0.8539,0.0151
HGL-P,Cora,5shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,0.7052,0.0370
HGL-P,Cora,10shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,0.7202,0.0234
HGL-C,Photo,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,0.9237,0.0099
HGL-C,Photo,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,0.9264,0.0031
HGL-C,Photo,5shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,0.8715,0.0070
HGL-C,Photo,10shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,0.8909,0.0037
HGL-P,Photo,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,0.9188,0.0050
HGL-P,Photo,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,0.9211,0.0040
HGL-P,Photo,5shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,0.8743,0.0091
HGL-P,Photo,10shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,0.8934,0.0062
HGL-C,PubMed,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,0.8389,0.0062
HGL-C,PubMed,Public,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,0.8378,0.0063
HGL-C,PubMed,5shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,0.7488,0.0162
HGL-C,PubMed,10shot,Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,0.7720,0.0055
HGL-P,PubMed,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,0.8404,0.0051
HGL-P,PubMed,Public,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,0.8388,0.0065
HGL-P,PubMed,5shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,0.7506,0.0138
HGL-P,PubMed,10shot,Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,0.7648,0.0036
